{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.6555, recall20: 0.0000 recall10: 0.0000 [96.4569]
train_epoch: 1002, loss: 0.6555, recall20: 0.0000 recall10: 0.0000 [96.5170]
train_epoch: 1003, loss: 0.6554, recall20: 0.0000 recall10: 0.0000 [96.5798]
train_epoch: 1004, loss: 0.6554, recall20: 0.0000 recall10: 0.0000 [96.6442]
train_epoch: 1005, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [96.7099]
train_epoch: 1006, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [96.7713]
train_epoch: 1007, loss: 0.6553, recall20: 0.0000 recall10: 0.0000 [96.8659]
train_epoch: 1008, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [96.9261]
train_epoch: 1009, loss: 0.6552, recall20: 0.0000 recall10: 0.0000 [96.9857]
train_epoch: 1010, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [97.0445]
train_epoch: 1011, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [97.1024]
train_epoch: 1012, loss: 0.6551, recall20: 0.0000 recall10: 0.0000 [97.1646]
train_epoch: 1013, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [97.2261]
train_epoch: 1014, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [97.2861]
train_epoch: 1015, loss: 0.6550, recall20: 0.0000 recall10: 0.0000 [97.3476]
train_epoch: 1016, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [97.4076]
train_epoch: 1017, loss: 0.6549, recall20: 0.0000 recall10: 0.0000 [97.4677]
train_epoch: 1018, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [97.5314]
train_epoch: 1019, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [97.5942]
train_epoch: 1020, loss: 0.6548, recall20: 0.0000 recall10: 0.0000 [97.6552]
train_epoch: 1021, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [97.7158]
train_epoch: 1022, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [97.7760]
train_epoch: 1023, loss: 0.6547, recall20: 0.0000 recall10: 0.0000 [97.8360]
train_epoch: 1024, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [97.8972]
train_epoch: 1025, loss: 0.6546, recall20: 0.0000 recall10: 0.0000 [97.9593]
train_epoch: 1026, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [98.0181]
train_epoch: 1027, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [98.0801]
train_epoch: 1028, loss: 0.6545, recall20: 0.0000 recall10: 0.0000 [98.1440]
train_epoch: 1029, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [98.2065]
train_epoch: 1030, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [98.2677]
train_epoch: 1031, loss: 0.6544, recall20: 0.0000 recall10: 0.0000 [98.3405]
