{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.4562, recall20: 0.0000 recall10: 0.0000 [9.8773]
train_epoch: 1002, loss: 0.4562, recall20: 0.0000 recall10: 0.0000 [9.8948]
train_epoch: 1003, loss: 0.4562, recall20: 0.0000 recall10: 0.0000 [9.9063]
train_epoch: 1004, loss: 0.4561, recall20: 0.0000 recall10: 0.0000 [9.9170]
train_epoch: 1005, loss: 0.4561, recall20: 0.0000 recall10: 0.0000 [9.9280]
train_epoch: 1006, loss: 0.4560, recall20: 0.0000 recall10: 0.0000 [9.9389]
train_epoch: 1007, loss: 0.4560, recall20: 0.0000 recall10: 0.0000 [9.9490]
train_epoch: 1008, loss: 0.4560, recall20: 0.0000 recall10: 0.0000 [9.9598]
train_epoch: 1009, loss: 0.4559, recall20: 0.0000 recall10: 0.0000 [9.9709]
train_epoch: 1010, loss: 0.4559, recall20: 0.0000 recall10: 0.0000 [9.9816]
train_epoch: 1011, loss: 0.4559, recall20: 0.0000 recall10: 0.0000 [9.9925]
train_epoch: 1012, loss: 0.4558, recall20: 0.0000 recall10: 0.0000 [10.0034]
train_epoch: 1013, loss: 0.4558, recall20: 0.0000 recall10: 0.0000 [10.0144]
train_epoch: 1014, loss: 0.4558, recall20: 0.0000 recall10: 0.0000 [10.0253]
train_epoch: 1015, loss: 0.4557, recall20: 0.0000 recall10: 0.0000 [10.0361]
train_epoch: 1016, loss: 0.4557, recall20: 0.0000 recall10: 0.0000 [10.0463]
train_epoch: 1017, loss: 0.4557, recall20: 0.0000 recall10: 0.0000 [10.0569]
train_epoch: 1018, loss: 0.4556, recall20: 0.0000 recall10: 0.0000 [10.0679]
train_epoch: 1019, loss: 0.4556, recall20: 0.0000 recall10: 0.0000 [10.0789]
train_epoch: 1020, loss: 0.4556, recall20: 0.0000 recall10: 0.0000 [10.0900]
train_epoch: 1021, loss: 0.4555, recall20: 0.0000 recall10: 0.0000 [10.1016]
train_epoch: 1022, loss: 0.4555, recall20: 0.0000 recall10: 0.0000 [10.1130]
train_epoch: 1023, loss: 0.4554, recall20: 0.0000 recall10: 0.0000 [10.1243]
train_epoch: 1024, loss: 0.4554, recall20: 0.0000 recall10: 0.0000 [10.1353]
train_epoch: 1025, loss: 0.4554, recall20: 0.0000 recall10: 0.0000 [10.1457]
train_epoch: 1026, loss: 0.4554, recall20: 0.0000 recall10: 0.0000 [10.1565]
train_epoch: 1027, loss: 0.4553, recall20: 0.0000 recall10: 0.0000 [10.1672]
train_epoch: 1028, loss: 0.4552, recall20: 0.0000 recall10: 0.0000 [10.1777]
train_epoch: 1029, loss: 0.4552, recall20: 0.0000 recall10: 0.0000 [10.1884]
train_epoch: 1030, loss: 0.4552, recall20: 0.0000 recall10: 0.0000 [10.1988]
train_epoch: 1031, loss: 0.4552, recall20: 0.0000 recall10: 0.0000 [10.2092]
train_epoch: 1032, loss: 0.4551, recall20: 0.0000 recall10: 0.0000 [10.2199]
train_epoch: 1033, loss: 0.4551, recall20: 0.0000 recall10: 0.0000 [10.2304]
train_epoch: 1034, loss: 0.4550, recall20: 0.0000 recall10: 0.0000 [10.2410]
train_epoch: 1035, loss: 0.4550, recall20: 0.0000 recall10: 0.0000 [10.2516]
train_epoch: 1036, loss: 0.4550, recall20: 0.0000 recall10: 0.0000 [10.2627]
train_epoch: 1037, loss: 0.4549, recall20: 0.0000 recall10: 0.0000 [10.2733]
train_epoch: 1038, loss: 0.4549, recall20: 0.0000 recall10: 0.0000 [10.2873]
train_epoch: 1039, loss: 0.4549, recall20: 0.0000 recall10: 0.0000 [10.2993]
train_epoch: 1040, loss: 0.4548, recall20: 0.0000 recall10: 0.0000 [10.3100]
train_epoch: 1041, loss: 0.4548, recall20: 0.0000 recall10: 0.0000 [10.3211]
train_epoch: 1042, loss: 0.4547, recall20: 0.0000 recall10: 0.0000 [10.3365]
train_epoch: 1043, loss: 0.4547, recall20: 0.0000 recall10: 0.0000 [10.3485]
train_epoch: 1044, loss: 0.4547, recall20: 0.0000 recall10: 0.0000 [10.3604]
train_epoch: 1045, loss: 0.4546, recall20: 0.0000 recall10: 0.0000 [10.3739]
train_epoch: 1046, loss: 0.4546, recall20: 0.0000 recall10: 0.0000 [10.3866]
train_epoch: 1047, loss: 0.4545, recall20: 0.0000 recall10: 0.0000 [10.3979]
train_epoch: 1048, loss: 0.4545, recall20: 0.0000 recall10: 0.0000 [10.4091]
train_epoch: 1049, loss: 0.4545, recall20: 0.0000 recall10: 0.0000 [10.4205]
train_epoch: 1050, loss: 0.4545, recall20: 0.0000 recall10: 0.0000 [10.4316]
train_epoch: 1051, loss: 0.4544, recall20: 0.0000 recall10: 0.0000 [10.4473]
train_epoch: 1052, loss: 0.4544, recall20: 0.0000 recall10: 0.0000 [10.4599]
train_epoch: 1053, loss: 0.4543, recall20: 0.0000 recall10: 0.0000 [10.4708]
train_epoch: 1054, loss: 0.4543, recall20: 0.0000 recall10: 0.0000 [10.4810]
train_epoch: 1055, loss: 0.4543, recall20: 0.0000 recall10: 0.0000 [10.4919]
train_epoch: 1056, loss: 0.4542, recall20: 0.0000 recall10: 0.0000 [10.5028]
train_epoch: 1057, loss: 0.4542, recall20: 0.0000 recall10: 0.0000 [10.5138]
