{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.0106, recall20: 0.0000 recall10: 0.0000 [11.8197]
train_epoch: 1002, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [11.8370]
train_epoch: 1003, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [11.8498]
train_epoch: 1004, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [11.8626]
train_epoch: 1005, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [11.8753]
train_epoch: 1006, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [11.8874]
train_epoch: 1007, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [11.8998]
train_epoch: 1008, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [11.9121]
train_epoch: 1009, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [11.9249]
train_epoch: 1010, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [11.9376]
train_epoch: 1011, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [11.9508]
train_epoch: 1012, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [11.9636]
train_epoch: 1013, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [11.9780]
train_epoch: 1014, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [11.9912]
train_epoch: 1015, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [12.0047]
train_epoch: 1016, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [12.0169]
train_epoch: 1017, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [12.0296]
train_epoch: 1018, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [12.0418]
train_epoch: 1019, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [12.0541]
train_epoch: 1020, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [12.0668]
train_epoch: 1021, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [12.0799]
train_epoch: 1022, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [12.0925]
train_epoch: 1023, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [12.1051]
train_epoch: 1024, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [12.1188]
train_epoch: 1025, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [12.1317]
train_epoch: 1026, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [12.1435]
train_epoch: 1027, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [12.1560]
train_epoch: 1028, loss: 0.0099, recall20: 0.0000 recall10: 0.0000 [12.1680]
train_epoch: 1029, loss: 0.0099, recall20: 0.0000 recall10: 0.0000 [12.1799]
train_epoch: 1030, loss: 0.0099, recall20: 0.0000 recall10: 0.0000 [12.1919]
train_epoch: 1031, loss: 0.0098, recall20: 0.0000 recall10: 0.0000 [12.2051]
train_epoch: 1032, loss: 0.0098, recall20: 0.1941 recall10: 0.1123 [12.2640]
