{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6805, recall20: 0.0000 recall10: 0.0000 [11.4485]
train_epoch: 1002, loss: 0.6805, recall20: 0.0000 recall10: 0.0000 [11.4746]
train_epoch: 1003, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [11.4889]
train_epoch: 1004, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [11.5011]
train_epoch: 1005, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [11.5141]
train_epoch: 1006, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [11.5273]
train_epoch: 1007, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [11.5401]
train_epoch: 1008, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [11.5525]
train_epoch: 1009, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [11.5646]
train_epoch: 1010, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [11.5765]
train_epoch: 1011, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [11.5885]
train_epoch: 1012, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [11.6002]
train_epoch: 1013, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [11.6120]
train_epoch: 1014, loss: 0.6802, recall20: 0.0000 recall10: 0.0000 [11.6242]
train_epoch: 1015, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [11.6363]
train_epoch: 1016, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [11.6484]
train_epoch: 1017, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [11.6608]
train_epoch: 1018, loss: 0.6801, recall20: 0.0000 recall10: 0.0000 [11.6731]
train_epoch: 1019, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [11.6846]
train_epoch: 1020, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [11.6960]
train_epoch: 1021, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [11.7079]
train_epoch: 1022, loss: 0.6800, recall20: 0.0000 recall10: 0.0000 [11.7195]
train_epoch: 1023, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [11.7312]
train_epoch: 1024, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [11.7435]
train_epoch: 1025, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [11.7571]
train_epoch: 1026, loss: 0.6799, recall20: 0.0000 recall10: 0.0000 [11.7702]
train_epoch: 1027, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [11.7838]
train_epoch: 1028, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [11.7964]
train_epoch: 1029, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [11.8080]
train_epoch: 1030, loss: 0.6798, recall20: 0.0000 recall10: 0.0000 [11.8198]
train_epoch: 1031, loss: 0.6797, recall20: 0.0000 recall10: 0.0000 [11.8314]
