{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.7505]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.7716]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.7894]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.8063]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.8230]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.8413]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.8581]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.8749]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.8918]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.9085]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.9253]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.9414]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.9588]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.9747]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [16.9964]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.0160]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.0326]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.0498]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.0681]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.0852]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.1025]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.1197]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.1373]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.1548]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.1717]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.1888]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.2058]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.2232]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.2402]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.2566]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.2743]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.2933]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.3146]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.3327]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.3524]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.3726]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.3919]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.4108]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.4305]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.4491]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.4685]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.4877]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.5071]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [17.5252]
