{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3715, recall20: 0.0000 recall10: 0.0000 [28.3229]
train_epoch: 1002, loss: 0.3714, recall20: 0.0000 recall10: 0.0000 [28.3712]
train_epoch: 1003, loss: 0.3714, recall20: 0.0000 recall10: 0.0000 [28.3979]
train_epoch: 1004, loss: 0.3713, recall20: 0.0000 recall10: 0.0000 [28.4250]
train_epoch: 1005, loss: 0.3713, recall20: 0.0000 recall10: 0.0000 [28.4536]
train_epoch: 1006, loss: 0.3712, recall20: 0.0000 recall10: 0.0000 [28.4845]
train_epoch: 1007, loss: 0.3712, recall20: 0.0000 recall10: 0.0000 [28.5129]
train_epoch: 1008, loss: 0.3711, recall20: 0.0000 recall10: 0.0000 [28.5429]
train_epoch: 1009, loss: 0.3711, recall20: 0.0000 recall10: 0.0000 [28.5716]
train_epoch: 1010, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [28.5992]
train_epoch: 1011, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [28.6301]
train_epoch: 1012, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [28.6577]
train_epoch: 1013, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [28.6853]
train_epoch: 1014, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [28.7138]
train_epoch: 1015, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [28.7445]
train_epoch: 1016, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [28.7722]
train_epoch: 1017, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [28.8001]
train_epoch: 1018, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [28.8299]
train_epoch: 1019, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [28.8615]
train_epoch: 1020, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [28.8914]
train_epoch: 1021, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [28.9207]
train_epoch: 1022, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [28.9481]
train_epoch: 1023, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [28.9768]
train_epoch: 1024, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [29.0072]
train_epoch: 1025, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [29.0366]
train_epoch: 1026, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [29.0628]
train_epoch: 1027, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [29.0926]
train_epoch: 1028, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [29.1191]
train_epoch: 1029, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [29.1485]
train_epoch: 1030, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [29.1777]
train_epoch: 1031, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [29.2063]
train_epoch: 1032, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [29.2350]
train_epoch: 1033, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [29.2647]
train_epoch: 1034, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [29.2934]
train_epoch: 1035, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [29.3215]
train_epoch: 1036, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [29.3517]
train_epoch: 1037, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [29.3823]
train_epoch: 1038, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [29.4125]
train_epoch: 1039, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [29.4400]
train_epoch: 1040, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [29.4704]
train_epoch: 1041, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [29.5001]
train_epoch: 1042, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [29.5286]
train_epoch: 1043, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [29.5576]
train_epoch: 1044, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [29.5855]
train_epoch: 1045, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [29.6153]
train_epoch: 1046, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [29.6450]
train_epoch: 1047, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [29.6742]
train_epoch: 1048, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [29.7040]
train_epoch: 1049, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [29.7327]
train_epoch: 1050, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [29.7618]
train_epoch: 1051, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [29.7896]
train_epoch: 1052, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [29.8183]
train_epoch: 1053, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [29.8478]
train_epoch: 1054, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [29.8751]
train_epoch: 1055, loss: 0.3690, recall20: 0.0000 recall10: 0.0000 [29.9036]
train_epoch: 1056, loss: 0.3690, recall20: 0.0000 recall10: 0.0000 [29.9339]
train_epoch: 1057, loss: 0.3689, recall20: 0.0000 recall10: 0.0000 [29.9638]
train_epoch: 1058, loss: 0.3689, recall20: 0.0000 recall10: 0.0000 [29.9907]
train_epoch: 1059, loss: 0.3688, recall20: 0.0000 recall10: 0.0000 [30.0185]
train_epoch: 1060, loss: 0.3688, recall20: 0.0000 recall10: 0.0000 [30.0482]
train_epoch: 1061, loss: 0.3688, recall20: 0.0000 recall10: 0.0000 [30.0750]
train_epoch: 1062, loss: 0.3687, recall20: 0.0000 recall10: 0.0000 [30.1018]
train_epoch: 1063, loss: 0.3687, recall20: 0.0000 recall10: 0.0000 [30.1296]
train_epoch: 1064, loss: 0.3686, recall20: 0.0000 recall10: 0.0000 [30.1586]
train_epoch: 1065, loss: 0.3686, recall20: 0.0000 recall10: 0.0000 [30.1864]
train_epoch: 1066, loss: 0.3685, recall20: 0.0000 recall10: 0.0000 [30.2151]
train_epoch: 1067, loss: 0.3685, recall20: 0.0000 recall10: 0.0000 [30.2425]
train_epoch: 1068, loss: 0.3685, recall20: 0.0000 recall10: 0.0000 [30.2715]
train_epoch: 1069, loss: 0.3684, recall20: 0.0000 recall10: 0.0000 [30.3018]
train_epoch: 1070, loss: 0.3684, recall20: 0.0000 recall10: 0.0000 [30.3283]
train_epoch: 1071, loss: 0.3683, recall20: 0.0000 recall10: 0.0000 [30.3547]
train_epoch: 1072, loss: 0.3683, recall20: 0.0000 recall10: 0.0000 [30.3845]
train_epoch: 1073, loss: 0.3682, recall20: 0.0000 recall10: 0.0000 [30.4110]
train_epoch: 1074, loss: 0.3682, recall20: 0.0000 recall10: 0.0000 [30.4399]
train_epoch: 1075, loss: 0.3682, recall20: 0.0000 recall10: 0.0000 [30.4687]
train_epoch: 1076, loss: 0.3681, recall20: 0.0000 recall10: 0.0000 [30.4977]
train_epoch: 1077, loss: 0.3681, recall20: 0.0000 recall10: 0.0000 [30.5266]
train_epoch: 1078, loss: 0.3680, recall20: 0.0000 recall10: 0.0000 [30.5529]
train_epoch: 1079, loss: 0.3680, recall20: 0.0000 recall10: 0.0000 [30.5826]
train_epoch: 1080, loss: 0.3680, recall20: 0.0000 recall10: 0.0000 [30.6109]
train_epoch: 1081, loss: 0.3679, recall20: 0.0000 recall10: 0.0000 [30.6414]
train_epoch: 1082, loss: 0.3679, recall20: 0.0000 recall10: 0.0000 [30.6699]
train_epoch: 1083, loss: 0.3678, recall20: 0.0000 recall10: 0.0000 [30.7000]
train_epoch: 1084, loss: 0.3678, recall20: 0.0000 recall10: 0.0000 [30.7268]
