{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.7525]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.7715]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.7840]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.7952]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8069]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8186]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8303]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8432]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8562]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8688]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8809]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.8926]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9045]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9162]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9286]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9419]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9551]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9670]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9787]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9902]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0017]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0136]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0264]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0395]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0517]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0634]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0745]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0861]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0976]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1103]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1228]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1354]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1475]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1591]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1703]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1820]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1945]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2077]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2208]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2327]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2449]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2564]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2683]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2808]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2935]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3058]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3172]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3284]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3402]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3523]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3648]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3771]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3893]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4011]
train_epoch: 1055, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4123]
train_epoch: 1056, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4235]
train_epoch: 1057, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4346]
train_epoch: 1058, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4472]
train_epoch: 1059, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4593]
train_epoch: 1060, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4724]
train_epoch: 1061, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.4896]
train_epoch: 1062, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.5015]
train_epoch: 1063, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.5128]
train_epoch: 1064, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.5241]
train_epoch: 1065, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.5365]
train_epoch: 1066, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.5488]
train_epoch: 1067, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.5613]
