{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.0230]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.0841]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.1417]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.1948]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.2474]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.3020]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.3527]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4076]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.4634]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.5159]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.5726]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.6341]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.6920]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.7514]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.8100]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.8684]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.9254]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [34.9801]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.0356]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.0935]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.1510]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.2085]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.2659]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.3253]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.3786]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.4402]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5083]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5714]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6223]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6820]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7413]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8036]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8625]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9213]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9818]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.0370]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.1013]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.1652]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.2239]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.2833]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.3440]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.4036]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.4662]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.5249]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.5840]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.6418]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.7007]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.7615]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.8155]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.8672]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.9201]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.9790]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.0371]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.0951]
train_epoch: 1055, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.1484]
train_epoch: 1056, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.2061]
train_epoch: 1057, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.2622]
train_epoch: 1058, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.3143]
train_epoch: 1059, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.3668]
train_epoch: 1060, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.4234]
train_epoch: 1061, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.4803]
