{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.4430]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.4586]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.4732]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.4870]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5005]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5148]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5294]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5438]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5574]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5707]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.5853]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6013]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6152]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6293]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6428]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6561]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6698]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6834]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.6983]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7121]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7258]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7397]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7531]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7670]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7806]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.7941]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8075]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8214]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8364]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8511]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8646]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8795]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.8937]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9078]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9220]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9351]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9490]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9631]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9768]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9915]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0055]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0194]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0336]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0477]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0618]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0763]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0904]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1044]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1179]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1426]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1570]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1708]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1883]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2029]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2171]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2306]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2444]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2580]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2718]
