{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [18.5280]
train_epoch: 1002, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [18.5757]
train_epoch: 1003, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [18.6261]
train_epoch: 1004, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [18.6794]
train_epoch: 1005, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [18.7336]
train_epoch: 1006, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [18.7892]
train_epoch: 1007, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [18.8440]
train_epoch: 1008, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [18.9025]
train_epoch: 1009, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [18.9552]
train_epoch: 1010, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [19.0149]
train_epoch: 1011, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [19.0758]
train_epoch: 1012, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [19.1331]
train_epoch: 1013, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [19.1938]
train_epoch: 1014, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [19.2508]
train_epoch: 1015, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [19.3092]
train_epoch: 1016, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [19.3679]
train_epoch: 1017, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [19.4136]
train_epoch: 1018, loss: 0.3777, recall20: 0.0000 recall10: 0.0000 [19.4748]
train_epoch: 1019, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [19.5256]
train_epoch: 1020, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [19.5802]
train_epoch: 1021, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [19.6397]
train_epoch: 1022, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [19.6973]
train_epoch: 1023, loss: 0.3776, recall20: 0.0000 recall10: 0.0000 [19.7557]
train_epoch: 1024, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [19.8133]
train_epoch: 1025, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [19.8695]
train_epoch: 1026, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [19.9299]
train_epoch: 1027, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [19.9895]
train_epoch: 1028, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [20.0520]
train_epoch: 1029, loss: 0.3775, recall20: 0.0000 recall10: 0.0000 [20.1116]
