{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3870, recall20: 0.0000 recall10: 0.0000 [45.2727]
train_epoch: 1002, loss: 0.3869, recall20: 0.0000 recall10: 0.0000 [45.2889]
train_epoch: 1003, loss: 0.3869, recall20: 0.0000 recall10: 0.0000 [45.3034]
train_epoch: 1004, loss: 0.3868, recall20: 0.0000 recall10: 0.0000 [45.3162]
train_epoch: 1005, loss: 0.3868, recall20: 0.0000 recall10: 0.0000 [45.3290]
train_epoch: 1006, loss: 0.3868, recall20: 0.0000 recall10: 0.0000 [45.3413]
train_epoch: 1007, loss: 0.3867, recall20: 0.0000 recall10: 0.0000 [45.3533]
train_epoch: 1008, loss: 0.3867, recall20: 0.0000 recall10: 0.0000 [45.3649]
train_epoch: 1009, loss: 0.3866, recall20: 0.0000 recall10: 0.0000 [45.3766]
train_epoch: 1010, loss: 0.3866, recall20: 0.0000 recall10: 0.0000 [45.3891]
train_epoch: 1011, loss: 0.3866, recall20: 0.0000 recall10: 0.0000 [45.4014]
train_epoch: 1012, loss: 0.3865, recall20: 0.0000 recall10: 0.0000 [45.4137]
train_epoch: 1013, loss: 0.3865, recall20: 0.0000 recall10: 0.0000 [45.4259]
train_epoch: 1014, loss: 0.3865, recall20: 0.0000 recall10: 0.0000 [45.4383]
train_epoch: 1015, loss: 0.3864, recall20: 0.0000 recall10: 0.0000 [45.4506]
train_epoch: 1016, loss: 0.3864, recall20: 0.0000 recall10: 0.0000 [45.4626]
train_epoch: 1017, loss: 0.3863, recall20: 0.0000 recall10: 0.0000 [45.4753]
train_epoch: 1018, loss: 0.3863, recall20: 0.0000 recall10: 0.0000 [45.4885]
train_epoch: 1019, loss: 0.3863, recall20: 0.0000 recall10: 0.0000 [45.5050]
train_epoch: 1020, loss: 0.3862, recall20: 0.0000 recall10: 0.0000 [45.5184]
train_epoch: 1021, loss: 0.3862, recall20: 0.0000 recall10: 0.0000 [45.5347]
train_epoch: 1022, loss: 0.3861, recall20: 0.0000 recall10: 0.0000 [45.5507]
train_epoch: 1023, loss: 0.3861, recall20: 0.0000 recall10: 0.0000 [45.5628]
train_epoch: 1024, loss: 0.3861, recall20: 0.0000 recall10: 0.0000 [45.5750]
train_epoch: 1025, loss: 0.3860, recall20: 0.0000 recall10: 0.0000 [45.5881]
train_epoch: 1026, loss: 0.3860, recall20: 0.0000 recall10: 0.0000 [45.6014]
train_epoch: 1027, loss: 0.3860, recall20: 0.0000 recall10: 0.0000 [45.6144]
train_epoch: 1028, loss: 0.3859, recall20: 0.0000 recall10: 0.0000 [45.6273]
train_epoch: 1029, loss: 0.3859, recall20: 0.0000 recall10: 0.0000 [45.6398]
train_epoch: 1030, loss: 0.3858, recall20: 0.0000 recall10: 0.0000 [45.6535]
train_epoch: 1031, loss: 0.3858, recall20: 0.0000 recall10: 0.0000 [45.6659]
train_epoch: 1032, loss: 0.3858, recall20: 0.0000 recall10: 0.0000 [45.6828]
train_epoch: 1033, loss: 0.3857, recall20: 0.0000 recall10: 0.0000 [45.6953]
train_epoch: 1034, loss: 0.3857, recall20: 0.0000 recall10: 0.0000 [45.7103]
train_epoch: 1035, loss: 0.3857, recall20: 0.0000 recall10: 0.0000 [45.7248]
train_epoch: 1036, loss: 0.3856, recall20: 0.0000 recall10: 0.0000 [45.7387]
train_epoch: 1037, loss: 0.3856, recall20: 0.0000 recall10: 0.0000 [45.7536]
train_epoch: 1038, loss: 0.3856, recall20: 0.0000 recall10: 0.0000 [45.7691]
train_epoch: 1039, loss: 0.3855, recall20: 0.0000 recall10: 0.0000 [45.7831]
train_epoch: 1040, loss: 0.3855, recall20: 0.0000 recall10: 0.0000 [45.7974]
train_epoch: 1041, loss: 0.3854, recall20: 0.0000 recall10: 0.0000 [45.8161]
train_epoch: 1042, loss: 0.3854, recall20: 0.0000 recall10: 0.0000 [45.8285]
train_epoch: 1043, loss: 0.3854, recall20: 0.0000 recall10: 0.0000 [45.8414]
train_epoch: 1044, loss: 0.3853, recall20: 0.0000 recall10: 0.0000 [45.8541]
train_epoch: 1045, loss: 0.3853, recall20: 0.0000 recall10: 0.0000 [45.8667]
train_epoch: 1046, loss: 0.3853, recall20: 0.0000 recall10: 0.0000 [45.8799]
train_epoch: 1047, loss: 0.3852, recall20: 0.0000 recall10: 0.0000 [45.8934]
train_epoch: 1048, loss: 0.3852, recall20: 0.0000 recall10: 0.0000 [45.9058]
train_epoch: 1049, loss: 0.3852, recall20: 0.0000 recall10: 0.0000 [45.9189]
train_epoch: 1050, loss: 0.3851, recall20: 0.0000 recall10: 0.0000 [45.9322]
train_epoch: 1051, loss: 0.3851, recall20: 0.0000 recall10: 0.0000 [45.9445]
train_epoch: 1052, loss: 0.3851, recall20: 0.0000 recall10: 0.0000 [45.9574]
train_epoch: 1053, loss: 0.3850, recall20: 0.0000 recall10: 0.0000 [45.9729]
train_epoch: 1054, loss: 0.3850, recall20: 0.0000 recall10: 0.0000 [45.9861]
train_epoch: 1055, loss: 0.3849, recall20: 0.0000 recall10: 0.0000 [45.9991]
train_epoch: 1056, loss: 0.3849, recall20: 0.0000 recall10: 0.0000 [46.0113]
train_epoch: 1057, loss: 0.3849, recall20: 0.0000 recall10: 0.0000 [46.0259]
train_epoch: 1058, loss: 0.3848, recall20: 0.0000 recall10: 0.0000 [46.0419]
train_epoch: 1059, loss: 0.3848, recall20: 0.0000 recall10: 0.0000 [46.0547]
train_epoch: 1060, loss: 0.3848, recall20: 0.0000 recall10: 0.0000 [46.0698]
train_epoch: 1061, loss: 0.3847, recall20: 0.0000 recall10: 0.0000 [46.0830]
train_epoch: 1062, loss: 0.3847, recall20: 0.0000 recall10: 0.0000 [46.0953]
train_epoch: 1063, loss: 0.3847, recall20: 0.0000 recall10: 0.0000 [46.1077]
train_epoch: 1064, loss: 0.3846, recall20: 0.0000 recall10: 0.0000 [46.1200]
train_epoch: 1065, loss: 0.3846, recall20: 0.0000 recall10: 0.0000 [46.1334]
train_epoch: 1066, loss: 0.3846, recall20: 0.0000 recall10: 0.0000 [46.1473]
train_epoch: 1067, loss: 0.3845, recall20: 0.0000 recall10: 0.0000 [46.1604]
train_epoch: 1068, loss: 0.3845, recall20: 0.0000 recall10: 0.0000 [46.1757]
train_epoch: 1069, loss: 0.3845, recall20: 0.0000 recall10: 0.0000 [46.1881]
train_epoch: 1070, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [46.2013]
train_epoch: 1071, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [46.2155]
train_epoch: 1072, loss: 0.3844, recall20: 0.0000 recall10: 0.0000 [46.2285]
train_epoch: 1073, loss: 0.3843, recall20: 0.0000 recall10: 0.0000 [46.2412]
train_epoch: 1074, loss: 0.3843, recall20: 0.0000 recall10: 0.0000 [46.2554]
train_epoch: 1075, loss: 0.3843, recall20: 0.0000 recall10: 0.0000 [46.2687]
train_epoch: 1076, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [46.2818]
train_epoch: 1077, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [46.2942]
train_epoch: 1078, loss: 0.3842, recall20: 0.0000 recall10: 0.0000 [46.3092]
train_epoch: 1079, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [46.3221]
train_epoch: 1080, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [46.3352]
train_epoch: 1081, loss: 0.3841, recall20: 0.0000 recall10: 0.0000 [46.3487]
train_epoch: 1082, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [46.3609]
train_epoch: 1083, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [46.3739]
train_epoch: 1084, loss: 0.3840, recall20: 0.0000 recall10: 0.0000 [46.3872]
train_epoch: 1085, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [46.4008]
train_epoch: 1086, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [46.4132]
train_epoch: 1087, loss: 0.3839, recall20: 0.0000 recall10: 0.0000 [46.4258]
train_epoch: 1088, loss: 0.3838, recall20: 0.0000 recall10: 0.0000 [46.4391]
train_epoch: 1089, loss: 0.3838, recall20: 0.0000 recall10: 0.0000 [46.4522]
train_epoch: 1090, loss: 0.3838, recall20: 0.0000 recall10: 0.0000 [46.4649]
train_epoch: 1091, loss: 0.3837, recall20: 0.0000 recall10: 0.0000 [46.4775]
train_epoch: 1092, loss: 0.3837, recall20: 0.0000 recall10: 0.0000 [46.4917]
train_epoch: 1093, loss: 0.3837, recall20: 0.0000 recall10: 0.0000 [46.5045]
train_epoch: 1094, loss: 0.3836, recall20: 0.0000 recall10: 0.0000 [46.5174]
train_epoch: 1095, loss: 0.3836, recall20: 0.0000 recall10: 0.0000 [46.5305]
train_epoch: 1096, loss: 0.3836, recall20: 0.0000 recall10: 0.0000 [46.5440]
train_epoch: 1097, loss: 0.3835, recall20: 0.0000 recall10: 0.0000 [46.5574]
train_epoch: 1098, loss: 0.3835, recall20: 0.0000 recall10: 0.0000 [46.5718]
train_epoch: 1099, loss: 0.3835, recall20: 0.0000 recall10: 0.0000 [46.5859]
train_epoch: 1100, loss: 0.3834, recall20: 0.0000 recall10: 0.0000 [46.5995]
train_epoch: 1101, loss: 0.3834, recall20: 0.0000 recall10: 0.0000 [46.6130]
train_epoch: 1102, loss: 0.3834, recall20: 0.0000 recall10: 0.0000 [46.6262]
train_epoch: 1103, loss: 0.3834, recall20: 0.0000 recall10: 0.0000 [46.6420]
train_epoch: 1104, loss: 0.3833, recall20: 0.0000 recall10: 0.0000 [46.6546]
train_epoch: 1105, loss: 0.3833, recall20: 0.0000 recall10: 0.0000 [46.6700]
train_epoch: 1106, loss: 0.3833, recall20: 0.0000 recall10: 0.0000 [46.6859]
train_epoch: 1107, loss: 0.3832, recall20: 0.0000 recall10: 0.0000 [46.6995]
train_epoch: 1108, loss: 0.3832, recall20: 0.0000 recall10: 0.0000 [46.7151]
train_epoch: 1109, loss: 0.3832, recall20: 0.0000 recall10: 0.0000 [46.7286]
train_epoch: 1110, loss: 0.3831, recall20: 0.0000 recall10: 0.0000 [46.7432]
train_epoch: 1111, loss: 0.3831, recall20: 0.0000 recall10: 0.0000 [46.7584]
train_epoch: 1112, loss: 0.3831, recall20: 0.0000 recall10: 0.0000 [46.7721]
train_epoch: 1113, loss: 0.3830, recall20: 0.0000 recall10: 0.0000 [46.7848]
train_epoch: 1114, loss: 0.3830, recall20: 0.0000 recall10: 0.0000 [46.7978]
train_epoch: 1115, loss: 0.3830, recall20: 0.0000 recall10: 0.0000 [46.8109]
