{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.7311]
train_epoch: 1002, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.7458]
train_epoch: 1003, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.7570]
train_epoch: 1004, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.7684]
train_epoch: 1005, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.7791]
train_epoch: 1006, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.7898]
train_epoch: 1007, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8003]
train_epoch: 1008, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8111]
train_epoch: 1009, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8223]
train_epoch: 1010, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8336]
train_epoch: 1011, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8450]
train_epoch: 1012, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8561]
train_epoch: 1013, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8672]
train_epoch: 1014, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8786]
train_epoch: 1015, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.8894]
train_epoch: 1016, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9003]
train_epoch: 1017, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9114]
train_epoch: 1018, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9223]
train_epoch: 1019, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9334]
train_epoch: 1020, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9446]
train_epoch: 1021, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9558]
train_epoch: 1022, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9666]
train_epoch: 1023, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9772]
train_epoch: 1024, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [39.9904]
train_epoch: 1025, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0024]
train_epoch: 1026, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0146]
train_epoch: 1027, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0253]
train_epoch: 1028, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0367]
train_epoch: 1029, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0480]
train_epoch: 1030, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0590]
train_epoch: 1031, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0699]
train_epoch: 1032, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0812]
train_epoch: 1033, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.0929]
train_epoch: 1034, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1045]
train_epoch: 1035, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1162]
train_epoch: 1036, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1273]
train_epoch: 1037, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1382]
train_epoch: 1038, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1492]
train_epoch: 1039, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1600]
train_epoch: 1040, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1706]
train_epoch: 1041, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1811]
train_epoch: 1042, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.1917]
train_epoch: 1043, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2024]
train_epoch: 1044, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2141]
train_epoch: 1045, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2255]
train_epoch: 1046, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2367]
train_epoch: 1047, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2473]
train_epoch: 1048, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2580]
train_epoch: 1049, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2688]
train_epoch: 1050, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2796]
train_epoch: 1051, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.2902]
train_epoch: 1052, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3008]
train_epoch: 1053, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3125]
train_epoch: 1054, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3248]
train_epoch: 1055, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3375]
train_epoch: 1056, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3488]
train_epoch: 1057, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3598]
train_epoch: 1058, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3710]
train_epoch: 1059, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3821]
train_epoch: 1060, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.3928]
train_epoch: 1061, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4037]
train_epoch: 1062, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4162]
train_epoch: 1063, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4274]
train_epoch: 1064, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4379]
train_epoch: 1065, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4485]
train_epoch: 1066, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4592]
train_epoch: 1067, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4701]
train_epoch: 1068, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4866]
train_epoch: 1069, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.4978]
train_epoch: 1070, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5095]
train_epoch: 1071, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5218]
train_epoch: 1072, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5328]
train_epoch: 1073, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5433]
train_epoch: 1074, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5539]
train_epoch: 1075, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5642]
train_epoch: 1076, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5751]
train_epoch: 1077, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5863]
train_epoch: 1078, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.5972]
train_epoch: 1079, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6082]
train_epoch: 1080, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6193]
train_epoch: 1081, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6306]
train_epoch: 1082, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6416]
train_epoch: 1083, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6527]
train_epoch: 1084, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6636]
train_epoch: 1085, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6741]
train_epoch: 1086, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6844]
train_epoch: 1087, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.6949]
train_epoch: 1088, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7055]
train_epoch: 1089, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7161]
train_epoch: 1090, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7269]
train_epoch: 1091, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7376]
train_epoch: 1092, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7483]
train_epoch: 1093, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7592]
train_epoch: 1094, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7701]
train_epoch: 1095, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7814]
train_epoch: 1096, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.7925]
train_epoch: 1097, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8030]
train_epoch: 1098, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8138]
train_epoch: 1099, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8244]
train_epoch: 1100, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8351]
train_epoch: 1101, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8457]
train_epoch: 1102, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8562]
train_epoch: 1103, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8668]
train_epoch: 1104, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8774]
train_epoch: 1105, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8880]
train_epoch: 1106, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.8989]
train_epoch: 1107, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9096]
train_epoch: 1108, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9205]
train_epoch: 1109, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9330]
train_epoch: 1110, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9447]
train_epoch: 1111, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9562]
train_epoch: 1112, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9674]
train_epoch: 1113, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9782]
train_epoch: 1114, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [40.9902]
train_epoch: 1115, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0020]
train_epoch: 1116, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0133]
train_epoch: 1117, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0240]
train_epoch: 1118, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0346]
train_epoch: 1119, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0482]
train_epoch: 1120, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0629]
train_epoch: 1121, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0742]
train_epoch: 1122, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0851]
train_epoch: 1123, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.0959]
train_epoch: 1124, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1085]
train_epoch: 1125, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1226]
train_epoch: 1126, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1350]
train_epoch: 1127, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1470]
train_epoch: 1128, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1593]
train_epoch: 1129, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1721]
train_epoch: 1130, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1842]
train_epoch: 1131, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.1958]
train_epoch: 1132, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2086]
train_epoch: 1133, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2208]
train_epoch: 1134, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2327]
train_epoch: 1135, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2444]
train_epoch: 1136, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2575]
train_epoch: 1137, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2693]
train_epoch: 1138, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2846]
train_epoch: 1139, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.2957]
train_epoch: 1140, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3068]
train_epoch: 1141, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3182]
train_epoch: 1142, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3291]
train_epoch: 1143, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3397]
train_epoch: 1144, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3506]
train_epoch: 1145, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3615]
train_epoch: 1146, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3729]
train_epoch: 1147, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3842]
train_epoch: 1148, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.3956]
train_epoch: 1149, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4067]
train_epoch: 1150, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4177]
train_epoch: 1151, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4287]
train_epoch: 1152, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4397]
train_epoch: 1153, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4507]
train_epoch: 1154, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4615]
train_epoch: 1155, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4726]
train_epoch: 1156, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4845]
train_epoch: 1157, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.4956]
train_epoch: 1158, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5068]
train_epoch: 1159, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5177]
train_epoch: 1160, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5287]
train_epoch: 1161, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5397]
train_epoch: 1162, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5502]
train_epoch: 1163, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5607]
train_epoch: 1164, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5712]
train_epoch: 1165, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5816]
train_epoch: 1166, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.5927]
train_epoch: 1167, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6038]
train_epoch: 1168, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6145]
train_epoch: 1169, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6251]
train_epoch: 1170, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6358]
train_epoch: 1171, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6466]
train_epoch: 1172, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6579]
train_epoch: 1173, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6685]
train_epoch: 1174, loss: 0.3578, recall20: 0.0000 recall10: 0.0000 [41.6790]
train_epoch: 1175, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.6896]
train_epoch: 1176, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.6999]
train_epoch: 1177, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7107]
train_epoch: 1178, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7221]
train_epoch: 1179, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7326]
train_epoch: 1180, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7432]
train_epoch: 1181, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7537]
train_epoch: 1182, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7641]
train_epoch: 1183, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7750]
train_epoch: 1184, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7859]
train_epoch: 1185, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.7961]
train_epoch: 1186, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8090]
train_epoch: 1187, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8228]
train_epoch: 1188, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8342]
train_epoch: 1189, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8449]
train_epoch: 1190, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8550]
train_epoch: 1191, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8650]
train_epoch: 1192, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8758]
train_epoch: 1193, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8862]
train_epoch: 1194, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.8967]
train_epoch: 1195, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9076]
train_epoch: 1196, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9190]
train_epoch: 1197, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9297]
train_epoch: 1198, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9407]
train_epoch: 1199, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9522]
train_epoch: 1200, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9631]
train_epoch: 1201, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9737]
train_epoch: 1202, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9844]
train_epoch: 1203, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [41.9948]
train_epoch: 1204, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0056]
train_epoch: 1205, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0163]
train_epoch: 1206, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0271]
train_epoch: 1207, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0386]
train_epoch: 1208, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0497]
train_epoch: 1209, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0612]
train_epoch: 1210, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0725]
train_epoch: 1211, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0838]
train_epoch: 1212, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.0949]
train_epoch: 1213, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1061]
train_epoch: 1214, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1174]
train_epoch: 1215, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1286]
train_epoch: 1216, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1400]
train_epoch: 1217, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1516]
train_epoch: 1218, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1628]
train_epoch: 1219, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1741]
train_epoch: 1220, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1852]
train_epoch: 1221, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.1968]
train_epoch: 1222, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2082]
train_epoch: 1223, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2189]
train_epoch: 1224, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2300]
train_epoch: 1225, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2410]
train_epoch: 1226, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2520]
train_epoch: 1227, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2631]
train_epoch: 1228, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2764]
train_epoch: 1229, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2881]
train_epoch: 1230, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.2999]
train_epoch: 1231, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3118]
train_epoch: 1232, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3236]
train_epoch: 1233, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3354]
train_epoch: 1234, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3469]
train_epoch: 1235, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3581]
train_epoch: 1236, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3695]
train_epoch: 1237, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3808]
train_epoch: 1238, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.3925]
train_epoch: 1239, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4039]
train_epoch: 1240, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4160]
train_epoch: 1241, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4276]
train_epoch: 1242, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4392]
train_epoch: 1243, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4505]
train_epoch: 1244, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4615]
train_epoch: 1245, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4732]
train_epoch: 1246, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4843]
train_epoch: 1247, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.4955]
train_epoch: 1248, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5066]
train_epoch: 1249, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5174]
train_epoch: 1250, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5288]
train_epoch: 1251, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5400]
train_epoch: 1252, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5512]
train_epoch: 1253, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5623]
train_epoch: 1254, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5735]
train_epoch: 1255, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5843]
train_epoch: 1256, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.5954]
train_epoch: 1257, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.6089]
train_epoch: 1258, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.6207]
train_epoch: 1259, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [42.6334]
