{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [18.5625]
train_epoch: 1002, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [18.5837]
train_epoch: 1003, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [18.6033]
train_epoch: 1004, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [18.6227]
train_epoch: 1005, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [18.6417]
train_epoch: 1006, loss: 0.3576, recall20: 0.0000 recall10: 0.0000 [18.6611]
train_epoch: 1007, loss: 0.3576, recall20: 0.0000 recall10: 0.0000 [18.6803]
train_epoch: 1008, loss: 0.3576, recall20: 0.0000 recall10: 0.0000 [18.7010]
train_epoch: 1009, loss: 0.3576, recall20: 0.0000 recall10: 0.0000 [18.7219]
train_epoch: 1010, loss: 0.3576, recall20: 0.0000 recall10: 0.0000 [18.7405]
train_epoch: 1011, loss: 0.3575, recall20: 0.0000 recall10: 0.0000 [18.7596]
train_epoch: 1012, loss: 0.3575, recall20: 0.0000 recall10: 0.0000 [18.7818]
train_epoch: 1013, loss: 0.3575, recall20: 0.0000 recall10: 0.0000 [18.8024]
train_epoch: 1014, loss: 0.3575, recall20: 0.0000 recall10: 0.0000 [18.8204]
train_epoch: 1015, loss: 0.3575, recall20: 0.0000 recall10: 0.0000 [18.8434]
train_epoch: 1016, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [18.8642]
train_epoch: 1017, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [18.8844]
train_epoch: 1018, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [18.9031]
train_epoch: 1019, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [18.9240]
train_epoch: 1020, loss: 0.3574, recall20: 0.0000 recall10: 0.0000 [18.9435]
train_epoch: 1021, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [18.9629]
train_epoch: 1022, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [18.9822]
train_epoch: 1023, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [19.0010]
