{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [10.5144]
train_epoch: 1002, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [10.5309]
train_epoch: 1003, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [10.5438]
train_epoch: 1004, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [10.5605]
train_epoch: 1005, loss: 0.6662, recall20: 0.0000 recall10: 0.0000 [10.5740]
train_epoch: 1006, loss: 0.6662, recall20: 0.0000 recall10: 0.0000 [10.5865]
train_epoch: 1007, loss: 0.6662, recall20: 0.0000 recall10: 0.0000 [10.5992]
train_epoch: 1008, loss: 0.6661, recall20: 0.0000 recall10: 0.0000 [10.6144]
train_epoch: 1009, loss: 0.6661, recall20: 0.0000 recall10: 0.0000 [10.6264]
train_epoch: 1010, loss: 0.6661, recall20: 0.0000 recall10: 0.0000 [10.6390]
train_epoch: 1011, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [10.6526]
train_epoch: 1012, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [10.6686]
train_epoch: 1013, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [10.6847]
train_epoch: 1014, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [10.6984]
train_epoch: 1015, loss: 0.6659, recall20: 0.0000 recall10: 0.0000 [10.7112]
train_epoch: 1016, loss: 0.6659, recall20: 0.0000 recall10: 0.0000 [10.7248]
train_epoch: 1017, loss: 0.6659, recall20: 0.0000 recall10: 0.0000 [10.7382]
train_epoch: 1018, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [10.7513]
train_epoch: 1019, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [10.7643]
train_epoch: 1020, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [10.7782]
train_epoch: 1021, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [10.7908]
train_epoch: 1022, loss: 0.6657, recall20: 0.0000 recall10: 0.0000 [10.8042]
train_epoch: 1023, loss: 0.6657, recall20: 0.0000 recall10: 0.0000 [10.8201]
train_epoch: 1024, loss: 0.6657, recall20: 0.0000 recall10: 0.0000 [10.8374]
train_epoch: 1025, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [10.8493]
train_epoch: 1026, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [10.8609]
train_epoch: 1027, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [10.8726]
train_epoch: 1028, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [10.8845]
train_epoch: 1029, loss: 0.6655, recall20: 0.0000 recall10: 0.0000 [10.8968]
train_epoch: 1030, loss: 0.6655, recall20: 0.0000 recall10: 0.0000 [10.9100]
train_epoch: 1031, loss: 0.6655, recall20: 0.0000 recall10: 0.0000 [10.9226]
train_epoch: 1032, loss: 0.6654, recall20: 0.0000 recall10: 0.0000 [10.9357]
train_epoch: 1033, loss: 0.6654, recall20: 0.0000 recall10: 0.0000 [10.9520]
train_epoch: 1034, loss: 0.6654, recall20: 0.0000 recall10: 0.0000 [10.9674]
train_epoch: 1035, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [10.9811]
train_epoch: 1036, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [10.9949]
train_epoch: 1037, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [11.0082]
train_epoch: 1038, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [11.0220]
train_epoch: 1039, loss: 0.6652, recall20: 0.0000 recall10: 0.0000 [11.0350]
train_epoch: 1040, loss: 0.6652, recall20: 0.0000 recall10: 0.0000 [11.0476]
train_epoch: 1041, loss: 0.6652, recall20: 0.0000 recall10: 0.0000 [11.0604]
train_epoch: 1042, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [11.0746]
train_epoch: 1043, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [11.0900]
train_epoch: 1044, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [11.1055]
train_epoch: 1045, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [11.1210]
train_epoch: 1046, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [11.1343]
train_epoch: 1047, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [11.1473]
train_epoch: 1048, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [11.1613]
train_epoch: 1049, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [11.1736]
train_epoch: 1050, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [11.1858]
train_epoch: 1051, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [11.2023]
train_epoch: 1052, loss: 0.6648, recall20: 0.0000 recall10: 0.0000 [11.2179]
train_epoch: 1053, loss: 0.6648, recall20: 0.0000 recall10: 0.0000 [11.2321]
train_epoch: 1054, loss: 0.6648, recall20: 0.0000 recall10: 0.0000 [11.2468]
train_epoch: 1055, loss: 0.6648, recall20: 0.0000 recall10: 0.0000 [11.2601]
train_epoch: 1056, loss: 0.6647, recall20: 0.0000 recall10: 0.0000 [11.2744]
train_epoch: 1057, loss: 0.6647, recall20: 0.0000 recall10: 0.0000 [11.2884]
train_epoch: 1058, loss: 0.6647, recall20: 0.0000 recall10: 0.0000 [11.3036]
train_epoch: 1059, loss: 0.6646, recall20: 0.0000 recall10: 0.0000 [11.3170]
train_epoch: 1060, loss: 0.6646, recall20: 0.0000 recall10: 0.0000 [11.3306]
train_epoch: 1061, loss: 0.6646, recall20: 0.0000 recall10: 0.0000 [11.3439]
train_epoch: 1062, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [11.3586]
train_epoch: 1063, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [11.3718]
train_epoch: 1064, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [11.3838]
train_epoch: 1065, loss: 0.6645, recall20: 0.0000 recall10: 0.0000 [11.3958]
train_epoch: 1066, loss: 0.6644, recall20: 0.0000 recall10: 0.0000 [11.4083]
train_epoch: 1067, loss: 0.6644, recall20: 0.0000 recall10: 0.0000 [11.4206]
train_epoch: 1068, loss: 0.6644, recall20: 0.0000 recall10: 0.0000 [11.4327]
train_epoch: 1069, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [11.4446]
train_epoch: 1070, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [11.4569]
train_epoch: 1071, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [11.4709]
train_epoch: 1072, loss: 0.6643, recall20: 0.0000 recall10: 0.0000 [11.4820]
train_epoch: 1073, loss: 0.6642, recall20: 0.0000 recall10: 0.0000 [11.4936]
train_epoch: 1074, loss: 0.6642, recall20: 0.0000 recall10: 0.0000 [11.5055]
train_epoch: 1075, loss: 0.6642, recall20: 0.0000 recall10: 0.0000 [11.5185]
train_epoch: 1076, loss: 0.6641, recall20: 0.0000 recall10: 0.0000 [11.5313]
train_epoch: 1077, loss: 0.6641, recall20: 0.0000 recall10: 0.0000 [11.5455]
train_epoch: 1078, loss: 0.6641, recall20: 0.0000 recall10: 0.0000 [11.5600]
train_epoch: 1079, loss: 0.6640, recall20: 0.0000 recall10: 0.0000 [11.5720]
train_epoch: 1080, loss: 0.6640, recall20: 0.0000 recall10: 0.0000 [11.5888]
train_epoch: 1081, loss: 0.6640, recall20: 0.0000 recall10: 0.0000 [11.6031]
