{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.7015, recall20: 0.0000 recall10: 0.0000 [32.1659]
train_epoch: 1002, loss: 0.7015, recall20: 0.0000 recall10: 0.0000 [32.2086]
train_epoch: 1003, loss: 0.7015, recall20: 0.0000 recall10: 0.0000 [32.2493]
train_epoch: 1004, loss: 0.7015, recall20: 0.0000 recall10: 0.0000 [32.2897]
train_epoch: 1005, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [32.3291]
train_epoch: 1006, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [32.3696]
train_epoch: 1007, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [32.4092]
train_epoch: 1008, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [32.4504]
train_epoch: 1009, loss: 0.7014, recall20: 0.0000 recall10: 0.0000 [32.4912]
train_epoch: 1010, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [32.5319]
train_epoch: 1011, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [32.5725]
train_epoch: 1012, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [32.6130]
train_epoch: 1013, loss: 0.7013, recall20: 0.0000 recall10: 0.0000 [32.6535]
train_epoch: 1014, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [32.6922]
train_epoch: 1015, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [32.7329]
train_epoch: 1016, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [32.7732]
train_epoch: 1017, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [32.8127]
train_epoch: 1018, loss: 0.7012, recall20: 0.0000 recall10: 0.0000 [32.8539]
train_epoch: 1019, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [32.8946]
train_epoch: 1020, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [32.9353]
train_epoch: 1021, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [32.9761]
train_epoch: 1022, loss: 0.7011, recall20: 0.0000 recall10: 0.0000 [33.0168]
train_epoch: 1023, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [33.0574]
train_epoch: 1024, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [33.0979]
train_epoch: 1025, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [33.1386]
train_epoch: 1026, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [33.1796]
train_epoch: 1027, loss: 0.7010, recall20: 0.0000 recall10: 0.0000 [33.2203]
train_epoch: 1028, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [33.2609]
train_epoch: 1029, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [33.3003]
train_epoch: 1030, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [33.3392]
train_epoch: 1031, loss: 0.7009, recall20: 0.0000 recall10: 0.0000 [33.3769]
train_epoch: 1032, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [33.4142]
train_epoch: 1033, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [33.4513]
train_epoch: 1034, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [33.4883]
train_epoch: 1035, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [33.5272]
train_epoch: 1036, loss: 0.7008, recall20: 0.0000 recall10: 0.0000 [33.5660]
train_epoch: 1037, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [33.6068]
train_epoch: 1038, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [33.6470]
train_epoch: 1039, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [33.6867]
train_epoch: 1040, loss: 0.7007, recall20: 0.0000 recall10: 0.0000 [33.7264]
train_epoch: 1041, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [33.7661]
train_epoch: 1042, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [33.8061]
train_epoch: 1043, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [33.8396]
train_epoch: 1044, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [33.8779]
train_epoch: 1045, loss: 0.7006, recall20: 0.0000 recall10: 0.0000 [33.9157]
train_epoch: 1046, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [33.9522]
train_epoch: 1047, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [33.9891]
train_epoch: 1048, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [34.0274]
train_epoch: 1049, loss: 0.7005, recall20: 0.0000 recall10: 0.0000 [34.0647]
train_epoch: 1050, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [34.1035]
train_epoch: 1051, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [34.1433]
train_epoch: 1052, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [34.1829]
train_epoch: 1053, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [34.2213]
train_epoch: 1054, loss: 0.7004, recall20: 0.0000 recall10: 0.0000 [34.2613]
train_epoch: 1055, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [34.2997]
train_epoch: 1056, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [34.3386]
train_epoch: 1057, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [34.3771]
train_epoch: 1058, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [34.4148]
train_epoch: 1059, loss: 0.7003, recall20: 0.0000 recall10: 0.0000 [34.4532]
train_epoch: 1060, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [34.4899]
train_epoch: 1061, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [34.5281]
train_epoch: 1062, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [34.5656]
train_epoch: 1063, loss: 0.7002, recall20: 0.0000 recall10: 0.0000 [34.6046]
train_epoch: 1064, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [34.6444]
train_epoch: 1065, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [34.6852]
train_epoch: 1066, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [34.7257]
train_epoch: 1067, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [34.7662]
train_epoch: 1068, loss: 0.7001, recall20: 0.0000 recall10: 0.0000 [34.8054]
train_epoch: 1069, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [34.8440]
train_epoch: 1070, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [34.8825]
train_epoch: 1071, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [34.9205]
train_epoch: 1072, loss: 0.7000, recall20: 0.0000 recall10: 0.0000 [34.9580]
train_epoch: 1073, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [34.9961]
train_epoch: 1074, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [35.0338]
train_epoch: 1075, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [35.0714]
train_epoch: 1076, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [35.1097]
train_epoch: 1077, loss: 0.6999, recall20: 0.0000 recall10: 0.0000 [35.1483]
train_epoch: 1078, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [35.1883]
train_epoch: 1079, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [35.2288]
train_epoch: 1080, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [35.2681]
train_epoch: 1081, loss: 0.6998, recall20: 0.0000 recall10: 0.0000 [35.3067]
train_epoch: 1082, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [35.3458]
train_epoch: 1083, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [35.3844]
train_epoch: 1084, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [35.4227]
train_epoch: 1085, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [35.4615]
train_epoch: 1086, loss: 0.6997, recall20: 0.0000 recall10: 0.0000 [35.4996]
train_epoch: 1087, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [35.5379]
train_epoch: 1088, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [35.5752]
train_epoch: 1089, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [35.6104]
train_epoch: 1090, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [35.6503]
train_epoch: 1091, loss: 0.6996, recall20: 0.0000 recall10: 0.0000 [35.6909]
train_epoch: 1092, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [35.7261]
train_epoch: 1093, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [35.7650]
train_epoch: 1094, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [35.8020]
train_epoch: 1095, loss: 0.6995, recall20: 0.0000 recall10: 0.0000 [35.8396]
train_epoch: 1096, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [35.8777]
train_epoch: 1097, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [35.9151]
train_epoch: 1098, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [35.9538]
train_epoch: 1099, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [35.9906]
train_epoch: 1100, loss: 0.6994, recall20: 0.0000 recall10: 0.0000 [36.0297]
train_epoch: 1101, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [36.0670]
train_epoch: 1102, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [36.1056]
train_epoch: 1103, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [36.1442]
train_epoch: 1104, loss: 0.6993, recall20: 0.0000 recall10: 0.0000 [36.1840]
