{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.7559]
train_epoch: 1002, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.7654]
train_epoch: 1003, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.7730]
train_epoch: 1004, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.7802]
train_epoch: 1005, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.7870]
train_epoch: 1006, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.7938]
train_epoch: 1007, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.8008]
train_epoch: 1008, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.8077]
train_epoch: 1009, loss: 0.3573, recall20: 0.0000 recall10: 0.0000 [6.8161]
train_epoch: 1010, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8259]
train_epoch: 1011, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8353]
train_epoch: 1012, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8431]
train_epoch: 1013, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8514]
train_epoch: 1014, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8606]
train_epoch: 1015, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8689]
train_epoch: 1016, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8772]
train_epoch: 1017, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8855]
train_epoch: 1018, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.8939]
train_epoch: 1019, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9025]
train_epoch: 1020, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9112]
train_epoch: 1021, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9201]
train_epoch: 1022, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9278]
train_epoch: 1023, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9365]
train_epoch: 1024, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9449]
train_epoch: 1025, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9532]
train_epoch: 1026, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9628]
train_epoch: 1027, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9714]
train_epoch: 1028, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9799]
train_epoch: 1029, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9884]
train_epoch: 1030, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [6.9967]
train_epoch: 1031, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0053]
train_epoch: 1032, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0139]
train_epoch: 1033, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0224]
train_epoch: 1034, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0306]
train_epoch: 1035, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0390]
train_epoch: 1036, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0473]
train_epoch: 1037, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0553]
train_epoch: 1038, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0621]
train_epoch: 1039, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0691]
train_epoch: 1040, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0765]
train_epoch: 1041, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0857]
train_epoch: 1042, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.0931]
train_epoch: 1043, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1015]
train_epoch: 1044, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1101]
train_epoch: 1045, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1189]
train_epoch: 1046, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1268]
train_epoch: 1047, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1344]
train_epoch: 1048, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1418]
train_epoch: 1049, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1487]
train_epoch: 1050, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1561]
train_epoch: 1051, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1632]
train_epoch: 1052, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1700]
train_epoch: 1053, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1767]
train_epoch: 1054, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1834]
train_epoch: 1055, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1912]
train_epoch: 1056, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.1997]
train_epoch: 1057, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2090]
train_epoch: 1058, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2165]
train_epoch: 1059, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2241]
train_epoch: 1060, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2313]
train_epoch: 1061, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2384]
train_epoch: 1062, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2454]
train_epoch: 1063, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2528]
train_epoch: 1064, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2603]
train_epoch: 1065, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2682]
train_epoch: 1066, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2763]
train_epoch: 1067, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2846]
train_epoch: 1068, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2924]
train_epoch: 1069, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.2998]
train_epoch: 1070, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3074]
train_epoch: 1071, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3142]
train_epoch: 1072, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3214]
train_epoch: 1073, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3284]
train_epoch: 1074, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3360]
train_epoch: 1075, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3440]
train_epoch: 1076, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3519]
train_epoch: 1077, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3594]
train_epoch: 1078, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3681]
train_epoch: 1079, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3753]
train_epoch: 1080, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3820]
train_epoch: 1081, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3895]
train_epoch: 1082, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.3967]
train_epoch: 1083, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.4035]
train_epoch: 1084, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.4101]
train_epoch: 1085, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.4193]
train_epoch: 1086, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.4294]
train_epoch: 1087, loss: 0.3572, recall20: 0.0000 recall10: 0.0000 [7.4371]
