{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.2436]
train_epoch: 1002, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.2908]
train_epoch: 1003, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.3370]
train_epoch: 1004, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.3836]
train_epoch: 1005, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.4281]
train_epoch: 1006, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.4716]
train_epoch: 1007, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.5126]
train_epoch: 1008, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.5538]
train_epoch: 1009, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.5965]
train_epoch: 1010, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.6418]
train_epoch: 1011, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.6864]
train_epoch: 1012, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.7310]
train_epoch: 1013, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.7761]
train_epoch: 1014, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.8227]
train_epoch: 1015, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.8700]
train_epoch: 1016, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.9142]
train_epoch: 1017, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [44.9595]
train_epoch: 1018, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.0053]
train_epoch: 1019, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.0497]
train_epoch: 1020, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.0946]
train_epoch: 1021, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.1385]
train_epoch: 1022, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.1812]
train_epoch: 1023, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.2217]
train_epoch: 1024, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.2685]
train_epoch: 1025, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.3152]
train_epoch: 1026, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.3599]
train_epoch: 1027, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.4049]
train_epoch: 1028, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.4486]
train_epoch: 1029, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.4929]
train_epoch: 1030, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.5362]
train_epoch: 1031, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.5822]
train_epoch: 1032, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.6267]
train_epoch: 1033, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.6708]
train_epoch: 1034, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.7159]
train_epoch: 1035, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.7603]
train_epoch: 1036, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.8049]
train_epoch: 1037, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.8471]
train_epoch: 1038, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.8901]
train_epoch: 1039, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.9367]
train_epoch: 1040, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [45.9813]
train_epoch: 1041, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.0266]
train_epoch: 1042, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.0735]
train_epoch: 1043, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.1201]
train_epoch: 1044, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.1664]
train_epoch: 1045, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.2108]
train_epoch: 1046, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.2575]
train_epoch: 1047, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.3027]
train_epoch: 1048, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.3459]
train_epoch: 1049, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.3923]
train_epoch: 1050, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.4369]
train_epoch: 1051, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.4845]
train_epoch: 1052, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.5286]
train_epoch: 1053, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.5751]
train_epoch: 1054, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.6171]
train_epoch: 1055, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.6640]
train_epoch: 1056, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.7077]
train_epoch: 1057, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.7539]
train_epoch: 1058, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.8012]
train_epoch: 1059, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.8469]
train_epoch: 1060, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.8908]
train_epoch: 1061, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.9345]
train_epoch: 1062, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [46.9749]
train_epoch: 1063, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [47.0199]
train_epoch: 1064, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [47.0610]
train_epoch: 1065, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [47.1040]
train_epoch: 1066, loss: 0.3389, recall20: 0.0000 recall10: 0.0000 [47.1478]
