{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 4.1421, recall20: 0.0000 recall10: 0.0000 [48.1418]
train_epoch: 1002, loss: 4.1421, recall20: 0.0000 recall10: 0.0000 [48.2226]
train_epoch: 1003, loss: 4.1421, recall20: 0.0000 recall10: 0.0000 [48.2731]
train_epoch: 1004, loss: 4.1420, recall20: 0.0000 recall10: 0.0000 [48.3117]
train_epoch: 1005, loss: 4.1420, recall20: 0.0000 recall10: 0.0000 [48.3655]
train_epoch: 1006, loss: 4.1420, recall20: 0.0000 recall10: 0.0000 [48.4355]
train_epoch: 1007, loss: 4.1419, recall20: 0.0000 recall10: 0.0000 [48.4865]
train_epoch: 1008, loss: 4.1419, recall20: 0.0000 recall10: 0.0000 [48.5327]
train_epoch: 1009, loss: 4.1419, recall20: 0.0000 recall10: 0.0000 [48.6017]
train_epoch: 1010, loss: 4.1418, recall20: 0.0000 recall10: 0.0000 [48.6737]
train_epoch: 1011, loss: 4.1418, recall20: 0.0000 recall10: 0.0000 [48.7141]
train_epoch: 1012, loss: 4.1418, recall20: 0.0000 recall10: 0.0000 [48.7508]
train_epoch: 1013, loss: 4.1417, recall20: 0.0000 recall10: 0.0000 [48.8227]
train_epoch: 1014, loss: 4.1417, recall20: 0.0000 recall10: 0.0000 [48.9000]
train_epoch: 1015, loss: 4.1417, recall20: 0.0000 recall10: 0.0000 [48.9750]
train_epoch: 1016, loss: 4.1416, recall20: 0.0000 recall10: 0.0000 [49.0554]
train_epoch: 1017, loss: 4.1416, recall20: 0.0000 recall10: 0.0000 [49.1168]
train_epoch: 1018, loss: 4.1415, recall20: 0.0000 recall10: 0.0000 [49.1542]
train_epoch: 1019, loss: 4.1415, recall20: 0.0000 recall10: 0.0000 [49.1940]
train_epoch: 1020, loss: 4.1415, recall20: 0.0000 recall10: 0.0000 [49.2383]
train_epoch: 1021, loss: 4.1414, recall20: 0.0000 recall10: 0.0000 [49.2982]
train_epoch: 1022, loss: 4.1414, recall20: 0.0000 recall10: 0.0000 [49.3649]
train_epoch: 1023, loss: 4.1414, recall20: 0.0000 recall10: 0.0000 [49.4453]
