{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [86.5267]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [86.6229]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [86.7164]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [86.8100]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [86.9035]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [86.9974]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.0909]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.1834]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.2770]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.3715]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.4644]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.5578]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.6506]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.7439]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.8366]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [87.9295]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.0226]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.1166]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.2084]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.3014]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.3956]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.4884]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.5814]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.6758]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.7707]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.8640]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [88.9570]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.0501]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.1439]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.2366]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.3297]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.4241]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.5171]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.6098]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.7036]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.7975]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.8909]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [89.9836]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.0775]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.1711]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.2646]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.3591]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.4506]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.5432]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.6332]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.7222]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.8152]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.9070]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [90.9971]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.0904]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.1831]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.2758]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.3688]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.4625]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.5555]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.6487]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.7417]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.8362]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [91.9298]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.0223]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.1156]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.2101]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.3028]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.3943]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.5026]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.5957]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.6884]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.7821]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.8766]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [92.9687]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.0611]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.1578]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.2593]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.3521]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.4460]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.5547]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.6481]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.7408]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.8331]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [93.9269]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.0207]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.1133]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.2057]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.3004]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.3927]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.4856]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.5794]
train_epoch: 1088, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.6740]
train_epoch: 1089, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.7673]
train_epoch: 1090, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [94.8608]
