{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [7.3191]
train_epoch: 1002, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [7.3308]
train_epoch: 1003, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [7.3402]
train_epoch: 1004, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [7.3493]
train_epoch: 1005, loss: 0.6924, recall20: 0.0000 recall10: 0.0000 [7.3590]
train_epoch: 1006, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.3683]
train_epoch: 1007, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.3776]
train_epoch: 1008, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.3866]
train_epoch: 1009, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.3959]
train_epoch: 1010, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4047]
train_epoch: 1011, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4133]
train_epoch: 1012, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4219]
train_epoch: 1013, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4304]
train_epoch: 1014, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4390]
train_epoch: 1015, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4476]
train_epoch: 1016, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4562]
train_epoch: 1017, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4655]
train_epoch: 1018, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4735]
train_epoch: 1019, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4820]
train_epoch: 1020, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4905]
train_epoch: 1021, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.4991]
train_epoch: 1022, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5072]
train_epoch: 1023, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5162]
train_epoch: 1024, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5248]
train_epoch: 1025, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5331]
train_epoch: 1026, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5415]
train_epoch: 1027, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5508]
train_epoch: 1028, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5597]
train_epoch: 1029, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5674]
train_epoch: 1030, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5760]
train_epoch: 1031, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5846]
train_epoch: 1032, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.5927]
train_epoch: 1033, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6019]
train_epoch: 1034, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6110]
train_epoch: 1035, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6193]
train_epoch: 1036, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6272]
train_epoch: 1037, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6360]
train_epoch: 1038, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6453]
train_epoch: 1039, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6562]
train_epoch: 1040, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6646]
train_epoch: 1041, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6731]
train_epoch: 1042, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6812]
train_epoch: 1043, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6889]
train_epoch: 1044, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.6972]
train_epoch: 1045, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.7057]
train_epoch: 1046, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.7139]
train_epoch: 1047, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.7223]
train_epoch: 1048, loss: 0.6923, recall20: 0.0000 recall10: 0.0000 [7.7311]
train_epoch: 1049, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7398]
train_epoch: 1050, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7479]
train_epoch: 1051, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7574]
train_epoch: 1052, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7662]
train_epoch: 1053, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7750]
train_epoch: 1054, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7839]
train_epoch: 1055, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.7932]
train_epoch: 1056, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8027]
train_epoch: 1057, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8122]
train_epoch: 1058, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8210]
train_epoch: 1059, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8304]
train_epoch: 1060, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8394]
train_epoch: 1061, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8485]
train_epoch: 1062, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8572]
train_epoch: 1063, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8664]
train_epoch: 1064, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8756]
train_epoch: 1065, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8848]
train_epoch: 1066, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.8932]
train_epoch: 1067, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9027]
train_epoch: 1068, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9126]
train_epoch: 1069, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9216]
train_epoch: 1070, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9305]
train_epoch: 1071, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9411]
train_epoch: 1072, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9510]
train_epoch: 1073, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9600]
train_epoch: 1074, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9685]
train_epoch: 1075, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9773]
train_epoch: 1076, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9865]
train_epoch: 1077, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [7.9953]
train_epoch: 1078, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0045]
train_epoch: 1079, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0137]
train_epoch: 1080, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0224]
train_epoch: 1081, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0311]
train_epoch: 1082, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0396]
train_epoch: 1083, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0490]
train_epoch: 1084, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0579]
train_epoch: 1085, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0666]
train_epoch: 1086, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0752]
train_epoch: 1087, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0842]
train_epoch: 1088, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.0930]
train_epoch: 1089, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.1013]
train_epoch: 1090, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.1101]
train_epoch: 1091, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.1189]
train_epoch: 1092, loss: 0.6922, recall20: 0.0000 recall10: 0.0000 [8.1274]
train_epoch: 1093, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1358]
train_epoch: 1094, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1450]
train_epoch: 1095, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1539]
train_epoch: 1096, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1630]
train_epoch: 1097, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1726]
train_epoch: 1098, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1822]
train_epoch: 1099, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.1918]
train_epoch: 1100, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2016]
train_epoch: 1101, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2106]
train_epoch: 1102, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2196]
train_epoch: 1103, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2287]
train_epoch: 1104, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2376]
train_epoch: 1105, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2465]
train_epoch: 1106, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2556]
train_epoch: 1107, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2652]
train_epoch: 1108, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2741]
train_epoch: 1109, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2831]
train_epoch: 1110, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.2924]
train_epoch: 1111, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3019]
train_epoch: 1112, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3113]
train_epoch: 1113, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3205]
train_epoch: 1114, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3297]
train_epoch: 1115, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3393]
train_epoch: 1116, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3483]
train_epoch: 1117, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3568]
train_epoch: 1118, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3670]
train_epoch: 1119, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3770]
train_epoch: 1120, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3863]
train_epoch: 1121, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.3948]
train_epoch: 1122, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4037]
train_epoch: 1123, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4136]
train_epoch: 1124, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4229]
train_epoch: 1125, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4325]
train_epoch: 1126, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4414]
train_epoch: 1127, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4504]
train_epoch: 1128, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4591]
train_epoch: 1129, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4673]
train_epoch: 1130, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4754]
train_epoch: 1131, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4839]
train_epoch: 1132, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.4932]
train_epoch: 1133, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.5016]
train_epoch: 1134, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.5098]
train_epoch: 1135, loss: 0.6921, recall20: 0.0000 recall10: 0.0000 [8.5176]
train_epoch: 1136, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5264]
train_epoch: 1137, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5354]
train_epoch: 1138, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5441]
train_epoch: 1139, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5528]
train_epoch: 1140, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5616]
train_epoch: 1141, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5701]
train_epoch: 1142, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5794]
train_epoch: 1143, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.5912]
train_epoch: 1144, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6039]
train_epoch: 1145, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6130]
train_epoch: 1146, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6219]
train_epoch: 1147, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6309]
train_epoch: 1148, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6405]
train_epoch: 1149, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6502]
train_epoch: 1150, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6644]
train_epoch: 1151, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6758]
train_epoch: 1152, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6848]
train_epoch: 1153, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.6935]
train_epoch: 1154, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.7027]
train_epoch: 1155, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.7121]
train_epoch: 1156, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.7217]
train_epoch: 1157, loss: 0.6920, recall20: 0.0000 recall10: 0.0000 [8.7304]
