{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.4759]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.4857]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.4928]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.4997]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5059]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5134]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5200]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5259]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5322]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5388]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5452]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5517]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5583]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5649]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5711]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5781]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5843]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5907]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.5978]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6052]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6117]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6186]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6261]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6332]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6394]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6465]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6526]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6591]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6661]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6728]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6790]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6862]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6931]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.6994]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [5.7060]
