{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.7033, recall20: 0.0000 recall10: 0.0000 [25.7533]
train_epoch: 1002, loss: 0.7032, recall20: 0.0000 recall10: 0.0000 [25.7826]
train_epoch: 1003, loss: 0.7032, recall20: 0.0000 recall10: 0.0000 [25.8086]
train_epoch: 1004, loss: 0.7032, recall20: 0.0000 recall10: 0.0000 [25.8348]
train_epoch: 1005, loss: 0.7032, recall20: 0.0000 recall10: 0.0000 [25.8612]
train_epoch: 1006, loss: 0.7031, recall20: 0.0000 recall10: 0.0000 [25.8888]
train_epoch: 1007, loss: 0.7031, recall20: 0.0000 recall10: 0.0000 [25.9161]
train_epoch: 1008, loss: 0.7031, recall20: 0.0000 recall10: 0.0000 [25.9429]
train_epoch: 1009, loss: 0.7031, recall20: 0.0000 recall10: 0.0000 [25.9691]
train_epoch: 1010, loss: 0.7031, recall20: 0.0000 recall10: 0.0000 [25.9958]
train_epoch: 1011, loss: 0.7030, recall20: 0.0000 recall10: 0.0000 [26.0219]
train_epoch: 1012, loss: 0.7030, recall20: 0.0000 recall10: 0.0000 [26.0482]
train_epoch: 1013, loss: 0.7030, recall20: 0.0000 recall10: 0.0000 [26.0746]
train_epoch: 1014, loss: 0.7030, recall20: 0.0000 recall10: 0.0000 [26.1015]
train_epoch: 1015, loss: 0.7030, recall20: 0.0000 recall10: 0.0000 [26.1301]
train_epoch: 1016, loss: 0.7029, recall20: 0.0000 recall10: 0.0000 [26.1564]
train_epoch: 1017, loss: 0.7029, recall20: 0.0000 recall10: 0.0000 [26.1825]
train_epoch: 1018, loss: 0.7029, recall20: 0.0000 recall10: 0.0000 [26.2086]
train_epoch: 1019, loss: 0.7029, recall20: 0.0000 recall10: 0.0000 [26.2351]
train_epoch: 1020, loss: 0.7029, recall20: 0.0000 recall10: 0.0000 [26.2618]
train_epoch: 1021, loss: 0.7028, recall20: 0.0000 recall10: 0.0000 [26.2883]
train_epoch: 1022, loss: 0.7028, recall20: 0.0000 recall10: 0.0000 [26.3145]
train_epoch: 1023, loss: 0.7028, recall20: 0.0000 recall10: 0.0000 [26.3416]
train_epoch: 1024, loss: 0.7028, recall20: 0.0000 recall10: 0.0000 [26.3689]
train_epoch: 1025, loss: 0.7027, recall20: 0.0000 recall10: 0.0000 [26.3959]
