{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.7952]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8223]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8350]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8479]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8609]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8740]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8868]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.8994]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9118]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9245]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9371]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9498]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9623]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9749]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9871]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [32.9997]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0131]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0274]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0412]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0559]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0702]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0845]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.0982]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1116]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1254]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1390]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1526]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1661]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1797]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.1931]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2065]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2194]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2328]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2460]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2595]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2731]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.2868]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3007]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3149]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3291]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3434]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3576]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3711]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3847]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.3982]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4133]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4264]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4393]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4523]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4655]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4786]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.4917]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5047]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5177]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5304]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5432]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5560]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5691]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5825]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.5959]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6097]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6231]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6364]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6502]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6633]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6766]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.6900]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7034]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7169]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7304]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7436]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7570]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7705]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7837]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.7973]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8110]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8243]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8381]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8517]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8651]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8788]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.8923]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9057]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9193]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9330]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9469]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9616]
train_epoch: 1088, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9762]
train_epoch: 1089, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [33.9905]
train_epoch: 1090, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0033]
train_epoch: 1091, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0167]
train_epoch: 1092, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0301]
train_epoch: 1093, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0438]
train_epoch: 1094, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0574]
train_epoch: 1095, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0712]
train_epoch: 1096, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0846]
train_epoch: 1097, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.0981]
train_epoch: 1098, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1119]
train_epoch: 1099, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1254]
train_epoch: 1100, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1396]
train_epoch: 1101, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1540]
train_epoch: 1102, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1675]
train_epoch: 1103, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1802]
train_epoch: 1104, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.1932]
train_epoch: 1105, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2064]
train_epoch: 1106, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2189]
train_epoch: 1107, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2315]
train_epoch: 1108, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2442]
train_epoch: 1109, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2574]
train_epoch: 1110, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2706]
train_epoch: 1111, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2834]
train_epoch: 1112, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.2958]
train_epoch: 1113, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3088]
train_epoch: 1114, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3215]
train_epoch: 1115, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3346]
train_epoch: 1116, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3473]
train_epoch: 1117, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3596]
train_epoch: 1118, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3721]
train_epoch: 1119, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3848]
train_epoch: 1120, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.3986]
train_epoch: 1121, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4125]
train_epoch: 1122, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4255]
train_epoch: 1123, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4392]
train_epoch: 1124, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4534]
train_epoch: 1125, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4674]
train_epoch: 1126, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4813]
train_epoch: 1127, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.4956]
train_epoch: 1128, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5093]
train_epoch: 1129, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5235]
train_epoch: 1130, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5376]
train_epoch: 1131, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5516]
train_epoch: 1132, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5655]
train_epoch: 1133, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5797]
train_epoch: 1134, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.5937]
train_epoch: 1135, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6077]
train_epoch: 1136, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6216]
train_epoch: 1137, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6360]
train_epoch: 1138, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6503]
train_epoch: 1139, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6642]
train_epoch: 1140, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6783]
train_epoch: 1141, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.6921]
train_epoch: 1142, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7059]
train_epoch: 1143, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7196]
train_epoch: 1144, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7336]
train_epoch: 1145, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7473]
train_epoch: 1146, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7615]
train_epoch: 1147, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7752]
train_epoch: 1148, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.7890]
train_epoch: 1149, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8026]
train_epoch: 1150, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8162]
train_epoch: 1151, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8299]
train_epoch: 1152, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8435]
train_epoch: 1153, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8569]
train_epoch: 1154, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8706]
train_epoch: 1155, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8841]
train_epoch: 1156, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.8986]
train_epoch: 1157, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9126]
train_epoch: 1158, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9264]
train_epoch: 1159, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9403]
train_epoch: 1160, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9539]
train_epoch: 1161, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9681]
train_epoch: 1162, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9824]
train_epoch: 1163, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [34.9960]
train_epoch: 1164, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0100]
train_epoch: 1165, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0239]
train_epoch: 1166, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0380]
train_epoch: 1167, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0519]
train_epoch: 1168, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0661]
train_epoch: 1169, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0803]
train_epoch: 1170, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.0947]
train_epoch: 1171, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1083]
train_epoch: 1172, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1219]
train_epoch: 1173, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1361]
train_epoch: 1174, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1498]
train_epoch: 1175, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1635]
train_epoch: 1176, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1774]
train_epoch: 1177, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.1911]
train_epoch: 1178, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2044]
train_epoch: 1179, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2179]
train_epoch: 1180, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2314]
train_epoch: 1181, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2451]
train_epoch: 1182, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2590]
train_epoch: 1183, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2729]
train_epoch: 1184, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.2917]
train_epoch: 1185, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3060]
train_epoch: 1186, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3197]
train_epoch: 1187, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3337]
train_epoch: 1188, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3470]
train_epoch: 1189, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3605]
train_epoch: 1190, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3749]
train_epoch: 1191, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.3895]
train_epoch: 1192, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4036]
train_epoch: 1193, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4175]
train_epoch: 1194, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4307]
train_epoch: 1195, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4441]
train_epoch: 1196, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4588]
train_epoch: 1197, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4735]
train_epoch: 1198, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.4878]
train_epoch: 1199, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5018]
train_epoch: 1200, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5153]
train_epoch: 1201, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5290]
train_epoch: 1202, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5433]
train_epoch: 1203, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5576]
train_epoch: 1204, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5722]
train_epoch: 1205, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.5866]
train_epoch: 1206, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6004]
train_epoch: 1207, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6149]
train_epoch: 1208, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6289]
train_epoch: 1209, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6436]
train_epoch: 1210, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6588]
train_epoch: 1211, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6729]
train_epoch: 1212, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.6875]
train_epoch: 1213, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7010]
train_epoch: 1214, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7155]
train_epoch: 1215, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7303]
train_epoch: 1216, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7455]
train_epoch: 1217, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7600]
train_epoch: 1218, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7741]
train_epoch: 1219, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.7881]
train_epoch: 1220, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8027]
train_epoch: 1221, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8177]
train_epoch: 1222, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8321]
train_epoch: 1223, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8472]
train_epoch: 1224, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8618]
train_epoch: 1225, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8755]
train_epoch: 1226, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.8888]
train_epoch: 1227, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9027]
train_epoch: 1228, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9175]
train_epoch: 1229, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9319]
train_epoch: 1230, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9454]
train_epoch: 1231, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9590]
train_epoch: 1232, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9728]
train_epoch: 1233, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [35.9866]
train_epoch: 1234, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0003]
train_epoch: 1235, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0138]
train_epoch: 1236, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0268]
train_epoch: 1237, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0409]
train_epoch: 1238, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0554]
train_epoch: 1239, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0684]
train_epoch: 1240, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0828]
train_epoch: 1241, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.0966]
train_epoch: 1242, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1108]
train_epoch: 1243, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1244]
train_epoch: 1244, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1378]
train_epoch: 1245, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1515]
train_epoch: 1246, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1660]
train_epoch: 1247, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1796]
train_epoch: 1248, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.1931]
train_epoch: 1249, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.2066]
train_epoch: 1250, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.2198]
train_epoch: 1251, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.2331]
train_epoch: 1252, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [36.2470]
