{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.4531]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.5315]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6052]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6770]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7505]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8224]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8960]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.9699]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.0422]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.1149]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.1870]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.2623]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.3357]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.4084]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.4819]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.5547]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.6281]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.7015]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.7741]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.8464]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.9192]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [69.9939]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [70.0674]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [70.1402]
