{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [72.8808]
train_epoch: 1002, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [72.9253]
train_epoch: 1003, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [72.9723]
train_epoch: 1004, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.0190]
train_epoch: 1005, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.0628]
train_epoch: 1006, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.1114]
train_epoch: 1007, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.1538]
train_epoch: 1008, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.1988]
train_epoch: 1009, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.2441]
train_epoch: 1010, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.2883]
train_epoch: 1011, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.3322]
train_epoch: 1012, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.3772]
train_epoch: 1013, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.4185]
train_epoch: 1014, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.4636]
train_epoch: 1015, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.5058]
train_epoch: 1016, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.5486]
train_epoch: 1017, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.5918]
train_epoch: 1018, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.6339]
train_epoch: 1019, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.6770]
train_epoch: 1020, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.7176]
train_epoch: 1021, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.7572]
train_epoch: 1022, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.8011]
train_epoch: 1023, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.8438]
train_epoch: 1024, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.8883]
train_epoch: 1025, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.9322]
train_epoch: 1026, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [73.9706]
train_epoch: 1027, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.0078]
train_epoch: 1028, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.0503]
train_epoch: 1029, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.0976]
train_epoch: 1030, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.1430]
train_epoch: 1031, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.1871]
train_epoch: 1032, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.2294]
train_epoch: 1033, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.2749]
train_epoch: 1034, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.3174]
train_epoch: 1035, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.3590]
train_epoch: 1036, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.4029]
train_epoch: 1037, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.4477]
train_epoch: 1038, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.4913]
train_epoch: 1039, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.5367]
train_epoch: 1040, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.5804]
train_epoch: 1041, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.6183]
train_epoch: 1042, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.6591]
train_epoch: 1043, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.7041]
train_epoch: 1044, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.7473]
train_epoch: 1045, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.7800]
train_epoch: 1046, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.8259]
train_epoch: 1047, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.8705]
train_epoch: 1048, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.9131]
train_epoch: 1049, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [74.9579]
train_epoch: 1050, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.0025]
train_epoch: 1051, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.0471]
train_epoch: 1052, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.0918]
train_epoch: 1053, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.1390]
train_epoch: 1054, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.1860]
train_epoch: 1055, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.2322]
train_epoch: 1056, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.2767]
train_epoch: 1057, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.3199]
train_epoch: 1058, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.3619]
train_epoch: 1059, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.4049]
train_epoch: 1060, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.4506]
train_epoch: 1061, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.4899]
train_epoch: 1062, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.5314]
train_epoch: 1063, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.5644]
train_epoch: 1064, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.6022]
train_epoch: 1065, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.6479]
train_epoch: 1066, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.6927]
train_epoch: 1067, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.7048]
train_epoch: 1068, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.7181]
train_epoch: 1069, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.7324]
train_epoch: 1070, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.7542]
train_epoch: 1071, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.7762]
train_epoch: 1072, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8066]
train_epoch: 1073, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8174]
train_epoch: 1074, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8274]
train_epoch: 1075, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8387]
train_epoch: 1076, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8496]
train_epoch: 1077, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8605]
train_epoch: 1078, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8718]
train_epoch: 1079, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8836]
train_epoch: 1080, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.8957]
train_epoch: 1081, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9078]
train_epoch: 1082, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9177]
train_epoch: 1083, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9309]
train_epoch: 1084, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9443]
train_epoch: 1085, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9551]
train_epoch: 1086, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9653]
train_epoch: 1087, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9762]
train_epoch: 1088, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9862]
train_epoch: 1089, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [75.9963]
train_epoch: 1090, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0065]
train_epoch: 1091, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0182]
train_epoch: 1092, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0277]
train_epoch: 1093, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0373]
train_epoch: 1094, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0471]
train_epoch: 1095, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0571]
train_epoch: 1096, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0669]
train_epoch: 1097, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0763]
train_epoch: 1098, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0863]
train_epoch: 1099, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.0966]
train_epoch: 1100, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1067]
train_epoch: 1101, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1162]
train_epoch: 1102, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1262]
train_epoch: 1103, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1363]
train_epoch: 1104, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1459]
train_epoch: 1105, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1562]
train_epoch: 1106, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1664]
train_epoch: 1107, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1758]
train_epoch: 1108, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1854]
train_epoch: 1109, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.1957]
train_epoch: 1110, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [76.2061]
train_epoch: 1111, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2162]
train_epoch: 1112, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2262]
train_epoch: 1113, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2358]
train_epoch: 1114, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2462]
train_epoch: 1115, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2565]
train_epoch: 1116, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2665]
train_epoch: 1117, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2766]
train_epoch: 1118, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2865]
train_epoch: 1119, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.2960]
train_epoch: 1120, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3057]
train_epoch: 1121, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3159]
train_epoch: 1122, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3261]
train_epoch: 1123, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3352]
train_epoch: 1124, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3450]
train_epoch: 1125, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3556]
train_epoch: 1126, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3654]
train_epoch: 1127, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3747]
train_epoch: 1128, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3854]
train_epoch: 1129, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.3954]
train_epoch: 1130, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4051]
train_epoch: 1131, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4147]
train_epoch: 1132, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4242]
train_epoch: 1133, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4342]
train_epoch: 1134, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4438]
train_epoch: 1135, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4533]
train_epoch: 1136, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4621]
train_epoch: 1137, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4715]
train_epoch: 1138, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4821]
train_epoch: 1139, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.4918]
train_epoch: 1140, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5049]
train_epoch: 1141, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5149]
train_epoch: 1142, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5243]
train_epoch: 1143, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5337]
train_epoch: 1144, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5427]
train_epoch: 1145, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5522]
train_epoch: 1146, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5610]
train_epoch: 1147, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5697]
train_epoch: 1148, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5787]
train_epoch: 1149, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5888]
train_epoch: 1150, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.5984]
train_epoch: 1151, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6070]
train_epoch: 1152, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6154]
train_epoch: 1153, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6279]
train_epoch: 1154, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6378]
train_epoch: 1155, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6481]
train_epoch: 1156, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6587]
train_epoch: 1157, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6683]
train_epoch: 1158, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6784]
train_epoch: 1159, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6891]
train_epoch: 1160, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [76.6987]
