{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.9036]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.9450]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [27.9837]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.0210]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.0621]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.1042]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.1426]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.1814]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.2213]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.2627]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.3031]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.3449]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.3856]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.4249]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.4639]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.5033]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.5436]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.5830]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.6202]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.6535]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.6931]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.7346]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.7760]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.8161]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.8557]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.8954]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.9349]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [28.9742]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.0125]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.0512]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.0923]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.1336]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.1739]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.2114]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.2517]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.2919]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.3286]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.3658]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.4056]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.4461]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.4873]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.5282]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.5690]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.6066]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.6464]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.6869]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.7269]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.7671]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [29.8061]
