{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.8647]
train_epoch: 1002, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.8760]
train_epoch: 1003, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.8847]
train_epoch: 1004, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.8931]
train_epoch: 1005, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9016]
train_epoch: 1006, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9103]
train_epoch: 1007, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9189]
train_epoch: 1008, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9275]
train_epoch: 1009, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9363]
train_epoch: 1010, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9452]
train_epoch: 1011, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9542]
train_epoch: 1012, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9633]
train_epoch: 1013, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9721]
train_epoch: 1014, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9804]
train_epoch: 1015, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9892]
train_epoch: 1016, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [13.9984]
train_epoch: 1017, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0071]
train_epoch: 1018, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0152]
train_epoch: 1019, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0242]
train_epoch: 1020, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0334]
train_epoch: 1021, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0423]
train_epoch: 1022, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0510]
train_epoch: 1023, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0598]
train_epoch: 1024, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0694]
train_epoch: 1025, loss: 0.7168, recall20: 0.0000 recall10: 0.0000 [14.0780]
train_epoch: 1026, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.0868]
train_epoch: 1027, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.0948]
train_epoch: 1028, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1029]
train_epoch: 1029, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1111]
train_epoch: 1030, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1187]
train_epoch: 1031, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1268]
train_epoch: 1032, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1348]
train_epoch: 1033, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1426]
train_epoch: 1034, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1510]
train_epoch: 1035, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1593]
train_epoch: 1036, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1674]
train_epoch: 1037, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1753]
train_epoch: 1038, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1836]
train_epoch: 1039, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.1916]
train_epoch: 1040, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2001]
train_epoch: 1041, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2086]
train_epoch: 1042, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2160]
train_epoch: 1043, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2237]
train_epoch: 1044, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2317]
train_epoch: 1045, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2400]
train_epoch: 1046, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2485]
train_epoch: 1047, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2565]
train_epoch: 1048, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2647]
train_epoch: 1049, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2725]
train_epoch: 1050, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2805]
train_epoch: 1051, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2881]
train_epoch: 1052, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.2958]
train_epoch: 1053, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3039]
train_epoch: 1054, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3130]
train_epoch: 1055, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3211]
train_epoch: 1056, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3290]
train_epoch: 1057, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3369]
train_epoch: 1058, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3455]
train_epoch: 1059, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3532]
train_epoch: 1060, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3612]
train_epoch: 1061, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3690]
train_epoch: 1062, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3769]
train_epoch: 1063, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3852]
train_epoch: 1064, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.3931]
train_epoch: 1065, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.4009]
train_epoch: 1066, loss: 0.7167, recall20: 0.0000 recall10: 0.0000 [14.4086]
train_epoch: 1067, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4164]
train_epoch: 1068, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4238]
train_epoch: 1069, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4318]
train_epoch: 1070, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4396]
train_epoch: 1071, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4475]
train_epoch: 1072, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4565]
train_epoch: 1073, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4645]
train_epoch: 1074, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4724]
train_epoch: 1075, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4805]
train_epoch: 1076, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4882]
train_epoch: 1077, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.4953]
train_epoch: 1078, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5031]
train_epoch: 1079, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5112]
train_epoch: 1080, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5189]
train_epoch: 1081, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5269]
train_epoch: 1082, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5348]
train_epoch: 1083, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5426]
train_epoch: 1084, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5504]
train_epoch: 1085, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5583]
train_epoch: 1086, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5659]
train_epoch: 1087, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5737]
train_epoch: 1088, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5823]
train_epoch: 1089, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5901]
train_epoch: 1090, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.5983]
train_epoch: 1091, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6070]
train_epoch: 1092, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6145]
train_epoch: 1093, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6221]
train_epoch: 1094, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6299]
train_epoch: 1095, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6374]
train_epoch: 1096, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6454]
train_epoch: 1097, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6537]
train_epoch: 1098, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6613]
train_epoch: 1099, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6690]
train_epoch: 1100, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6767]
train_epoch: 1101, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6847]
train_epoch: 1102, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.6927]
train_epoch: 1103, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.7005]
train_epoch: 1104, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.7081]
train_epoch: 1105, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.7159]
train_epoch: 1106, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.7237]
train_epoch: 1107, loss: 0.7166, recall20: 0.0000 recall10: 0.0000 [14.7311]
train_epoch: 1108, loss: 0.7165, recall20: 0.0000 recall10: 0.0000 [14.7393]
train_epoch: 1109, loss: 0.7165, recall20: 0.0000 recall10: 0.0000 [14.7473]
