{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [43.8660]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [43.9198]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [43.9700]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.0200]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.0699]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.1209]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.1714]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.2217]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.2721]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.3220]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.3724]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.4220]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.4725]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.5230]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.5734]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.6239]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.6747]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.7247]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.7749]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.8245]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.8741]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.9238]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [44.9734]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.0239]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.0746]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.1249]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.1741]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.2251]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.2743]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.3236]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.3735]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.4234]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.4732]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.5244]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.5759]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.6254]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.6756]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.7244]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.7744]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.8244]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.8852]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.9348]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [45.9850]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.0345]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.0850]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.1350]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.1846]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.2324]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.2822]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.3295]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.3787]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.4292]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.4779]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.5284]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.5783]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.6282]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.6785]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.7292]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.7796]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.8287]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.8791]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.9292]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [46.9784]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.0278]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.0763]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.1270]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.1766]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.2261]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.2756]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.3256]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.3761]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.4252]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.4735]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.5236]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.5749]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.6254]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.6750]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.7253]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.7748]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.8262]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.8773]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.9263]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [47.9758]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.0264]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.0750]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.1259]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.1760]
train_epoch: 1088, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.2264]
train_epoch: 1089, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.2774]
train_epoch: 1090, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.3267]
train_epoch: 1091, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.3760]
train_epoch: 1092, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.4262]
train_epoch: 1093, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.4766]
train_epoch: 1094, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.5263]
train_epoch: 1095, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.5757]
train_epoch: 1096, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.6260]
train_epoch: 1097, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.6764]
train_epoch: 1098, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.7271]
train_epoch: 1099, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.7766]
train_epoch: 1100, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.8256]
train_epoch: 1101, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.8761]
train_epoch: 1102, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.9262]
train_epoch: 1103, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [48.9759]
train_epoch: 1104, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [49.0259]
