{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.0544]
train_epoch: 1002, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.0777]
train_epoch: 1003, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.0958]
train_epoch: 1004, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.1149]
train_epoch: 1005, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.1341]
train_epoch: 1006, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.1535]
train_epoch: 1007, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.1744]
train_epoch: 1008, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.1939]
train_epoch: 1009, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.2147]
train_epoch: 1010, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.2342]
train_epoch: 1011, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.2541]
train_epoch: 1012, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.2737]
train_epoch: 1013, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.2937]
train_epoch: 1014, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.3125]
train_epoch: 1015, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.3319]
train_epoch: 1016, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.3554]
train_epoch: 1017, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.3772]
train_epoch: 1018, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.3967]
train_epoch: 1019, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.4182]
train_epoch: 1020, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.4402]
train_epoch: 1021, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.4643]
train_epoch: 1022, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.4867]
train_epoch: 1023, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.5064]
train_epoch: 1024, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.5275]
train_epoch: 1025, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.5500]
train_epoch: 1026, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.5722]
train_epoch: 1027, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.5941]
train_epoch: 1028, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.6164]
train_epoch: 1029, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.6364]
train_epoch: 1030, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.6578]
train_epoch: 1031, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.6784]
train_epoch: 1032, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.7011]
train_epoch: 1033, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.7219]
train_epoch: 1034, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.7433]
train_epoch: 1035, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.7659]
train_epoch: 1036, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.7879]
train_epoch: 1037, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.8083]
train_epoch: 1038, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.8297]
train_epoch: 1039, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.8515]
train_epoch: 1040, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.8738]
train_epoch: 1041, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.8951]
train_epoch: 1042, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.9177]
train_epoch: 1043, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.9386]
train_epoch: 1044, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.9603]
train_epoch: 1045, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [38.9809]
train_epoch: 1046, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.0008]
train_epoch: 1047, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.0209]
train_epoch: 1048, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.0417]
train_epoch: 1049, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.0611]
train_epoch: 1050, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.0812]
train_epoch: 1051, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.1009]
train_epoch: 1052, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.1206]
train_epoch: 1053, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.1403]
train_epoch: 1054, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.1594]
train_epoch: 1055, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.1874]
train_epoch: 1056, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.2071]
train_epoch: 1057, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.2264]
train_epoch: 1058, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.2484]
train_epoch: 1059, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.2678]
train_epoch: 1060, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.2898]
train_epoch: 1061, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.3107]
train_epoch: 1062, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.3323]
train_epoch: 1063, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.3539]
train_epoch: 1064, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.3739]
train_epoch: 1065, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.3930]
train_epoch: 1066, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.4142]
train_epoch: 1067, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.4352]
train_epoch: 1068, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.4566]
train_epoch: 1069, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.4781]
train_epoch: 1070, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.4974]
train_epoch: 1071, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.5176]
train_epoch: 1072, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.5387]
train_epoch: 1073, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.5651]
train_epoch: 1074, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.5872]
train_epoch: 1075, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.6077]
train_epoch: 1076, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.6294]
train_epoch: 1077, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.6528]
train_epoch: 1078, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.6754]
train_epoch: 1079, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.6979]
train_epoch: 1080, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.7198]
train_epoch: 1081, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.7414]
train_epoch: 1082, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.7624]
train_epoch: 1083, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.7823]
train_epoch: 1084, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.8031]
train_epoch: 1085, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.8255]
train_epoch: 1086, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.8458]
train_epoch: 1087, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.8661]
train_epoch: 1088, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.8875]
train_epoch: 1089, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.9088]
train_epoch: 1090, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.9296]
train_epoch: 1091, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.9495]
train_epoch: 1092, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.9699]
train_epoch: 1093, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [39.9910]
train_epoch: 1094, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.0133]
train_epoch: 1095, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.0357]
train_epoch: 1096, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.0573]
train_epoch: 1097, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.0776]
train_epoch: 1098, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.0990]
train_epoch: 1099, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.1233]
train_epoch: 1100, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.1461]
train_epoch: 1101, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.1673]
train_epoch: 1102, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [40.1885]
