{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.7221, recall20: 0.0000 recall10: 0.0000 [59.8527]
train_epoch: 1002, loss: 0.7221, recall20: 0.0000 recall10: 0.0000 [59.9319]
train_epoch: 1003, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.0077]
train_epoch: 1004, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.0842]
train_epoch: 1005, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.1608]
train_epoch: 1006, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.2373]
train_epoch: 1007, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.3132]
train_epoch: 1008, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.3893]
train_epoch: 1009, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.4656]
train_epoch: 1010, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.5419]
train_epoch: 1011, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.6182]
train_epoch: 1012, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.6942]
train_epoch: 1013, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.7699]
train_epoch: 1014, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.8458]
train_epoch: 1015, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.9221]
train_epoch: 1016, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [60.9981]
train_epoch: 1017, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.0737]
train_epoch: 1018, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.1504]
train_epoch: 1019, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.2263]
train_epoch: 1020, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.3021]
train_epoch: 1021, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.3781]
train_epoch: 1022, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.4546]
train_epoch: 1023, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.5305]
train_epoch: 1024, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.6049]
train_epoch: 1025, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.6814]
train_epoch: 1026, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.7573]
train_epoch: 1027, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.8337]
train_epoch: 1028, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.9103]
train_epoch: 1029, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [61.9867]
train_epoch: 1030, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.0626]
train_epoch: 1031, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.1395]
train_epoch: 1032, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.2158]
train_epoch: 1033, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.2919]
train_epoch: 1034, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.3681]
train_epoch: 1035, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.4452]
train_epoch: 1036, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.5216]
train_epoch: 1037, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.5987]
train_epoch: 1038, loss: 0.7220, recall20: 0.0000 recall10: 0.0000 [62.6753]
train_epoch: 1039, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [62.7521]
train_epoch: 1040, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [62.8288]
train_epoch: 1041, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [62.9048]
train_epoch: 1042, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [62.9811]
train_epoch: 1043, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.0568]
train_epoch: 1044, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.1334]
train_epoch: 1045, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.2112]
train_epoch: 1046, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.2880]
train_epoch: 1047, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.3642]
train_epoch: 1048, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.4407]
train_epoch: 1049, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.5180]
train_epoch: 1050, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.5950]
train_epoch: 1051, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.6714]
train_epoch: 1052, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.7480]
train_epoch: 1053, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.8244]
train_epoch: 1054, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.9004]
train_epoch: 1055, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [63.9769]
train_epoch: 1056, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.0537]
train_epoch: 1057, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.1312]
train_epoch: 1058, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.2095]
train_epoch: 1059, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.2875]
train_epoch: 1060, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.3642]
train_epoch: 1061, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.4404]
train_epoch: 1062, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.5179]
train_epoch: 1063, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.5946]
train_epoch: 1064, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.6708]
train_epoch: 1065, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.7485]
train_epoch: 1066, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.8264]
train_epoch: 1067, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.9039]
train_epoch: 1068, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [64.9806]
train_epoch: 1069, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.0572]
train_epoch: 1070, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.1341]
train_epoch: 1071, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.2104]
train_epoch: 1072, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.2877]
train_epoch: 1073, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.3646]
train_epoch: 1074, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.4409]
train_epoch: 1075, loss: 0.7219, recall20: 0.0000 recall10: 0.0000 [65.5173]
train_epoch: 1076, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [65.5940]
train_epoch: 1077, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [65.6703]
train_epoch: 1078, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [65.7459]
train_epoch: 1079, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [65.8223]
train_epoch: 1080, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [65.8984]
train_epoch: 1081, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [65.9747]
train_epoch: 1082, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [66.0510]
train_epoch: 1083, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [66.1290]
train_epoch: 1084, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [66.2056]
train_epoch: 1085, loss: 0.7218, recall20: 0.0000 recall10: 0.0000 [66.2816]
