{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.7132]
train_epoch: 1002, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.7528]
train_epoch: 1003, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.7878]
train_epoch: 1004, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.8244]
train_epoch: 1005, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.8606]
train_epoch: 1006, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.8947]
train_epoch: 1007, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.9309]
train_epoch: 1008, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [34.9678]
train_epoch: 1009, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.0044]
train_epoch: 1010, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.0402]
train_epoch: 1011, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.0758]
train_epoch: 1012, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.1114]
train_epoch: 1013, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.1479]
train_epoch: 1014, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.1847]
train_epoch: 1015, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.2219]
train_epoch: 1016, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.2579]
train_epoch: 1017, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.2929]
train_epoch: 1018, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.3278]
train_epoch: 1019, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.3610]
train_epoch: 1020, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.3969]
train_epoch: 1021, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.4318]
train_epoch: 1022, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.4676]
train_epoch: 1023, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.5023]
train_epoch: 1024, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.5396]
train_epoch: 1025, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.5736]
train_epoch: 1026, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.6080]
train_epoch: 1027, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.6434]
train_epoch: 1028, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.6808]
train_epoch: 1029, loss: 0.0002, recall20: 0.0000 recall10: 0.0000 [35.7176]
