{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 2.1440, recall20: 0.0000 recall10: 0.0000 [22.2753]
train_epoch: 1002, loss: 2.1440, recall20: 0.0000 recall10: 0.0000 [22.2961]
train_epoch: 1003, loss: 2.1440, recall20: 0.0000 recall10: 0.0000 [22.3032]
train_epoch: 1004, loss: 2.1440, recall20: 0.0000 recall10: 0.0000 [22.3137]
train_epoch: 1005, loss: 2.1440, recall20: 0.0000 recall10: 0.0000 [22.3246]
train_epoch: 1006, loss: 2.1440, recall20: 0.0000 recall10: 0.0000 [22.3315]
train_epoch: 1007, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3390]
train_epoch: 1008, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3465]
train_epoch: 1009, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3543]
train_epoch: 1010, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3613]
train_epoch: 1011, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3680]
train_epoch: 1012, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3754]
train_epoch: 1013, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.3828]
train_epoch: 1014, loss: 2.1439, recall20: 0.0000 recall10: 0.0000 [22.4096]
train_epoch: 1015, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.4445]
train_epoch: 1016, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.4800]
train_epoch: 1017, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.5153]
train_epoch: 1018, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.5508]
train_epoch: 1019, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.5827]
train_epoch: 1020, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.6176]
train_epoch: 1021, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.6505]
train_epoch: 1022, loss: 2.1438, recall20: 0.0000 recall10: 0.0000 [22.6779]
train_epoch: 1023, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.7102]
train_epoch: 1024, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.7410]
train_epoch: 1025, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.7749]
train_epoch: 1026, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.8096]
train_epoch: 1027, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.8428]
train_epoch: 1028, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.8771]
train_epoch: 1029, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.9051]
train_epoch: 1030, loss: 2.1437, recall20: 0.0000 recall10: 0.0000 [22.9266]
train_epoch: 1031, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [22.9510]
train_epoch: 1032, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [22.9872]
train_epoch: 1033, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [23.0129]
train_epoch: 1034, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [23.0469]
train_epoch: 1035, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [23.0833]
train_epoch: 1036, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [23.1175]
train_epoch: 1037, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [23.1258]
train_epoch: 1038, loss: 2.1436, recall20: 0.0000 recall10: 0.0000 [23.1324]
train_epoch: 1039, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1392]
train_epoch: 1040, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1463]
train_epoch: 1041, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1534]
train_epoch: 1042, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1610]
train_epoch: 1043, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1684]
train_epoch: 1044, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1764]
train_epoch: 1045, loss: 2.1435, recall20: 0.0000 recall10: 0.0000 [23.1840]
train_epoch: 1046, loss: 2.1434, recall20: 0.0000 recall10: 0.0000 [23.1913]
