{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6421]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6526]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6600]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6673]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6743]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6826]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6902]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.6975]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7057]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7134]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7212]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7294]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7372]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7447]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7530]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7611]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7688]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7770]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7849]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.7931]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8006]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8082]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8158]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8235]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8310]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8377]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8465]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8551]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8616]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8689]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8764]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8837]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8917]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.8989]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9055]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9129]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9238]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9320]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9396]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9474]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9559]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9643]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9720]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9799]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9877]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [54.9955]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.0045]
