{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 5.5611, recall20: 0.0000 recall10: 0.0000 [7.0104]
train_epoch: 1002, loss: 5.5611, recall20: 0.0000 recall10: 0.0000 [7.0223]
train_epoch: 1003, loss: 5.5611, recall20: 0.0000 recall10: 0.0000 [7.0302]
train_epoch: 1004, loss: 5.5611, recall20: 0.0000 recall10: 0.0000 [7.0404]
train_epoch: 1005, loss: 5.5610, recall20: 0.0000 recall10: 0.0000 [7.0477]
train_epoch: 1006, loss: 5.5610, recall20: 0.0000 recall10: 0.0000 [7.0560]
train_epoch: 1007, loss: 5.5610, recall20: 0.0000 recall10: 0.0000 [7.0644]
train_epoch: 1008, loss: 5.5610, recall20: 0.0000 recall10: 0.0000 [7.0756]
train_epoch: 1009, loss: 5.5609, recall20: 0.0000 recall10: 0.0000 [7.0930]
train_epoch: 1010, loss: 5.5609, recall20: 0.0000 recall10: 0.0000 [7.1215]
train_epoch: 1011, loss: 5.5609, recall20: 0.0000 recall10: 0.0000 [7.1589]
train_epoch: 1012, loss: 5.5609, recall20: 0.0000 recall10: 0.0000 [7.1952]
train_epoch: 1013, loss: 5.5608, recall20: 0.0000 recall10: 0.0000 [7.2317]
train_epoch: 1014, loss: 5.5608, recall20: 0.0000 recall10: 0.0000 [7.2674]
train_epoch: 1015, loss: 5.5608, recall20: 0.0000 recall10: 0.0000 [7.2936]
train_epoch: 1016, loss: 5.5608, recall20: 0.0000 recall10: 0.0000 [7.3167]
train_epoch: 1017, loss: 5.5607, recall20: 0.0000 recall10: 0.0000 [7.3428]
train_epoch: 1018, loss: 5.5607, recall20: 0.0000 recall10: 0.0000 [7.3777]
train_epoch: 1019, loss: 5.5607, recall20: 0.0000 recall10: 0.0000 [7.4125]
train_epoch: 1020, loss: 5.5607, recall20: 0.0000 recall10: 0.0000 [7.4198]
train_epoch: 1021, loss: 5.5606, recall20: 0.0000 recall10: 0.0000 [7.4534]
train_epoch: 1022, loss: 5.5606, recall20: 0.0000 recall10: 0.0000 [7.4636]
train_epoch: 1023, loss: 5.5606, recall20: 0.0000 recall10: 0.0000 [7.4700]
train_epoch: 1024, loss: 5.5606, recall20: 0.0000 recall10: 0.0000 [7.4836]
train_epoch: 1025, loss: 5.5606, recall20: 0.0000 recall10: 0.0000 [7.4908]
train_epoch: 1026, loss: 5.5605, recall20: 0.0000 recall10: 0.0000 [7.5230]
train_epoch: 1027, loss: 5.5605, recall20: 0.0000 recall10: 0.0000 [7.5595]
train_epoch: 1028, loss: 5.5605, recall20: 0.0000 recall10: 0.0000 [7.5963]
train_epoch: 1029, loss: 5.5605, recall20: 0.0000 recall10: 0.0000 [7.6350]
train_epoch: 1030, loss: 5.5604, recall20: 0.0000 recall10: 0.0000 [7.6719]
train_epoch: 1031, loss: 5.5604, recall20: 0.0000 recall10: 0.0000 [7.6969]
train_epoch: 1032, loss: 5.5604, recall20: 0.0000 recall10: 0.0000 [7.7328]
train_epoch: 1033, loss: 5.5604, recall20: 0.0000 recall10: 0.0000 [7.7669]
train_epoch: 1034, loss: 5.5603, recall20: 0.0000 recall10: 0.0000 [7.8036]
train_epoch: 1035, loss: 5.5603, recall20: 0.0000 recall10: 0.0000 [7.8417]
train_epoch: 1036, loss: 5.5603, recall20: 0.0000 recall10: 0.0000 [7.8765]
train_epoch: 1037, loss: 5.5603, recall20: 0.0000 recall10: 0.0000 [7.9127]
train_epoch: 1038, loss: 5.5602, recall20: 0.0000 recall10: 0.0000 [7.9482]
train_epoch: 1039, loss: 5.5602, recall20: 0.0000 recall10: 0.0000 [7.9750]
train_epoch: 1040, loss: 5.5602, recall20: 0.0000 recall10: 0.0000 [8.0118]
train_epoch: 1041, loss: 5.5602, recall20: 0.0000 recall10: 0.0000 [8.0472]
train_epoch: 1042, loss: 5.5601, recall20: 0.0000 recall10: 0.0000 [8.0828]
train_epoch: 1043, loss: 5.5601, recall20: 0.0000 recall10: 0.0000 [8.1179]
train_epoch: 1044, loss: 5.5601, recall20: 0.0000 recall10: 0.0000 [8.1465]
train_epoch: 1045, loss: 5.5601, recall20: 0.0000 recall10: 0.0000 [8.1827]
