{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.1669]
train_epoch: 1002, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.2164]
train_epoch: 1003, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.2617]
train_epoch: 1004, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.3053]
train_epoch: 1005, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.3510]
train_epoch: 1006, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.3977]
train_epoch: 1007, loss: 0.6863, recall20: 0.0000 recall10: 0.0000 [43.4433]
train_epoch: 1008, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.4895]
train_epoch: 1009, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.5299]
train_epoch: 1010, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.5730]
train_epoch: 1011, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.6160]
train_epoch: 1012, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.6591]
train_epoch: 1013, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.7062]
train_epoch: 1014, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.7501]
train_epoch: 1015, loss: 0.6862, recall20: 0.0000 recall10: 0.0000 [43.7949]
train_epoch: 1016, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [43.8394]
train_epoch: 1017, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [43.8862]
train_epoch: 1018, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [43.9328]
train_epoch: 1019, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [43.9722]
train_epoch: 1020, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [44.0112]
train_epoch: 1021, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [44.0537]
train_epoch: 1022, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [44.1000]
train_epoch: 1023, loss: 0.6861, recall20: 0.0000 recall10: 0.0000 [44.1483]
train_epoch: 1024, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.1961]
train_epoch: 1025, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.2413]
train_epoch: 1026, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.2862]
train_epoch: 1027, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.3333]
train_epoch: 1028, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.3731]
train_epoch: 1029, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.4134]
train_epoch: 1030, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.4571]
train_epoch: 1031, loss: 0.6860, recall20: 0.0000 recall10: 0.0000 [44.5034]
train_epoch: 1032, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.5446]
train_epoch: 1033, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.5899]
train_epoch: 1034, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.6355]
train_epoch: 1035, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.6826]
train_epoch: 1036, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.7257]
train_epoch: 1037, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.7724]
train_epoch: 1038, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.8145]
train_epoch: 1039, loss: 0.6859, recall20: 0.0000 recall10: 0.0000 [44.8583]
train_epoch: 1040, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [44.9034]
train_epoch: 1041, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [44.9504]
train_epoch: 1042, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [44.9970]
train_epoch: 1043, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [45.0440]
train_epoch: 1044, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [45.0903]
train_epoch: 1045, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [45.1314]
train_epoch: 1046, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [45.1763]
train_epoch: 1047, loss: 0.6858, recall20: 0.0000 recall10: 0.0000 [45.2241]
train_epoch: 1048, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [45.2683]
train_epoch: 1049, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [45.3123]
train_epoch: 1050, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [45.3583]
train_epoch: 1051, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [45.4037]
train_epoch: 1052, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [45.4481]
train_epoch: 1053, loss: 0.6857, recall20: 0.0000 recall10: 0.0000 [45.4937]
