{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.4585]
train_epoch: 1002, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.4702]
train_epoch: 1003, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.4808]
train_epoch: 1004, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.4904]
train_epoch: 1005, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.4999]
train_epoch: 1006, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5100]
train_epoch: 1007, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5194]
train_epoch: 1008, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5286]
train_epoch: 1009, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5380]
train_epoch: 1010, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5473]
train_epoch: 1011, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5593]
train_epoch: 1012, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5692]
train_epoch: 1013, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5787]
train_epoch: 1014, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5883]
train_epoch: 1015, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.5979]
train_epoch: 1016, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6074]
train_epoch: 1017, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6175]
train_epoch: 1018, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6269]
train_epoch: 1019, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6360]
train_epoch: 1020, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6452]
train_epoch: 1021, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6548]
train_epoch: 1022, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6648]
train_epoch: 1023, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6742]
train_epoch: 1024, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6839]
train_epoch: 1025, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.6933]
train_epoch: 1026, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7031]
train_epoch: 1027, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7134]
train_epoch: 1028, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7236]
train_epoch: 1029, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7335]
train_epoch: 1030, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7432]
train_epoch: 1031, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7527]
train_epoch: 1032, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7627]
train_epoch: 1033, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7720]
train_epoch: 1034, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7822]
train_epoch: 1035, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.7927]
train_epoch: 1036, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8021]
train_epoch: 1037, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8119]
train_epoch: 1038, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8219]
train_epoch: 1039, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8323]
train_epoch: 1040, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8418]
train_epoch: 1041, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8535]
train_epoch: 1042, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8643]
train_epoch: 1043, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8747]
train_epoch: 1044, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8846]
train_epoch: 1045, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.8945]
train_epoch: 1046, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.9047]
train_epoch: 1047, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.9148]
train_epoch: 1048, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9244]
train_epoch: 1049, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9341]
train_epoch: 1050, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9434]
train_epoch: 1051, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9534]
train_epoch: 1052, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9637]
train_epoch: 1053, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9742]
train_epoch: 1054, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9837]
train_epoch: 1055, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [8.9932]
train_epoch: 1056, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0023]
train_epoch: 1057, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0121]
train_epoch: 1058, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0224]
train_epoch: 1059, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0328]
train_epoch: 1060, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0424]
train_epoch: 1061, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0522]
train_epoch: 1062, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0622]
train_epoch: 1063, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0714]
train_epoch: 1064, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0811]
train_epoch: 1065, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.0908]
train_epoch: 1066, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1010]
train_epoch: 1067, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1108]
train_epoch: 1068, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1205]
train_epoch: 1069, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1300]
train_epoch: 1070, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1401]
train_epoch: 1071, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1504]
train_epoch: 1072, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1601]
train_epoch: 1073, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1693]
train_epoch: 1074, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1790]
train_epoch: 1075, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1891]
train_epoch: 1076, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.1991]
train_epoch: 1077, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2089]
train_epoch: 1078, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2183]
train_epoch: 1079, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2281]
train_epoch: 1080, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2376]
train_epoch: 1081, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2480]
train_epoch: 1082, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2576]
train_epoch: 1083, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2679]
train_epoch: 1084, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2782]
train_epoch: 1085, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2881]
train_epoch: 1086, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.2982]
train_epoch: 1087, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3088]
train_epoch: 1088, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3208]
train_epoch: 1089, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3314]
train_epoch: 1090, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3408]
train_epoch: 1091, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3507]
train_epoch: 1092, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3613]
train_epoch: 1093, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3712]
train_epoch: 1094, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3813]
train_epoch: 1095, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.3909]
train_epoch: 1096, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4004]
train_epoch: 1097, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4106]
train_epoch: 1098, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4202]
train_epoch: 1099, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4301]
train_epoch: 1100, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4405]
train_epoch: 1101, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4500]
train_epoch: 1102, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4590]
train_epoch: 1103, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4693]
train_epoch: 1104, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4793]
train_epoch: 1105, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4885]
train_epoch: 1106, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.4983]
train_epoch: 1107, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5082]
train_epoch: 1108, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5181]
train_epoch: 1109, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5280]
train_epoch: 1110, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5393]
train_epoch: 1111, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5498]
train_epoch: 1112, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5601]
train_epoch: 1113, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5707]
train_epoch: 1114, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5817]
train_epoch: 1115, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.5922]
train_epoch: 1116, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6027]
train_epoch: 1117, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6138]
train_epoch: 1118, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6255]
train_epoch: 1119, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6358]
train_epoch: 1120, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6476]
train_epoch: 1121, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6583]
train_epoch: 1122, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6685]
train_epoch: 1123, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6800]
train_epoch: 1124, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.6914]
train_epoch: 1125, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7023]
train_epoch: 1126, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7137]
train_epoch: 1127, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7248]
train_epoch: 1128, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7360]
train_epoch: 1129, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7464]
train_epoch: 1130, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7557]
train_epoch: 1131, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7650]
train_epoch: 1132, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7751]
train_epoch: 1133, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7864]
train_epoch: 1134, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7991]
train_epoch: 1135, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8091]
train_epoch: 1136, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8199]
train_epoch: 1137, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8340]
train_epoch: 1138, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8446]
train_epoch: 1139, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8550]
train_epoch: 1140, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8653]
train_epoch: 1141, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8760]
train_epoch: 1142, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8856]
train_epoch: 1143, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8962]
train_epoch: 1144, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9068]
train_epoch: 1145, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9180]
