{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.7948, recall20: 0.0000 recall10: 0.0000 [34.4845]
train_epoch: 1002, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.5439]
train_epoch: 1003, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.6007]
train_epoch: 1004, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.6584]
train_epoch: 1005, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.7157]
train_epoch: 1006, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.7719]
train_epoch: 1007, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.8291]
train_epoch: 1008, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.8863]
train_epoch: 1009, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [34.9431]
train_epoch: 1010, loss: 0.7947, recall20: 0.0000 recall10: 0.0000 [35.0004]
train_epoch: 1011, loss: 0.7946, recall20: 0.0000 recall10: 0.0000 [35.0568]
train_epoch: 1012, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.1137]
train_epoch: 1013, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.1709]
train_epoch: 1014, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.2278]
train_epoch: 1015, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.2850]
train_epoch: 1016, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.3421]
train_epoch: 1017, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.3990]
train_epoch: 1018, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.4561]
train_epoch: 1019, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.5133]
train_epoch: 1020, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.5696]
train_epoch: 1021, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.6267]
train_epoch: 1022, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.6834]
train_epoch: 1023, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.7399]
train_epoch: 1024, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.7963]
train_epoch: 1025, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.8532]
train_epoch: 1026, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.9108]
train_epoch: 1027, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [35.9671]
train_epoch: 1028, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [36.0238]
train_epoch: 1029, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [36.0805]
train_epoch: 1030, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [36.1371]
train_epoch: 1031, loss: 0.7945, recall20: 0.0000 recall10: 0.0000 [36.1938]
train_epoch: 1032, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.2513]
train_epoch: 1033, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.3078]
train_epoch: 1034, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.3648]
train_epoch: 1035, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.4217]
train_epoch: 1036, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.4784]
train_epoch: 1037, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.5351]
train_epoch: 1038, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.5919]
train_epoch: 1039, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.6485]
train_epoch: 1040, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.7050]
train_epoch: 1041, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.7617]
train_epoch: 1042, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.8179]
train_epoch: 1043, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.8747]
train_epoch: 1044, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.9313]
train_epoch: 1045, loss: 0.7944, recall20: 0.0000 recall10: 0.0000 [36.9876]
train_epoch: 1046, loss: 0.7943, recall20: 0.0000 recall10: 0.0000 [37.0443]
train_epoch: 1047, loss: 0.7943, recall20: 0.0000 recall10: 0.0000 [37.1007]
