{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.4916]
train_epoch: 1002, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.5212]
train_epoch: 1003, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.5581]
train_epoch: 1004, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.5945]
train_epoch: 1005, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.6236]
train_epoch: 1006, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.6490]
train_epoch: 1007, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.6835]
train_epoch: 1008, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.7188]
train_epoch: 1009, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.7508]
train_epoch: 1010, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.7799]
train_epoch: 1011, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.8027]
train_epoch: 1012, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.8394]
train_epoch: 1013, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.8755]
train_epoch: 1014, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.9065]
train_epoch: 1015, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.9332]
train_epoch: 1016, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.9591]
train_epoch: 1017, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [32.9950]
train_epoch: 1018, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.0314]
train_epoch: 1019, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.0670]
train_epoch: 1020, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.1028]
train_epoch: 1021, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.1332]
train_epoch: 1022, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.1562]
train_epoch: 1023, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.1904]
train_epoch: 1024, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.2269]
train_epoch: 1025, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.2602]
train_epoch: 1026, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.2844]
train_epoch: 1027, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.3168]
train_epoch: 1028, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.3518]
train_epoch: 1029, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.3840]
train_epoch: 1030, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.4202]
train_epoch: 1031, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.4508]
train_epoch: 1032, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.4742]
train_epoch: 1033, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.5079]
train_epoch: 1034, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.5442]
train_epoch: 1035, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.5760]
train_epoch: 1036, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.6040]
train_epoch: 1037, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.6280]
train_epoch: 1038, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.6636]
train_epoch: 1039, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.7001]
train_epoch: 1040, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.7308]
train_epoch: 1041, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.7560]
train_epoch: 1042, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.7901]
train_epoch: 1043, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.8257]
train_epoch: 1044, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.8592]
train_epoch: 1045, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.8796]
train_epoch: 1046, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.9119]
train_epoch: 1047, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.9483]
train_epoch: 1048, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [33.9831]
train_epoch: 1049, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.0176]
train_epoch: 1050, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.0475]
train_epoch: 1051, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.0756]
train_epoch: 1052, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.1075]
train_epoch: 1053, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.1441]
train_epoch: 1054, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.1784]
train_epoch: 1055, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.2110]
train_epoch: 1056, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.2336]
train_epoch: 1057, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.2670]
train_epoch: 1058, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.3011]
train_epoch: 1059, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.3309]
train_epoch: 1060, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.3577]
train_epoch: 1061, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.3920]
train_epoch: 1062, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.4279]
train_epoch: 1063, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.4599]
train_epoch: 1064, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.4918]
train_epoch: 1065, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.5201]
train_epoch: 1066, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.5427]
train_epoch: 1067, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.5780]
train_epoch: 1068, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.6125]
train_epoch: 1069, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.6405]
train_epoch: 1070, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.6660]
train_epoch: 1071, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.7014]
train_epoch: 1072, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.7358]
train_epoch: 1073, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.7605]
train_epoch: 1074, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.7891]
train_epoch: 1075, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.8244]
train_epoch: 1076, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.8582]
train_epoch: 1077, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.8860]
train_epoch: 1078, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.9134]
train_epoch: 1079, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.9488]
train_epoch: 1080, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [34.9788]
train_epoch: 1081, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.0060]
train_epoch: 1082, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.0350]
train_epoch: 1083, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.0703]
train_epoch: 1084, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.1003]
train_epoch: 1085, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.1312]
train_epoch: 1086, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.1570]
train_epoch: 1087, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.1928]
train_epoch: 1088, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.2290]
train_epoch: 1089, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.2606]
train_epoch: 1090, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.2837]
train_epoch: 1091, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.3179]
train_epoch: 1092, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.3547]
train_epoch: 1093, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.3849]
train_epoch: 1094, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.4083]
train_epoch: 1095, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.4437]
train_epoch: 1096, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.4776]
train_epoch: 1097, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.5074]
train_epoch: 1098, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.5323]
train_epoch: 1099, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.5670]
train_epoch: 1100, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.6018]
train_epoch: 1101, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.6376]
train_epoch: 1102, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.6704]
train_epoch: 1103, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.6951]
train_epoch: 1104, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.7279]
train_epoch: 1105, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.7640]
train_epoch: 1106, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.7957]
train_epoch: 1107, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.8234]
train_epoch: 1108, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.8569]
train_epoch: 1109, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.8923]
train_epoch: 1110, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.9230]
train_epoch: 1111, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.9460]
train_epoch: 1112, loss: 0.3570, recall20: 0.0000 recall10: 0.0000 [35.9814]
