{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.6878]
train_epoch: 1002, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.6989]
train_epoch: 1003, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7056]
train_epoch: 1004, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7122]
train_epoch: 1005, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7180]
train_epoch: 1006, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7243]
train_epoch: 1007, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7303]
train_epoch: 1008, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7370]
train_epoch: 1009, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7430]
train_epoch: 1010, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7495]
train_epoch: 1011, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7560]
train_epoch: 1012, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7624]
train_epoch: 1013, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7692]
train_epoch: 1014, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7754]
train_epoch: 1015, loss: 1.8092, recall20: 0.0000 recall10: 0.0000 [4.7820]
train_epoch: 1016, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.7879]
train_epoch: 1017, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.7939]
train_epoch: 1018, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8002]
train_epoch: 1019, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8068]
train_epoch: 1020, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8136]
train_epoch: 1021, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8199]
train_epoch: 1022, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8262]
train_epoch: 1023, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8323]
train_epoch: 1024, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8389]
train_epoch: 1025, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8451]
train_epoch: 1026, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8518]
train_epoch: 1027, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8580]
train_epoch: 1028, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8641]
train_epoch: 1029, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8707]
train_epoch: 1030, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8773]
train_epoch: 1031, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8835]
train_epoch: 1032, loss: 1.8091, recall20: 0.0000 recall10: 0.0000 [4.8900]
train_epoch: 1033, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.8958]
train_epoch: 1034, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9025]
train_epoch: 1035, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9094]
train_epoch: 1036, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9159]
train_epoch: 1037, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9226]
train_epoch: 1038, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9287]
train_epoch: 1039, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9355]
train_epoch: 1040, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9418]
train_epoch: 1041, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9487]
train_epoch: 1042, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9560]
train_epoch: 1043, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9630]
train_epoch: 1044, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9692]
train_epoch: 1045, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9752]
train_epoch: 1046, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9811]
train_epoch: 1047, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9873]
train_epoch: 1048, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9935]
train_epoch: 1049, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [4.9997]
train_epoch: 1050, loss: 1.8090, recall20: 0.0000 recall10: 0.0000 [5.0059]
train_epoch: 1051, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0119]
train_epoch: 1052, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0182]
train_epoch: 1053, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0241]
train_epoch: 1054, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0304]
train_epoch: 1055, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0384]
train_epoch: 1056, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0470]
train_epoch: 1057, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0536]
train_epoch: 1058, loss: 1.8089, recall20: 0.0000 recall10: 0.0000 [5.0599]
