{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.3758]
train_epoch: 1002, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.4255]
train_epoch: 1003, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.4696]
train_epoch: 1004, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.5164]
train_epoch: 1005, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.5640]
train_epoch: 1006, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.6061]
train_epoch: 1007, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.6533]
train_epoch: 1008, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.6963]
train_epoch: 1009, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.7418]
train_epoch: 1010, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.7895]
train_epoch: 1011, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.8375]
train_epoch: 1012, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.8839]
train_epoch: 1013, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.9287]
train_epoch: 1014, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [33.9750]
train_epoch: 1015, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.0196]
train_epoch: 1016, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.0660]
train_epoch: 1017, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.1120]
train_epoch: 1018, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.1590]
train_epoch: 1019, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.2055]
train_epoch: 1020, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.2528]
train_epoch: 1021, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.3017]
train_epoch: 1022, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.3500]
train_epoch: 1023, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.3983]
train_epoch: 1024, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.4463]
train_epoch: 1025, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.4934]
train_epoch: 1026, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.5387]
train_epoch: 1027, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.5854]
train_epoch: 1028, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.6329]
train_epoch: 1029, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.6790]
train_epoch: 1030, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.7238]
train_epoch: 1031, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.7713]
train_epoch: 1032, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.8179]
train_epoch: 1033, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.8648]
train_epoch: 1034, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [34.9103]
train_epoch: 1035, loss: 0.3697, recall20: 0.1399 recall10: 0.0771 [35.0979]
