{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.4337, recall20: 0.0000 recall10: 0.0000 [36.7598]
train_epoch: 1002, loss: 0.4337, recall20: 0.0000 recall10: 0.0000 [36.7703]
train_epoch: 1003, loss: 0.4336, recall20: 0.0000 recall10: 0.0000 [36.7784]
train_epoch: 1004, loss: 0.4336, recall20: 0.0000 recall10: 0.0000 [36.7865]
train_epoch: 1005, loss: 0.4336, recall20: 0.0000 recall10: 0.0000 [36.7946]
train_epoch: 1006, loss: 0.4335, recall20: 0.0000 recall10: 0.0000 [36.8022]
train_epoch: 1007, loss: 0.4335, recall20: 0.0000 recall10: 0.0000 [36.8091]
train_epoch: 1008, loss: 0.4335, recall20: 0.0000 recall10: 0.0000 [36.8168]
train_epoch: 1009, loss: 0.4334, recall20: 0.0000 recall10: 0.0000 [36.8245]
train_epoch: 1010, loss: 0.4334, recall20: 0.0000 recall10: 0.0000 [36.8320]
train_epoch: 1011, loss: 0.4334, recall20: 0.0000 recall10: 0.0000 [36.8417]
train_epoch: 1012, loss: 0.4333, recall20: 0.0000 recall10: 0.0000 [36.8505]
train_epoch: 1013, loss: 0.4333, recall20: 0.0000 recall10: 0.0000 [36.8585]
train_epoch: 1014, loss: 0.4333, recall20: 0.0000 recall10: 0.0000 [36.8665]
train_epoch: 1015, loss: 0.4332, recall20: 0.0000 recall10: 0.0000 [36.8750]
train_epoch: 1016, loss: 0.4332, recall20: 0.0000 recall10: 0.0000 [36.8828]
train_epoch: 1017, loss: 0.4332, recall20: 0.0000 recall10: 0.0000 [36.8908]
train_epoch: 1018, loss: 0.4331, recall20: 0.0000 recall10: 0.0000 [36.8988]
train_epoch: 1019, loss: 0.4331, recall20: 0.0000 recall10: 0.0000 [36.9063]
train_epoch: 1020, loss: 0.4331, recall20: 0.0000 recall10: 0.0000 [36.9147]
train_epoch: 1021, loss: 0.4330, recall20: 0.0000 recall10: 0.0000 [36.9234]
train_epoch: 1022, loss: 0.4330, recall20: 0.0000 recall10: 0.0000 [36.9312]
train_epoch: 1023, loss: 0.4330, recall20: 0.0000 recall10: 0.0000 [36.9392]
train_epoch: 1024, loss: 0.4329, recall20: 0.0000 recall10: 0.0000 [36.9473]
train_epoch: 1025, loss: 0.4329, recall20: 0.0000 recall10: 0.0000 [36.9545]
train_epoch: 1026, loss: 0.4329, recall20: 0.0000 recall10: 0.0000 [36.9628]
