{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.1858]
train_epoch: 1002, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.2317]
train_epoch: 1003, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.2761]
train_epoch: 1004, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.3163]
train_epoch: 1005, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.3539]
train_epoch: 1006, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.3913]
train_epoch: 1007, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.4306]
train_epoch: 1008, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.4751]
train_epoch: 1009, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.5144]
train_epoch: 1010, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.5498]
train_epoch: 1011, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.5876]
train_epoch: 1012, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.6313]
train_epoch: 1013, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.6728]
train_epoch: 1014, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.7033]
train_epoch: 1015, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.7393]
train_epoch: 1016, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.7844]
train_epoch: 1017, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.8285]
train_epoch: 1018, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.8609]
train_epoch: 1019, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.8982]
train_epoch: 1020, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.9420]
train_epoch: 1021, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [40.9796]
train_epoch: 1022, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.0072]
train_epoch: 1023, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.0516]
train_epoch: 1024, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.0826]
train_epoch: 1025, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.1181]
train_epoch: 1026, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.1616]
train_epoch: 1027, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.2060]
train_epoch: 1028, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.2362]
train_epoch: 1029, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [41.2753]
