{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0092, recall20: 0.0000 recall10: 0.0000 [89.5522]
train_epoch: 1002, loss: 0.0091, recall20: 0.0000 recall10: 0.0000 [89.6318]
train_epoch: 1003, loss: 0.0091, recall20: 0.0000 recall10: 0.0000 [89.7104]
train_epoch: 1004, loss: 0.0091, recall20: 0.0000 recall10: 0.0000 [89.7877]
train_epoch: 1005, loss: 0.0090, recall20: 0.0000 recall10: 0.0000 [89.8648]
train_epoch: 1006, loss: 0.0090, recall20: 0.0000 recall10: 0.0000 [89.9399]
train_epoch: 1007, loss: 0.0089, recall20: 0.0000 recall10: 0.0000 [90.0144]
train_epoch: 1008, loss: 0.0089, recall20: 0.0000 recall10: 0.0000 [90.0918]
train_epoch: 1009, loss: 0.0089, recall20: 0.0000 recall10: 0.0000 [90.1706]
train_epoch: 1010, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [90.2486]
train_epoch: 1011, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [90.3268]
train_epoch: 1012, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [90.4007]
train_epoch: 1013, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [90.4779]
train_epoch: 1014, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [90.5550]
train_epoch: 1015, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [90.6336]
train_epoch: 1016, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [90.7118]
train_epoch: 1017, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [90.7885]
train_epoch: 1018, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [90.8638]
train_epoch: 1019, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [90.9409]
train_epoch: 1020, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [91.0178]
train_epoch: 1021, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [91.0960]
train_epoch: 1022, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [91.1739]
train_epoch: 1023, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [91.2494]
train_epoch: 1024, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [91.3271]
train_epoch: 1025, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [91.4047]
train_epoch: 1026, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [91.4830]
train_epoch: 1027, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [91.5614]
train_epoch: 1028, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [91.6387]
train_epoch: 1029, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [91.7142]
train_epoch: 1030, loss: 0.0081, recall20: 0.0000 recall10: 0.0000 [91.7917]
train_epoch: 1031, loss: 0.0081, recall20: 0.0000 recall10: 0.0000 [91.8684]
train_epoch: 1032, loss: 0.0081, recall20: 0.0000 recall10: 0.0000 [91.9456]
train_epoch: 1033, loss: 0.0080, recall20: 0.0000 recall10: 0.0000 [92.0246]
train_epoch: 1034, loss: 0.0080, recall20: 0.0000 recall10: 0.0000 [92.1029]
train_epoch: 1035, loss: 0.0080, recall20: 0.0000 recall10: 0.0000 [92.1811]
train_epoch: 1036, loss: 0.0080, recall20: 0.0000 recall10: 0.0000 [92.2594]
train_epoch: 1037, loss: 0.0079, recall20: 0.0000 recall10: 0.0000 [92.3376]
train_epoch: 1038, loss: 0.0079, recall20: 0.0000 recall10: 0.0000 [92.4167]
train_epoch: 1039, loss: 0.0079, recall20: 0.0000 recall10: 0.0000 [92.4965]
train_epoch: 1040, loss: 0.0078, recall20: 0.0000 recall10: 0.0000 [92.5738]
train_epoch: 1041, loss: 0.0078, recall20: 0.0000 recall10: 0.0000 [92.6515]
train_epoch: 1042, loss: 0.0078, recall20: 0.0000 recall10: 0.0000 [92.7280]
train_epoch: 1043, loss: 0.0077, recall20: 0.0000 recall10: 0.0000 [92.8054]
train_epoch: 1044, loss: 0.0077, recall20: 0.0000 recall10: 0.0000 [92.8823]
train_epoch: 1045, loss: 0.0077, recall20: 0.0000 recall10: 0.0000 [92.9609]
train_epoch: 1046, loss: 0.0076, recall20: 0.0000 recall10: 0.0000 [93.0401]
train_epoch: 1047, loss: 0.0076, recall20: 0.0000 recall10: 0.0000 [93.1169]
train_epoch: 1048, loss: 0.0076, recall20: 0.0000 recall10: 0.0000 [93.1938]
train_epoch: 1049, loss: 0.0076, recall20: 0.0000 recall10: 0.0000 [93.2713]
train_epoch: 1050, loss: 0.0075, recall20: 0.0000 recall10: 0.0000 [93.3484]
train_epoch: 1051, loss: 0.0075, recall20: 0.0000 recall10: 0.0000 [93.4268]
train_epoch: 1052, loss: 0.0075, recall20: 0.0000 recall10: 0.0000 [93.5056]
train_epoch: 1053, loss: 0.0074, recall20: 0.0000 recall10: 0.0000 [93.5847]
train_epoch: 1054, loss: 0.0074, recall20: 0.0000 recall10: 0.0000 [93.6624]
train_epoch: 1055, loss: 0.0074, recall20: 0.0000 recall10: 0.0000 [93.7397]
train_epoch: 1056, loss: 0.0074, recall20: 0.0000 recall10: 0.0000 [93.8180]
train_epoch: 1057, loss: 0.0073, recall20: 0.0000 recall10: 0.0000 [93.8954]
train_epoch: 1058, loss: 0.0073, recall20: 0.0000 recall10: 0.0000 [93.9734]
train_epoch: 1059, loss: 0.0073, recall20: 0.0000 recall10: 0.0000 [94.0509]
train_epoch: 1060, loss: 0.0072, recall20: 0.0000 recall10: 0.0000 [94.1272]
train_epoch: 1061, loss: 0.0072, recall20: 0.0000 recall10: 0.0000 [94.2047]
train_epoch: 1062, loss: 0.0072, recall20: 0.0000 recall10: 0.0000 [94.2825]
train_epoch: 1063, loss: 0.0072, recall20: 0.0000 recall10: 0.0000 [94.3585]
train_epoch: 1064, loss: 0.0071, recall20: 0.0000 recall10: 0.0000 [94.4377]
train_epoch: 1065, loss: 0.0071, recall20: 0.0000 recall10: 0.0000 [94.5143]
train_epoch: 1066, loss: 0.0071, recall20: 0.0000 recall10: 0.0000 [94.5911]
train_epoch: 1067, loss: 0.0070, recall20: 0.0000 recall10: 0.0000 [94.6685]
train_epoch: 1068, loss: 0.0070, recall20: 0.0000 recall10: 0.0000 [94.7472]
train_epoch: 1069, loss: 0.0070, recall20: 0.0000 recall10: 0.0000 [94.8263]
