{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6812, recall20: 0.0000 recall10: 0.0000 [7.8963]
train_epoch: 1002, loss: 0.6812, recall20: 0.0000 recall10: 0.0000 [7.9065]
train_epoch: 1003, loss: 0.6811, recall20: 0.0000 recall10: 0.0000 [7.9145]
train_epoch: 1004, loss: 0.6811, recall20: 0.0000 recall10: 0.0000 [7.9231]
train_epoch: 1005, loss: 0.6811, recall20: 0.0000 recall10: 0.0000 [7.9316]
train_epoch: 1006, loss: 0.6810, recall20: 0.0000 recall10: 0.0000 [7.9393]
train_epoch: 1007, loss: 0.6810, recall20: 0.0000 recall10: 0.0000 [7.9472]
train_epoch: 1008, loss: 0.6810, recall20: 0.0000 recall10: 0.0000 [7.9553]
train_epoch: 1009, loss: 0.6809, recall20: 0.0000 recall10: 0.0000 [7.9636]
train_epoch: 1010, loss: 0.6809, recall20: 0.0000 recall10: 0.0000 [7.9719]
train_epoch: 1011, loss: 0.6809, recall20: 0.0000 recall10: 0.0000 [7.9799]
train_epoch: 1012, loss: 0.6808, recall20: 0.0000 recall10: 0.0000 [7.9878]
train_epoch: 1013, loss: 0.6808, recall20: 0.0000 recall10: 0.0000 [7.9964]
train_epoch: 1014, loss: 0.6808, recall20: 0.0000 recall10: 0.0000 [8.0048]
train_epoch: 1015, loss: 0.6808, recall20: 0.0000 recall10: 0.0000 [8.0127]
train_epoch: 1016, loss: 0.6807, recall20: 0.0000 recall10: 0.0000 [8.0209]
train_epoch: 1017, loss: 0.6807, recall20: 0.0000 recall10: 0.0000 [8.0288]
train_epoch: 1018, loss: 0.6807, recall20: 0.0000 recall10: 0.0000 [8.0369]
train_epoch: 1019, loss: 0.6806, recall20: 0.0000 recall10: 0.0000 [8.0455]
train_epoch: 1020, loss: 0.6806, recall20: 0.0000 recall10: 0.0000 [8.0539]
train_epoch: 1021, loss: 0.6806, recall20: 0.0000 recall10: 0.0000 [8.0619]
train_epoch: 1022, loss: 0.6805, recall20: 0.0000 recall10: 0.0000 [8.0701]
train_epoch: 1023, loss: 0.6805, recall20: 0.0000 recall10: 0.0000 [8.0786]
train_epoch: 1024, loss: 0.6805, recall20: 0.0000 recall10: 0.0000 [8.0864]
train_epoch: 1025, loss: 0.6805, recall20: 0.0000 recall10: 0.0000 [8.0947]
train_epoch: 1026, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [8.1030]
train_epoch: 1027, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [8.1108]
train_epoch: 1028, loss: 0.6804, recall20: 0.0000 recall10: 0.0000 [8.1195]
train_epoch: 1029, loss: 0.6803, recall20: 0.0000 recall10: 0.0000 [8.1289]
