{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.6427]
train_epoch: 1002, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.6900]
train_epoch: 1003, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.7325]
train_epoch: 1004, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.7733]
train_epoch: 1005, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.8148]
train_epoch: 1006, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.8637]
train_epoch: 1007, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.9105]
train_epoch: 1008, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [43.9552]
train_epoch: 1009, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.0031]
train_epoch: 1010, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.0505]
train_epoch: 1011, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.0987]
train_epoch: 1012, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.1478]
train_epoch: 1013, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.1957]
train_epoch: 1014, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.2428]
train_epoch: 1015, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.2917]
train_epoch: 1016, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.3402]
train_epoch: 1017, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.3901]
train_epoch: 1018, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.4396]
train_epoch: 1019, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.4888]
train_epoch: 1020, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.5374]
train_epoch: 1021, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.5859]
train_epoch: 1022, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.6353]
train_epoch: 1023, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.6777]
train_epoch: 1024, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.7213]
train_epoch: 1025, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.7639]
train_epoch: 1026, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.8084]
train_epoch: 1027, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.8568]
train_epoch: 1028, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.9051]
train_epoch: 1029, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [44.9547]
train_epoch: 1030, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.0018]
train_epoch: 1031, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.0419]
train_epoch: 1032, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.0814]
train_epoch: 1033, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.1217]
train_epoch: 1034, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.1676]
train_epoch: 1035, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.2171]
train_epoch: 1036, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.2662]
train_epoch: 1037, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.3129]
train_epoch: 1038, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [45.3566]
