{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [74.9380]
train_epoch: 1002, loss: 0.0031, recall20: 0.0000 recall10: 0.0000 [75.0212]
train_epoch: 1003, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.1022]
train_epoch: 1004, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.1840]
train_epoch: 1005, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.2649]
train_epoch: 1006, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.3447]
train_epoch: 1007, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.4256]
train_epoch: 1008, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.5058]
train_epoch: 1009, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.5869]
train_epoch: 1010, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.6683]
train_epoch: 1011, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.7487]
train_epoch: 1012, loss: 0.0030, recall20: 0.0000 recall10: 0.0000 [75.8293]
train_epoch: 1013, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [75.9092]
train_epoch: 1014, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [75.9901]
train_epoch: 1015, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.0712]
train_epoch: 1016, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.1517]
train_epoch: 1017, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.2315]
train_epoch: 1018, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.3119]
train_epoch: 1019, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.3928]
train_epoch: 1020, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.4738]
train_epoch: 1021, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.5547]
train_epoch: 1022, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [76.6362]
train_epoch: 1023, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [76.7165]
train_epoch: 1024, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [76.7978]
train_epoch: 1025, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [76.8782]
train_epoch: 1026, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [76.9589]
train_epoch: 1027, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.0395]
train_epoch: 1028, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.1190]
train_epoch: 1029, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.1991]
train_epoch: 1030, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.2803]
train_epoch: 1031, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.3626]
train_epoch: 1032, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.4428]
train_epoch: 1033, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [77.5229]
train_epoch: 1034, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [77.6040]
train_epoch: 1035, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [77.6853]
train_epoch: 1036, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [77.7659]
train_epoch: 1037, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [77.8464]
train_epoch: 1038, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [77.9265]
train_epoch: 1039, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.0080]
train_epoch: 1040, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.0890]
train_epoch: 1041, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.1696]
train_epoch: 1042, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.2505]
train_epoch: 1043, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.3305]
train_epoch: 1044, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.4117]
train_epoch: 1045, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.4925]
train_epoch: 1046, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.5714]
train_epoch: 1047, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.6520]
train_epoch: 1048, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.7323]
train_epoch: 1049, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.8138]
train_epoch: 1050, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.8919]
train_epoch: 1051, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [78.9725]
train_epoch: 1052, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.0532]
train_epoch: 1053, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.1333]
train_epoch: 1054, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.2127]
train_epoch: 1055, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.2934]
train_epoch: 1056, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.3741]
train_epoch: 1057, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.4548]
train_epoch: 1058, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.5359]
train_epoch: 1059, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.6170]
train_epoch: 1060, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.6982]
train_epoch: 1061, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.7794]
train_epoch: 1062, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.8599]
train_epoch: 1063, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [79.9403]
train_epoch: 1064, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [80.0212]
train_epoch: 1065, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [80.1017]
train_epoch: 1066, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [80.1835]
train_epoch: 1067, loss: 0.0025, recall20: 0.0000 recall10: 0.0000 [80.2651]
train_epoch: 1068, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.3456]
train_epoch: 1069, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.4262]
train_epoch: 1070, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.5073]
train_epoch: 1071, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.5880]
train_epoch: 1072, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.6689]
train_epoch: 1073, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.7497]
train_epoch: 1074, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.8308]
train_epoch: 1075, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.9120]
train_epoch: 1076, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [80.9929]
train_epoch: 1077, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [81.0731]
train_epoch: 1078, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [81.1528]
train_epoch: 1079, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [81.2327]
train_epoch: 1080, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [81.3142]
train_epoch: 1081, loss: 0.0024, recall20: 0.0000 recall10: 0.0000 [81.3958]
train_epoch: 1082, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.4766]
train_epoch: 1083, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.5573]
train_epoch: 1084, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.6390]
train_epoch: 1085, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.7200]
train_epoch: 1086, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.8005]
train_epoch: 1087, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.8819]
train_epoch: 1088, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [81.9622]
train_epoch: 1089, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [82.0431]
train_epoch: 1090, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [82.1222]
train_epoch: 1091, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [82.2030]
train_epoch: 1092, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [82.2838]
train_epoch: 1093, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [82.3636]
train_epoch: 1094, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [82.4431]
train_epoch: 1095, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [82.5240]
train_epoch: 1096, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [82.6051]
train_epoch: 1097, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [82.6873]
train_epoch: 1098, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [82.7683]
train_epoch: 1099, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [82.8495]
train_epoch: 1100, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [82.9318]
train_epoch: 1101, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [83.0129]
