{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4281, recall20: 0.0000 recall10: 0.0000 [9.9485]
train_epoch: 1002, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [9.9636]
train_epoch: 1003, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [9.9751]
train_epoch: 1004, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [9.9853]
train_epoch: 1005, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [9.9957]
train_epoch: 1006, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [10.0066]
train_epoch: 1007, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [10.0182]
train_epoch: 1008, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [10.0290]
train_epoch: 1009, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [10.0396]
train_epoch: 1010, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [10.0494]
train_epoch: 1011, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [10.0594]
train_epoch: 1012, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [10.0699]
train_epoch: 1013, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [10.0808]
train_epoch: 1014, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [10.0940]
train_epoch: 1015, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [10.1070]
train_epoch: 1016, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [10.1189]
train_epoch: 1017, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [10.1302]
train_epoch: 1018, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [10.1414]
train_epoch: 1019, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [10.1529]
train_epoch: 1020, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [10.1647]
train_epoch: 1021, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [10.1756]
train_epoch: 1022, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [10.1859]
train_epoch: 1023, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [10.1962]
train_epoch: 1024, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [10.2072]
train_epoch: 1025, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [10.2188]
train_epoch: 1026, loss: 0.4271, recall20: 0.0000 recall10: 0.0000 [10.2295]
train_epoch: 1027, loss: 0.4271, recall20: 0.0000 recall10: 0.0000 [10.2403]
train_epoch: 1028, loss: 0.4271, recall20: 0.0000 recall10: 0.0000 [10.2516]
