{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [58.6356]
train_epoch: 1002, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [58.6806]
train_epoch: 1003, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [58.7230]
train_epoch: 1004, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [58.7614]
train_epoch: 1005, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [58.7961]
train_epoch: 1006, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [58.8350]
train_epoch: 1007, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [58.8771]
train_epoch: 1008, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [58.9214]
train_epoch: 1009, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [58.9646]
train_epoch: 1010, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [59.0057]
train_epoch: 1011, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [59.0505]
train_epoch: 1012, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [59.0941]
train_epoch: 1013, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [59.1393]
train_epoch: 1014, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [59.1817]
train_epoch: 1015, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [59.2272]
train_epoch: 1016, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [59.2668]
train_epoch: 1017, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [59.3076]
train_epoch: 1018, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [59.3584]
train_epoch: 1019, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [59.4031]
train_epoch: 1020, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [59.4472]
train_epoch: 1021, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [59.4912]
train_epoch: 1022, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [59.5347]
train_epoch: 1023, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [59.5793]
train_epoch: 1024, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [59.6227]
train_epoch: 1025, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [59.6658]
train_epoch: 1026, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [59.7099]
train_epoch: 1027, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [59.7543]
train_epoch: 1028, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [59.7981]
train_epoch: 1029, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [59.8425]
train_epoch: 1030, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [59.8860]
train_epoch: 1031, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [59.9200]
train_epoch: 1032, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [59.9637]
train_epoch: 1033, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [60.0068]
train_epoch: 1034, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [60.0460]
train_epoch: 1035, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [60.0881]
train_epoch: 1036, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [60.1326]
train_epoch: 1037, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [60.1764]
train_epoch: 1038, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [60.2198]
train_epoch: 1039, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [60.2632]
train_epoch: 1040, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [60.3063]
train_epoch: 1041, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [60.3490]
train_epoch: 1042, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [60.3904]
train_epoch: 1043, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [60.4334]
train_epoch: 1044, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [60.4753]
train_epoch: 1045, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [60.5145]
train_epoch: 1046, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [60.5543]
train_epoch: 1047, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [60.5936]
train_epoch: 1048, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [60.6342]
train_epoch: 1049, loss: 0.4380, recall20: 0.0000 recall10: 0.0000 [60.6765]
train_epoch: 1050, loss: 0.4380, recall20: 0.0000 recall10: 0.0000 [60.7215]
train_epoch: 1051, loss: 0.4380, recall20: 0.0000 recall10: 0.0000 [60.7624]
train_epoch: 1052, loss: 0.4379, recall20: 0.0000 recall10: 0.0000 [60.8012]
train_epoch: 1053, loss: 0.4379, recall20: 0.0000 recall10: 0.0000 [60.8455]
train_epoch: 1054, loss: 0.4379, recall20: 0.0000 recall10: 0.0000 [60.8873]
train_epoch: 1055, loss: 0.4378, recall20: 0.0000 recall10: 0.0000 [60.9317]
train_epoch: 1056, loss: 0.4378, recall20: 0.0000 recall10: 0.0000 [60.9752]
train_epoch: 1057, loss: 0.4378, recall20: 0.0000 recall10: 0.0000 [61.0191]
train_epoch: 1058, loss: 0.4378, recall20: 0.0000 recall10: 0.0000 [61.0626]
train_epoch: 1059, loss: 0.4377, recall20: 0.0000 recall10: 0.0000 [61.1069]
train_epoch: 1060, loss: 0.4377, recall20: 0.0000 recall10: 0.0000 [61.1507]
train_epoch: 1061, loss: 0.4377, recall20: 0.0000 recall10: 0.0000 [61.1929]
train_epoch: 1062, loss: 0.4376, recall20: 0.0000 recall10: 0.0000 [61.2361]
train_epoch: 1063, loss: 0.4376, recall20: 0.0000 recall10: 0.0000 [61.2796]
train_epoch: 1064, loss: 0.4376, recall20: 0.0000 recall10: 0.0000 [61.3242]
train_epoch: 1065, loss: 0.4375, recall20: 0.0000 recall10: 0.0000 [61.3684]
train_epoch: 1066, loss: 0.4375, recall20: 0.0000 recall10: 0.0000 [61.4097]
train_epoch: 1067, loss: 0.4375, recall20: 0.0000 recall10: 0.0000 [61.4514]
train_epoch: 1068, loss: 0.4374, recall20: 0.0000 recall10: 0.0000 [61.4942]
train_epoch: 1069, loss: 0.4374, recall20: 0.0000 recall10: 0.0000 [61.5372]
train_epoch: 1070, loss: 0.4374, recall20: 0.0000 recall10: 0.0000 [61.5809]
train_epoch: 1071, loss: 0.4374, recall20: 0.0000 recall10: 0.0000 [61.6230]
train_epoch: 1072, loss: 0.4373, recall20: 0.0000 recall10: 0.0000 [61.6660]
train_epoch: 1073, loss: 0.4373, recall20: 0.0000 recall10: 0.0000 [61.7046]
train_epoch: 1074, loss: 0.4373, recall20: 0.0000 recall10: 0.0000 [61.7408]
train_epoch: 1075, loss: 0.4372, recall20: 0.0000 recall10: 0.0000 [61.7792]
train_epoch: 1076, loss: 0.4372, recall20: 0.0000 recall10: 0.0000 [61.8226]
train_epoch: 1077, loss: 0.4372, recall20: 0.0000 recall10: 0.0000 [61.8657]
train_epoch: 1078, loss: 0.4371, recall20: 0.0000 recall10: 0.0000 [61.9086]
train_epoch: 1079, loss: 0.4371, recall20: 0.0000 recall10: 0.0000 [61.9513]
train_epoch: 1080, loss: 0.4371, recall20: 0.0000 recall10: 0.0000 [61.9933]
train_epoch: 1081, loss: 0.4370, recall20: 0.0000 recall10: 0.0000 [62.0361]
train_epoch: 1082, loss: 0.4370, recall20: 0.0000 recall10: 0.0000 [62.0786]
train_epoch: 1083, loss: 0.4370, recall20: 0.0000 recall10: 0.0000 [62.1200]
train_epoch: 1084, loss: 0.4370, recall20: 0.0000 recall10: 0.0000 [62.1600]
train_epoch: 1085, loss: 0.4369, recall20: 0.0000 recall10: 0.0000 [62.1984]
train_epoch: 1086, loss: 0.4369, recall20: 0.0000 recall10: 0.0000 [62.2421]
train_epoch: 1087, loss: 0.4369, recall20: 0.0000 recall10: 0.0000 [62.2850]
train_epoch: 1088, loss: 0.4368, recall20: 0.0000 recall10: 0.0000 [62.3285]
train_epoch: 1089, loss: 0.4368, recall20: 0.0000 recall10: 0.0000 [62.3621]
train_epoch: 1090, loss: 0.4368, recall20: 0.0000 recall10: 0.0000 [62.4047]
train_epoch: 1091, loss: 0.4367, recall20: 0.0000 recall10: 0.0000 [62.4468]
