{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6696, recall20: 0.0000 recall10: 0.0000 [30.1928]
train_epoch: 1002, loss: 0.6695, recall20: 0.0000 recall10: 0.0000 [30.2130]
train_epoch: 1003, loss: 0.6695, recall20: 0.0000 recall10: 0.0000 [30.2248]
train_epoch: 1004, loss: 0.6695, recall20: 0.0000 recall10: 0.0000 [30.2337]
train_epoch: 1005, loss: 0.6695, recall20: 0.0000 recall10: 0.0000 [30.2427]
train_epoch: 1006, loss: 0.6695, recall20: 0.0000 recall10: 0.0000 [30.2524]
train_epoch: 1007, loss: 0.6694, recall20: 0.0000 recall10: 0.0000 [30.2762]
train_epoch: 1008, loss: 0.6694, recall20: 0.0000 recall10: 0.0000 [30.2848]
train_epoch: 1009, loss: 0.6694, recall20: 0.0000 recall10: 0.0000 [30.2941]
train_epoch: 1010, loss: 0.6694, recall20: 0.0000 recall10: 0.0000 [30.3030]
train_epoch: 1011, loss: 0.6694, recall20: 0.0000 recall10: 0.0000 [30.3115]
train_epoch: 1012, loss: 0.6693, recall20: 0.0000 recall10: 0.0000 [30.3201]
train_epoch: 1013, loss: 0.6693, recall20: 0.0000 recall10: 0.0000 [30.3292]
train_epoch: 1014, loss: 0.6693, recall20: 0.0000 recall10: 0.0000 [30.3682]
train_epoch: 1015, loss: 0.6693, recall20: 0.0000 recall10: 0.0000 [30.4033]
train_epoch: 1016, loss: 0.6693, recall20: 0.0000 recall10: 0.0000 [30.4444]
train_epoch: 1017, loss: 0.6693, recall20: 0.0000 recall10: 0.0000 [30.4836]
train_epoch: 1018, loss: 0.6692, recall20: 0.0000 recall10: 0.0000 [30.5204]
train_epoch: 1019, loss: 0.6692, recall20: 0.0000 recall10: 0.0000 [30.5533]
train_epoch: 1020, loss: 0.6692, recall20: 0.0000 recall10: 0.0000 [30.5906]
train_epoch: 1021, loss: 0.6692, recall20: 0.0000 recall10: 0.0000 [30.6257]
train_epoch: 1022, loss: 0.6692, recall20: 0.0000 recall10: 0.0000 [30.6636]
train_epoch: 1023, loss: 0.6691, recall20: 0.0000 recall10: 0.0000 [30.6961]
train_epoch: 1024, loss: 0.6691, recall20: 0.0000 recall10: 0.0000 [30.7367]
train_epoch: 1025, loss: 0.6691, recall20: 0.0000 recall10: 0.0000 [30.7758]
train_epoch: 1026, loss: 0.6691, recall20: 0.0000 recall10: 0.0000 [30.8149]
train_epoch: 1027, loss: 0.6690, recall20: 0.0000 recall10: 0.0000 [30.8526]
train_epoch: 1028, loss: 0.6690, recall20: 0.0000 recall10: 0.0000 [30.8900]
train_epoch: 1029, loss: 0.6690, recall20: 0.0000 recall10: 0.0000 [30.9263]
train_epoch: 1030, loss: 0.6690, recall20: 0.0000 recall10: 0.0000 [30.9648]
train_epoch: 1031, loss: 0.6690, recall20: 0.0000 recall10: 0.0000 [31.0000]
train_epoch: 1032, loss: 0.6690, recall20: 0.0000 recall10: 0.0000 [31.0362]
train_epoch: 1033, loss: 0.6689, recall20: 0.0000 recall10: 0.0000 [31.0765]
train_epoch: 1034, loss: 0.6689, recall20: 0.0000 recall10: 0.0000 [31.1149]
train_epoch: 1035, loss: 0.6689, recall20: 0.0000 recall10: 0.0000 [31.1550]
train_epoch: 1036, loss: 0.6689, recall20: 0.0000 recall10: 0.0000 [31.1968]
train_epoch: 1037, loss: 0.6688, recall20: 0.0000 recall10: 0.0000 [31.2384]
train_epoch: 1038, loss: 0.6688, recall20: 0.0000 recall10: 0.0000 [31.2793]
train_epoch: 1039, loss: 0.6688, recall20: 0.0000 recall10: 0.0000 [31.2980]
train_epoch: 1040, loss: 0.6688, recall20: 0.0000 recall10: 0.0000 [31.3069]
train_epoch: 1041, loss: 0.6688, recall20: 0.0000 recall10: 0.0000 [31.3177]
train_epoch: 1042, loss: 0.6687, recall20: 0.0000 recall10: 0.0000 [31.3299]
train_epoch: 1043, loss: 0.6687, recall20: 0.0000 recall10: 0.0000 [31.3412]
train_epoch: 1044, loss: 0.6687, recall20: 0.0000 recall10: 0.0000 [31.3515]
