{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.7743, recall20: 0.0000 recall10: 0.0000 [40.3395]
train_epoch: 1002, loss: 0.7742, recall20: 0.0000 recall10: 0.0000 [40.3493]
train_epoch: 1003, loss: 0.7742, recall20: 0.0000 recall10: 0.0000 [40.3570]
train_epoch: 1004, loss: 0.7742, recall20: 0.0000 recall10: 0.0000 [40.3655]
train_epoch: 1005, loss: 0.7742, recall20: 0.0000 recall10: 0.0000 [40.3729]
train_epoch: 1006, loss: 0.7742, recall20: 0.0000 recall10: 0.0000 [40.3806]
train_epoch: 1007, loss: 0.7741, recall20: 0.0000 recall10: 0.0000 [40.3882]
train_epoch: 1008, loss: 0.7741, recall20: 0.0000 recall10: 0.0000 [40.3948]
train_epoch: 1009, loss: 0.7741, recall20: 0.0000 recall10: 0.0000 [40.4018]
train_epoch: 1010, loss: 0.7741, recall20: 0.0000 recall10: 0.0000 [40.4103]
train_epoch: 1011, loss: 0.7741, recall20: 0.0000 recall10: 0.0000 [40.4181]
train_epoch: 1012, loss: 0.7740, recall20: 0.0000 recall10: 0.0000 [40.4259]
train_epoch: 1013, loss: 0.7740, recall20: 0.0000 recall10: 0.0000 [40.4364]
train_epoch: 1014, loss: 0.7740, recall20: 0.0000 recall10: 0.0000 [40.4458]
train_epoch: 1015, loss: 0.7740, recall20: 0.0000 recall10: 0.0000 [40.4544]
train_epoch: 1016, loss: 0.7740, recall20: 0.0000 recall10: 0.0000 [40.4628]
train_epoch: 1017, loss: 0.7739, recall20: 0.0000 recall10: 0.0000 [40.4718]
train_epoch: 1018, loss: 0.7739, recall20: 0.0000 recall10: 0.0000 [40.4804]
train_epoch: 1019, loss: 0.7739, recall20: 0.0000 recall10: 0.0000 [40.4894]
train_epoch: 1020, loss: 0.7739, recall20: 0.0000 recall10: 0.0000 [40.4969]
train_epoch: 1021, loss: 0.7739, recall20: 0.0000 recall10: 0.0000 [40.5048]
train_epoch: 1022, loss: 0.7738, recall20: 0.0000 recall10: 0.0000 [40.5130]
train_epoch: 1023, loss: 0.7738, recall20: 0.0000 recall10: 0.0000 [40.5214]
train_epoch: 1024, loss: 0.7738, recall20: 0.0000 recall10: 0.0000 [40.5281]
