{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.7550, recall20: 0.0000 recall10: 0.0000 [14.8806]
train_epoch: 1002, loss: 0.7550, recall20: 0.0000 recall10: 0.0000 [14.9039]
train_epoch: 1003, loss: 0.7549, recall20: 0.0000 recall10: 0.0000 [14.9211]
train_epoch: 1004, loss: 0.7549, recall20: 0.0000 recall10: 0.0000 [14.9378]
train_epoch: 1005, loss: 0.7549, recall20: 0.0000 recall10: 0.0000 [14.9531]
train_epoch: 1006, loss: 0.7549, recall20: 0.0000 recall10: 0.0000 [14.9689]
train_epoch: 1007, loss: 0.7548, recall20: 0.0000 recall10: 0.0000 [14.9844]
train_epoch: 1008, loss: 0.7548, recall20: 0.0000 recall10: 0.0000 [15.0002]
train_epoch: 1009, loss: 0.7548, recall20: 0.0000 recall10: 0.0000 [15.0164]
train_epoch: 1010, loss: 0.7548, recall20: 0.0000 recall10: 0.0000 [15.0331]
train_epoch: 1011, loss: 0.7548, recall20: 0.0000 recall10: 0.0000 [15.0499]
train_epoch: 1012, loss: 0.7547, recall20: 0.0000 recall10: 0.0000 [15.0662]
train_epoch: 1013, loss: 0.7547, recall20: 0.0000 recall10: 0.0000 [15.0826]
train_epoch: 1014, loss: 0.7547, recall20: 0.0000 recall10: 0.0000 [15.0981]
train_epoch: 1015, loss: 0.7547, recall20: 0.0000 recall10: 0.0000 [15.1129]
train_epoch: 1016, loss: 0.7546, recall20: 0.0000 recall10: 0.0000 [15.1283]
train_epoch: 1017, loss: 0.7546, recall20: 0.0000 recall10: 0.0000 [15.1442]
train_epoch: 1018, loss: 0.7546, recall20: 0.0000 recall10: 0.0000 [15.1608]
train_epoch: 1019, loss: 0.7546, recall20: 0.0000 recall10: 0.0000 [15.1769]
train_epoch: 1020, loss: 0.7545, recall20: 0.0000 recall10: 0.0000 [15.1926]
train_epoch: 1021, loss: 0.7545, recall20: 0.0000 recall10: 0.0000 [15.2076]
train_epoch: 1022, loss: 0.7545, recall20: 0.0000 recall10: 0.0000 [15.2223]
train_epoch: 1023, loss: 0.7545, recall20: 0.0000 recall10: 0.0000 [15.2368]
train_epoch: 1024, loss: 0.7545, recall20: 0.0000 recall10: 0.0000 [15.2516]
train_epoch: 1025, loss: 0.7544, recall20: 0.0000 recall10: 0.0000 [15.2666]
train_epoch: 1026, loss: 0.7544, recall20: 0.0000 recall10: 0.0000 [15.2816]
train_epoch: 1027, loss: 0.7544, recall20: 0.0000 recall10: 0.0000 [15.2961]
train_epoch: 1028, loss: 0.7544, recall20: 0.0000 recall10: 0.0000 [15.3105]
train_epoch: 1029, loss: 0.7543, recall20: 0.0000 recall10: 0.0000 [15.3252]
train_epoch: 1030, loss: 0.7543, recall20: 0.0000 recall10: 0.0000 [15.3399]
train_epoch: 1031, loss: 0.7543, recall20: 0.0000 recall10: 0.0000 [15.3545]
train_epoch: 1032, loss: 0.7543, recall20: 0.0000 recall10: 0.0000 [15.3693]
train_epoch: 1033, loss: 0.7543, recall20: 0.0000 recall10: 0.0000 [15.3854]
train_epoch: 1034, loss: 0.7542, recall20: 0.0000 recall10: 0.0000 [15.4018]
train_epoch: 1035, loss: 0.7542, recall20: 0.0000 recall10: 0.0000 [15.4191]
train_epoch: 1036, loss: 0.7542, recall20: 0.0000 recall10: 0.0000 [15.4353]
train_epoch: 1037, loss: 0.7542, recall20: 0.0000 recall10: 0.0000 [15.4512]
train_epoch: 1038, loss: 0.7541, recall20: 0.0000 recall10: 0.0000 [15.4673]
train_epoch: 1039, loss: 0.7541, recall20: 0.0000 recall10: 0.0000 [15.4831]
train_epoch: 1040, loss: 0.7541, recall20: 0.0000 recall10: 0.0000 [15.4991]
train_epoch: 1041, loss: 0.7541, recall20: 0.0000 recall10: 0.0000 [15.5153]
train_epoch: 1042, loss: 0.7540, recall20: 0.0000 recall10: 0.0000 [15.5314]
train_epoch: 1043, loss: 0.7540, recall20: 0.0000 recall10: 0.0000 [15.5473]
train_epoch: 1044, loss: 0.7540, recall20: 0.0000 recall10: 0.0000 [15.5626]
train_epoch: 1045, loss: 0.7540, recall20: 0.0000 recall10: 0.0000 [15.5781]
train_epoch: 1046, loss: 0.7540, recall20: 0.0000 recall10: 0.0000 [15.5936]
train_epoch: 1047, loss: 0.7539, recall20: 0.0000 recall10: 0.0000 [15.6086]
train_epoch: 1048, loss: 0.7539, recall20: 0.0000 recall10: 0.0000 [15.6244]
train_epoch: 1049, loss: 0.7539, recall20: 0.0000 recall10: 0.0000 [15.6412]
train_epoch: 1050, loss: 0.7539, recall20: 0.0000 recall10: 0.0000 [15.6581]
train_epoch: 1051, loss: 0.7538, recall20: 0.0000 recall10: 0.0000 [15.6744]
train_epoch: 1052, loss: 0.7538, recall20: 0.0000 recall10: 0.0000 [15.6901]
train_epoch: 1053, loss: 0.7538, recall20: 0.0000 recall10: 0.0000 [15.7061]
train_epoch: 1054, loss: 0.7538, recall20: 0.0000 recall10: 0.0000 [15.7220]
train_epoch: 1055, loss: 0.7538, recall20: 0.0000 recall10: 0.0000 [15.7381]
train_epoch: 1056, loss: 0.7537, recall20: 0.0000 recall10: 0.0000 [15.7542]
train_epoch: 1057, loss: 0.7537, recall20: 0.0000 recall10: 0.0000 [15.7699]
train_epoch: 1058, loss: 0.7537, recall20: 0.0000 recall10: 0.0000 [15.7856]
train_epoch: 1059, loss: 0.7537, recall20: 0.0000 recall10: 0.0000 [15.8013]
train_epoch: 1060, loss: 0.7536, recall20: 0.0000 recall10: 0.0000 [15.8167]
train_epoch: 1061, loss: 0.7536, recall20: 0.0000 recall10: 0.0000 [15.8319]
train_epoch: 1062, loss: 0.7536, recall20: 0.0000 recall10: 0.0000 [15.8467]
train_epoch: 1063, loss: 0.7536, recall20: 0.0000 recall10: 0.0000 [15.8614]
train_epoch: 1064, loss: 0.7536, recall20: 0.0000 recall10: 0.0000 [15.8767]
train_epoch: 1065, loss: 0.7535, recall20: 0.0000 recall10: 0.0000 [15.8931]
train_epoch: 1066, loss: 0.7535, recall20: 0.0000 recall10: 0.0000 [15.9097]
train_epoch: 1067, loss: 0.7535, recall20: 0.0000 recall10: 0.0000 [15.9261]
train_epoch: 1068, loss: 0.7535, recall20: 0.0000 recall10: 0.0000 [15.9417]
train_epoch: 1069, loss: 0.7534, recall20: 0.0000 recall10: 0.0000 [15.9571]
train_epoch: 1070, loss: 0.7534, recall20: 0.0000 recall10: 0.0000 [15.9727]
train_epoch: 1071, loss: 0.7534, recall20: 0.0000 recall10: 0.0000 [15.9887]
train_epoch: 1072, loss: 0.7534, recall20: 0.0000 recall10: 0.0000 [16.0049]
train_epoch: 1073, loss: 0.7533, recall20: 0.0000 recall10: 0.0000 [16.0210]
train_epoch: 1074, loss: 0.7533, recall20: 0.0000 recall10: 0.0000 [16.0376]
train_epoch: 1075, loss: 0.7533, recall20: 0.0000 recall10: 0.0000 [16.0547]
train_epoch: 1076, loss: 0.7533, recall20: 0.0000 recall10: 0.0000 [16.0708]
