{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.7955]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8053]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8126]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8195]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8266]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8344]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8417]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8491]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8567]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8634]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8707]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8782]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8870]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.8960]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9033]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9104]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9177]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9252]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9328]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9400]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9476]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9550]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9625]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9697]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9767]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9842]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9918]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [6.9990]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0063]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0139]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0215]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0288]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0363]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0438]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0521]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0595]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0661]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0731]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0807]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0887]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.0959]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1023]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1095]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1169]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1240]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1315]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1395]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1473]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1551]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1630]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1710]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1790]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1867]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.1946]
train_epoch: 1055, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2025]
train_epoch: 1056, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2096]
train_epoch: 1057, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2174]
train_epoch: 1058, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2255]
train_epoch: 1059, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2329]
train_epoch: 1060, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2400]
train_epoch: 1061, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2472]
train_epoch: 1062, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2546]
train_epoch: 1063, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2623]
train_epoch: 1064, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2696]
train_epoch: 1065, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2769]
train_epoch: 1066, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2845]
train_epoch: 1067, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2921]
train_epoch: 1068, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.2998]
train_epoch: 1069, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3070]
train_epoch: 1070, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3147]
train_epoch: 1071, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3227]
train_epoch: 1072, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3309]
train_epoch: 1073, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3384]
train_epoch: 1074, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3459]
train_epoch: 1075, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3541]
train_epoch: 1076, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3631]
train_epoch: 1077, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3712]
train_epoch: 1078, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3793]
train_epoch: 1079, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3875]
train_epoch: 1080, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.3955]
train_epoch: 1081, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4035]
train_epoch: 1082, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4110]
train_epoch: 1083, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4188]
train_epoch: 1084, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4268]
train_epoch: 1085, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4352]
train_epoch: 1086, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4434]
train_epoch: 1087, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4515]
train_epoch: 1088, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4597]
train_epoch: 1089, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4686]
train_epoch: 1090, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4769]
train_epoch: 1091, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4843]
train_epoch: 1092, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4916]
train_epoch: 1093, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.4997]
train_epoch: 1094, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5077]
train_epoch: 1095, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5154]
train_epoch: 1096, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5227]
train_epoch: 1097, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5302]
train_epoch: 1098, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5379]
train_epoch: 1099, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5450]
train_epoch: 1100, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5524]
train_epoch: 1101, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5601]
train_epoch: 1102, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5674]
train_epoch: 1103, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5755]
train_epoch: 1104, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5848]
train_epoch: 1105, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.5940]
train_epoch: 1106, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6022]
train_epoch: 1107, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6096]
train_epoch: 1108, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6169]
train_epoch: 1109, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6256]
train_epoch: 1110, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6336]
train_epoch: 1111, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6411]
train_epoch: 1112, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6491]
train_epoch: 1113, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6581]
train_epoch: 1114, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6663]
train_epoch: 1115, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6744]
train_epoch: 1116, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6829]
train_epoch: 1117, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6915]
train_epoch: 1118, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.6996]
train_epoch: 1119, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.7080]
train_epoch: 1120, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [7.7153]
train_epoch: 1121, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7225]
train_epoch: 1122, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7304]
train_epoch: 1123, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7385]
train_epoch: 1124, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7464]
train_epoch: 1125, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7542]
