{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.7433, recall20: 0.0000 recall10: 0.0000 [9.3187]
train_epoch: 1002, loss: 0.7432, recall20: 0.0000 recall10: 0.0000 [9.3340]
train_epoch: 1003, loss: 0.7432, recall20: 0.0000 recall10: 0.0000 [9.3433]
train_epoch: 1004, loss: 0.7432, recall20: 0.0000 recall10: 0.0000 [9.3535]
train_epoch: 1005, loss: 0.7432, recall20: 0.0000 recall10: 0.0000 [9.3641]
train_epoch: 1006, loss: 0.7431, recall20: 0.0000 recall10: 0.0000 [9.3748]
train_epoch: 1007, loss: 0.7431, recall20: 0.0000 recall10: 0.0000 [9.3852]
train_epoch: 1008, loss: 0.7431, recall20: 0.0000 recall10: 0.0000 [9.3953]
train_epoch: 1009, loss: 0.7431, recall20: 0.0000 recall10: 0.0000 [9.4052]
train_epoch: 1010, loss: 0.7430, recall20: 0.0000 recall10: 0.0000 [9.4151]
train_epoch: 1011, loss: 0.7430, recall20: 0.0000 recall10: 0.0000 [9.4257]
train_epoch: 1012, loss: 0.7430, recall20: 0.0000 recall10: 0.0000 [9.4364]
train_epoch: 1013, loss: 0.7430, recall20: 0.0000 recall10: 0.0000 [9.4465]
train_epoch: 1014, loss: 0.7429, recall20: 0.0000 recall10: 0.0000 [9.4566]
train_epoch: 1015, loss: 0.7429, recall20: 0.0000 recall10: 0.0000 [9.4672]
train_epoch: 1016, loss: 0.7429, recall20: 0.0000 recall10: 0.0000 [9.4775]
train_epoch: 1017, loss: 0.7429, recall20: 0.0000 recall10: 0.0000 [9.4877]
train_epoch: 1018, loss: 0.7428, recall20: 0.0000 recall10: 0.0000 [9.4980]
train_epoch: 1019, loss: 0.7428, recall20: 0.0000 recall10: 0.0000 [9.5093]
train_epoch: 1020, loss: 0.7428, recall20: 0.0000 recall10: 0.0000 [9.5220]
train_epoch: 1021, loss: 0.7427, recall20: 0.0000 recall10: 0.0000 [9.5336]
train_epoch: 1022, loss: 0.7427, recall20: 0.0000 recall10: 0.0000 [9.5437]
train_epoch: 1023, loss: 0.7427, recall20: 0.0000 recall10: 0.0000 [9.5542]
train_epoch: 1024, loss: 0.7427, recall20: 0.0000 recall10: 0.0000 [9.5643]
train_epoch: 1025, loss: 0.7426, recall20: 0.0000 recall10: 0.0000 [9.5743]
train_epoch: 1026, loss: 0.7426, recall20: 0.0000 recall10: 0.0000 [9.5840]
train_epoch: 1027, loss: 0.7426, recall20: 0.0000 recall10: 0.0000 [9.5944]
