{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9337]
train_epoch: 1002, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9463]
train_epoch: 1003, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9560]
train_epoch: 1004, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9655]
train_epoch: 1005, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9753]
train_epoch: 1006, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9852]
train_epoch: 1007, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [8.9945]
train_epoch: 1008, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0038]
train_epoch: 1009, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0139]
train_epoch: 1010, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0238]
train_epoch: 1011, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0333]
train_epoch: 1012, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0435]
train_epoch: 1013, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0533]
train_epoch: 1014, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0632]
train_epoch: 1015, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0726]
train_epoch: 1016, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0826]
train_epoch: 1017, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.0923]
train_epoch: 1018, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1016]
train_epoch: 1019, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1110]
train_epoch: 1020, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1205]
train_epoch: 1021, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1307]
train_epoch: 1022, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1408]
train_epoch: 1023, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1500]
train_epoch: 1024, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1597]
train_epoch: 1025, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1696]
train_epoch: 1026, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [9.1790]
train_epoch: 1027, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.1879]
train_epoch: 1028, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.1974]
train_epoch: 1029, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2068]
train_epoch: 1030, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2161]
train_epoch: 1031, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2260]
train_epoch: 1032, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2361]
train_epoch: 1033, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2457]
train_epoch: 1034, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2557]
train_epoch: 1035, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2648]
train_epoch: 1036, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2738]
train_epoch: 1037, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2825]
train_epoch: 1038, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.2918]
train_epoch: 1039, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3018]
train_epoch: 1040, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3118]
train_epoch: 1041, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3212]
train_epoch: 1042, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3333]
train_epoch: 1043, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3435]
train_epoch: 1044, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3528]
train_epoch: 1045, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3625]
train_epoch: 1046, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3723]
train_epoch: 1047, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3821]
train_epoch: 1048, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.3931]
train_epoch: 1049, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4037]
train_epoch: 1050, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4133]
train_epoch: 1051, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4234]
train_epoch: 1052, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4332]
train_epoch: 1053, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4437]
train_epoch: 1054, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4544]
train_epoch: 1055, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4632]
train_epoch: 1056, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4721]
train_epoch: 1057, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4823]
train_epoch: 1058, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.4928]
train_epoch: 1059, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.5038]
train_epoch: 1060, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.5138]
train_epoch: 1061, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.5234]
train_epoch: 1062, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.5337]
train_epoch: 1063, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.5440]
train_epoch: 1064, loss: 0.3430, recall20: 0.0000 recall10: 0.0000 [9.5534]
train_epoch: 1065, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.5627]
train_epoch: 1066, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.5723]
train_epoch: 1067, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.5818]
train_epoch: 1068, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.5912]
train_epoch: 1069, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6010]
train_epoch: 1070, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6107]
train_epoch: 1071, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6196]
train_epoch: 1072, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6289]
train_epoch: 1073, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6390]
train_epoch: 1074, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6499]
train_epoch: 1075, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6616]
train_epoch: 1076, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6724]
train_epoch: 1077, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6836]
train_epoch: 1078, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.6945]
train_epoch: 1079, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7051]
train_epoch: 1080, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7148]
train_epoch: 1081, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7258]
train_epoch: 1082, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7366]
train_epoch: 1083, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7472]
train_epoch: 1084, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7573]
train_epoch: 1085, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7679]
train_epoch: 1086, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7785]
train_epoch: 1087, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.7892]
train_epoch: 1088, loss: 0.3429, recall20: 0.0000 recall10: 0.0000 [9.8003]
