{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.5654, recall20: 0.0000 recall10: 0.0000 [9.4025]
train_epoch: 1002, loss: 0.5654, recall20: 0.0000 recall10: 0.0000 [9.4159]
train_epoch: 1003, loss: 0.5653, recall20: 0.0000 recall10: 0.0000 [9.4259]
train_epoch: 1004, loss: 0.5653, recall20: 0.0000 recall10: 0.0000 [9.4356]
train_epoch: 1005, loss: 0.5652, recall20: 0.0000 recall10: 0.0000 [9.4450]
train_epoch: 1006, loss: 0.5652, recall20: 0.0000 recall10: 0.0000 [9.4551]
train_epoch: 1007, loss: 0.5651, recall20: 0.0000 recall10: 0.0000 [9.4652]
train_epoch: 1008, loss: 0.5651, recall20: 0.0000 recall10: 0.0000 [9.4754]
train_epoch: 1009, loss: 0.5650, recall20: 0.0000 recall10: 0.0000 [9.4853]
train_epoch: 1010, loss: 0.5650, recall20: 0.0000 recall10: 0.0000 [9.4953]
train_epoch: 1011, loss: 0.5649, recall20: 0.0000 recall10: 0.0000 [9.5058]
train_epoch: 1012, loss: 0.5649, recall20: 0.0000 recall10: 0.0000 [9.5162]
train_epoch: 1013, loss: 0.5649, recall20: 0.0000 recall10: 0.0000 [9.5263]
train_epoch: 1014, loss: 0.5648, recall20: 0.0000 recall10: 0.0000 [9.5365]
train_epoch: 1015, loss: 0.5648, recall20: 0.0000 recall10: 0.0000 [9.5468]
train_epoch: 1016, loss: 0.5647, recall20: 0.0000 recall10: 0.0000 [9.5570]
train_epoch: 1017, loss: 0.5647, recall20: 0.0000 recall10: 0.0000 [9.5676]
train_epoch: 1018, loss: 0.5646, recall20: 0.0000 recall10: 0.0000 [9.5785]
train_epoch: 1019, loss: 0.5646, recall20: 0.0000 recall10: 0.0000 [9.5892]
train_epoch: 1020, loss: 0.5645, recall20: 0.0000 recall10: 0.0000 [9.5994]
train_epoch: 1021, loss: 0.5645, recall20: 0.0000 recall10: 0.0000 [9.6101]
train_epoch: 1022, loss: 0.5644, recall20: 0.0000 recall10: 0.0000 [9.6205]
train_epoch: 1023, loss: 0.5644, recall20: 0.0000 recall10: 0.0000 [9.6313]
train_epoch: 1024, loss: 0.5644, recall20: 0.0000 recall10: 0.0000 [9.6417]
train_epoch: 1025, loss: 0.5643, recall20: 0.0000 recall10: 0.0000 [9.6521]
train_epoch: 1026, loss: 0.5643, recall20: 0.0000 recall10: 0.0000 [9.6623]
train_epoch: 1027, loss: 0.5642, recall20: 0.0000 recall10: 0.0000 [9.6725]
train_epoch: 1028, loss: 0.5642, recall20: 0.0000 recall10: 0.0000 [9.6831]
train_epoch: 1029, loss: 0.5641, recall20: 0.0000 recall10: 0.0000 [9.6935]
train_epoch: 1030, loss: 0.5641, recall20: 0.0000 recall10: 0.0000 [9.7040]
train_epoch: 1031, loss: 0.5640, recall20: 0.0000 recall10: 0.0000 [9.7149]
train_epoch: 1032, loss: 0.5640, recall20: 0.0000 recall10: 0.0000 [9.7254]
