{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.0716]
train_epoch: 1002, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.0857]
train_epoch: 1003, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.0957]
train_epoch: 1004, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1061]
train_epoch: 1005, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1160]
train_epoch: 1006, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1253]
train_epoch: 1007, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1349]
train_epoch: 1008, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1442]
train_epoch: 1009, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1551]
train_epoch: 1010, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1649]
train_epoch: 1011, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1743]
train_epoch: 1012, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1840]
train_epoch: 1013, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.1933]
train_epoch: 1014, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2044]
train_epoch: 1015, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2148]
train_epoch: 1016, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2247]
train_epoch: 1017, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2343]
train_epoch: 1018, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2439]
train_epoch: 1019, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2532]
train_epoch: 1020, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2644]
train_epoch: 1021, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2745]
train_epoch: 1022, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2849]
train_epoch: 1023, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.2953]
train_epoch: 1024, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3058]
train_epoch: 1025, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3174]
train_epoch: 1026, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3280]
train_epoch: 1027, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3383]
train_epoch: 1028, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3486]
train_epoch: 1029, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3585]
train_epoch: 1030, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3679]
train_epoch: 1031, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [9.3781]
train_epoch: 1032, loss: 0.3577, recall20: 0.1400 recall10: 0.0804 [9.4300]
