{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.1236]
train_epoch: 1002, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.1847]
train_epoch: 1003, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.2458]
train_epoch: 1004, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.3068]
train_epoch: 1005, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.3665]
train_epoch: 1006, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.4272]
train_epoch: 1007, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.4888]
train_epoch: 1008, loss: 0.3441, recall20: 0.0000 recall10: 0.0000 [53.5511]
train_epoch: 1009, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.6119]
train_epoch: 1010, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.6733]
train_epoch: 1011, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.7342]
train_epoch: 1012, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.7948]
train_epoch: 1013, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.8548]
train_epoch: 1014, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.9153]
train_epoch: 1015, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [53.9761]
train_epoch: 1016, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [54.0380]
train_epoch: 1017, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [54.0995]
train_epoch: 1018, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [54.1612]
train_epoch: 1019, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [54.2204]
train_epoch: 1020, loss: 0.3440, recall20: 0.0000 recall10: 0.0000 [54.2796]
train_epoch: 1021, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.3413]
train_epoch: 1022, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.4022]
train_epoch: 1023, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.4636]
train_epoch: 1024, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.5221]
train_epoch: 1025, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.5824]
train_epoch: 1026, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.6432]
train_epoch: 1027, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.7052]
train_epoch: 1028, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.7647]
train_epoch: 1029, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.8255]
train_epoch: 1030, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.8863]
train_epoch: 1031, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [54.9469]
train_epoch: 1032, loss: 0.3439, recall20: 0.0000 recall10: 0.0000 [55.0033]
train_epoch: 1033, loss: 0.3438, recall20: 0.0000 recall10: 0.0000 [55.0622]
train_epoch: 1034, loss: 0.3438, recall20: 0.0000 recall10: 0.0000 [55.1226]
train_epoch: 1035, loss: 0.3438, recall20: 0.0000 recall10: 0.0000 [55.1821]
train_epoch: 1036, loss: 0.3438, recall20: 0.0000 recall10: 0.0000 [55.2405]
train_epoch: 1037, loss: 0.3438, recall20: 0.0000 recall10: 0.0000 [55.3005]
