{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [68.9409]
train_epoch: 1002, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [69.0132]
train_epoch: 1003, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [69.0718]
train_epoch: 1004, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [69.1332]
train_epoch: 1005, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [69.1918]
train_epoch: 1006, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [69.2494]
train_epoch: 1007, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [69.3098]
train_epoch: 1008, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [69.3685]
train_epoch: 1009, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [69.4257]
train_epoch: 1010, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [69.4839]
train_epoch: 1011, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [69.5428]
train_epoch: 1012, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [69.6013]
train_epoch: 1013, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [69.6619]
train_epoch: 1014, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [69.7228]
train_epoch: 1015, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [69.7808]
train_epoch: 1016, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [69.8403]
train_epoch: 1017, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [69.8987]
train_epoch: 1018, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [69.9589]
train_epoch: 1019, loss: 0.3901, recall20: 0.0000 recall10: 0.0000 [70.0164]
train_epoch: 1020, loss: 0.3901, recall20: 0.0000 recall10: 0.0000 [70.0758]
