{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0139]
train_epoch: 1002, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0256]
train_epoch: 1003, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0349]
train_epoch: 1004, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [8.0434]
train_epoch: 1005, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.0524]
train_epoch: 1006, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.0612]
train_epoch: 1007, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.0705]
train_epoch: 1008, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.0796]
train_epoch: 1009, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.0888]
train_epoch: 1010, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.0976]
train_epoch: 1011, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [8.1064]
train_epoch: 1012, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.1172]
train_epoch: 1013, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.1265]
train_epoch: 1014, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.1360]
train_epoch: 1015, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.1462]
train_epoch: 1016, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.1563]
train_epoch: 1017, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [8.1656]
train_epoch: 1018, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.1755]
train_epoch: 1019, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.1849]
train_epoch: 1020, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.1938]
train_epoch: 1021, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.2036]
train_epoch: 1022, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.2135]
train_epoch: 1023, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.2233]
train_epoch: 1024, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [8.2329]
train_epoch: 1025, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.2431]
train_epoch: 1026, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.2547]
train_epoch: 1027, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.2643]
train_epoch: 1028, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.2752]
train_epoch: 1029, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.2864]
train_epoch: 1030, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.2966]
train_epoch: 1031, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [8.3065]
train_epoch: 1032, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3164]
train_epoch: 1033, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3268]
train_epoch: 1034, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3362]
train_epoch: 1035, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3464]
train_epoch: 1036, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3575]
train_epoch: 1037, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3685]
train_epoch: 1038, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [8.3788]
train_epoch: 1039, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.3884]
train_epoch: 1040, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.3976]
train_epoch: 1041, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.4062]
train_epoch: 1042, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.4159]
train_epoch: 1043, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.4257]
train_epoch: 1044, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.4346]
train_epoch: 1045, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [8.4431]
train_epoch: 1046, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.4520]
train_epoch: 1047, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.4610]
train_epoch: 1048, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.4708]
train_epoch: 1049, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.4806]
train_epoch: 1050, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.4905]
train_epoch: 1051, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.4997]
train_epoch: 1052, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [8.5099]
train_epoch: 1053, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5197]
train_epoch: 1054, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5293]
train_epoch: 1055, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5386]
train_epoch: 1056, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5485]
train_epoch: 1057, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5581]
train_epoch: 1058, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5669]
train_epoch: 1059, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.5771]
train_epoch: 1060, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5865]
train_epoch: 1061, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5960]
train_epoch: 1062, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6062]
train_epoch: 1063, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6153]
train_epoch: 1064, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6246]
train_epoch: 1065, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6338]
train_epoch: 1066, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6450]
train_epoch: 1067, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.6544]
train_epoch: 1068, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.6631]
train_epoch: 1069, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.6736]
train_epoch: 1070, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.6837]
train_epoch: 1071, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.6936]
train_epoch: 1072, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.7038]
train_epoch: 1073, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.7146]
train_epoch: 1074, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [8.7263]
train_epoch: 1075, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.7358]
train_epoch: 1076, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.7463]
train_epoch: 1077, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.7566]
train_epoch: 1078, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.7677]
train_epoch: 1079, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.7785]
train_epoch: 1080, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.7896]
train_epoch: 1081, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [8.8006]
train_epoch: 1082, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8110]
train_epoch: 1083, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8219]
train_epoch: 1084, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8325]
train_epoch: 1085, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8426]
train_epoch: 1086, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8522]
train_epoch: 1087, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8627]
train_epoch: 1088, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8736]
train_epoch: 1089, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [8.8839]
train_epoch: 1090, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.8937]
train_epoch: 1091, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9038]
train_epoch: 1092, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9134]
train_epoch: 1093, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9233]
train_epoch: 1094, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9328]
train_epoch: 1095, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9419]
train_epoch: 1096, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9521]
train_epoch: 1097, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [8.9620]
train_epoch: 1098, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [8.9713]
train_epoch: 1099, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [8.9806]
train_epoch: 1100, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [8.9897]
train_epoch: 1101, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [9.0004]
train_epoch: 1102, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [9.0111]
train_epoch: 1103, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [9.0204]
train_epoch: 1104, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [9.0293]
train_epoch: 1105, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [9.0388]
train_epoch: 1106, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [9.0481]
train_epoch: 1107, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [9.0576]
