{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.1062]
train_epoch: 1002, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.1803]
train_epoch: 1003, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.2278]
train_epoch: 1004, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.2751]
train_epoch: 1005, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.3198]
train_epoch: 1006, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.3659]
train_epoch: 1007, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.4117]
train_epoch: 1008, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.4562]
train_epoch: 1009, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.4984]
train_epoch: 1010, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.5414]
train_epoch: 1011, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.5856]
train_epoch: 1012, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.6333]
train_epoch: 1013, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.6757]
train_epoch: 1014, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.7204]
train_epoch: 1015, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.7657]
train_epoch: 1016, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.8092]
train_epoch: 1017, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.8525]
train_epoch: 1018, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.9036]
train_epoch: 1019, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.9479]
train_epoch: 1020, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [68.9938]
train_epoch: 1021, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [69.0364]
train_epoch: 1022, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [69.0762]
train_epoch: 1023, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [69.1190]
train_epoch: 1024, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [69.1637]
train_epoch: 1025, loss: 0.3818, recall20: 0.0000 recall10: 0.0000 [69.2090]
train_epoch: 1026, loss: 0.3818, recall20: 0.0538 recall10: 0.0315 [69.3459]
