{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [35.8432]
train_epoch: 1002, loss: 0.3596, recall20: 0.0000 recall10: 0.0000 [35.8537]
train_epoch: 1003, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.8623]
train_epoch: 1004, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.8710]
train_epoch: 1005, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.8792]
train_epoch: 1006, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.8876]
train_epoch: 1007, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.8961]
train_epoch: 1008, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9045]
train_epoch: 1009, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9127]
train_epoch: 1010, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9222]
train_epoch: 1011, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9310]
train_epoch: 1012, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9392]
train_epoch: 1013, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9474]
train_epoch: 1014, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9562]
train_epoch: 1015, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9650]
train_epoch: 1016, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9728]
train_epoch: 1017, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9816]
train_epoch: 1018, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9905]
train_epoch: 1019, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [35.9990]
train_epoch: 1020, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0065]
train_epoch: 1021, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0146]
train_epoch: 1022, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0239]
train_epoch: 1023, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0329]
train_epoch: 1024, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0410]
train_epoch: 1025, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0517]
train_epoch: 1026, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0607]
train_epoch: 1027, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0686]
train_epoch: 1028, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0762]
train_epoch: 1029, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0842]
train_epoch: 1030, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.0927]
train_epoch: 1031, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1010]
train_epoch: 1032, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1085]
train_epoch: 1033, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1165]
train_epoch: 1034, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1244]
train_epoch: 1035, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1320]
train_epoch: 1036, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1398]
train_epoch: 1037, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1480]
train_epoch: 1038, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1567]
train_epoch: 1039, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1642]
train_epoch: 1040, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1716]
train_epoch: 1041, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1794]
train_epoch: 1042, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1869]
train_epoch: 1043, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.1944]
train_epoch: 1044, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.2036]
train_epoch: 1045, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.2111]
train_epoch: 1046, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.2181]
train_epoch: 1047, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.2264]
train_epoch: 1048, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.2342]
train_epoch: 1049, loss: 0.3595, recall20: 0.0000 recall10: 0.0000 [36.2420]
train_epoch: 1050, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2510]
train_epoch: 1051, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2600]
train_epoch: 1052, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2673]
train_epoch: 1053, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2754]
train_epoch: 1054, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2832]
train_epoch: 1055, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2900]
train_epoch: 1056, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.2997]
train_epoch: 1057, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3082]
train_epoch: 1058, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3153]
train_epoch: 1059, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3235]
train_epoch: 1060, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3318]
train_epoch: 1061, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3386]
train_epoch: 1062, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3468]
train_epoch: 1063, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3563]
train_epoch: 1064, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3641]
train_epoch: 1065, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3722]
train_epoch: 1066, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3802]
train_epoch: 1067, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3877]
train_epoch: 1068, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.3983]
train_epoch: 1069, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4078]
train_epoch: 1070, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4165]
train_epoch: 1071, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4246]
train_epoch: 1072, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4333]
train_epoch: 1073, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4410]
train_epoch: 1074, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4497]
train_epoch: 1075, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4610]
train_epoch: 1076, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4703]
train_epoch: 1077, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4791]
train_epoch: 1078, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4873]
train_epoch: 1079, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.4952]
train_epoch: 1080, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5036]
train_epoch: 1081, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5125]
train_epoch: 1082, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5203]
train_epoch: 1083, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5309]
train_epoch: 1084, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5391]
train_epoch: 1085, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5473]
train_epoch: 1086, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5554]
train_epoch: 1087, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5621]
train_epoch: 1088, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5702]
train_epoch: 1089, loss: 0.3594, recall20: 0.0000 recall10: 0.0000 [36.5780]
