{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4114, recall20: 0.0000 recall10: 0.0000 [56.4838]
train_epoch: 1002, loss: 0.4114, recall20: 0.0000 recall10: 0.0000 [56.5450]
train_epoch: 1003, loss: 0.4113, recall20: 0.0000 recall10: 0.0000 [56.6035]
train_epoch: 1004, loss: 0.4113, recall20: 0.0000 recall10: 0.0000 [56.6620]
train_epoch: 1005, loss: 0.4112, recall20: 0.0000 recall10: 0.0000 [56.7181]
train_epoch: 1006, loss: 0.4112, recall20: 0.0000 recall10: 0.0000 [56.7755]
train_epoch: 1007, loss: 0.4111, recall20: 0.0000 recall10: 0.0000 [56.8324]
train_epoch: 1008, loss: 0.4111, recall20: 0.0000 recall10: 0.0000 [56.8905]
train_epoch: 1009, loss: 0.4110, recall20: 0.0000 recall10: 0.0000 [56.9482]
train_epoch: 1010, loss: 0.4110, recall20: 0.0000 recall10: 0.0000 [57.0059]
train_epoch: 1011, loss: 0.4110, recall20: 0.0000 recall10: 0.0000 [57.0630]
train_epoch: 1012, loss: 0.4109, recall20: 0.0000 recall10: 0.0000 [57.1199]
train_epoch: 1013, loss: 0.4109, recall20: 0.0000 recall10: 0.0000 [57.1776]
train_epoch: 1014, loss: 0.4108, recall20: 0.0000 recall10: 0.0000 [57.2357]
train_epoch: 1015, loss: 0.4108, recall20: 0.0000 recall10: 0.0000 [57.2927]
train_epoch: 1016, loss: 0.4107, recall20: 0.0000 recall10: 0.0000 [57.3489]
train_epoch: 1017, loss: 0.4107, recall20: 0.0000 recall10: 0.0000 [57.4060]
train_epoch: 1018, loss: 0.4106, recall20: 0.0000 recall10: 0.0000 [57.4619]
train_epoch: 1019, loss: 0.4106, recall20: 0.0000 recall10: 0.0000 [57.5194]
train_epoch: 1020, loss: 0.4105, recall20: 0.0000 recall10: 0.0000 [57.5748]
train_epoch: 1021, loss: 0.4105, recall20: 0.0000 recall10: 0.0000 [57.6310]
train_epoch: 1022, loss: 0.4104, recall20: 0.0000 recall10: 0.0000 [57.6875]
train_epoch: 1023, loss: 0.4104, recall20: 0.0000 recall10: 0.0000 [57.7441]
train_epoch: 1024, loss: 0.4103, recall20: 0.0000 recall10: 0.0000 [57.8012]
train_epoch: 1025, loss: 0.4103, recall20: 0.0000 recall10: 0.0000 [57.8597]
train_epoch: 1026, loss: 0.4103, recall20: 0.0000 recall10: 0.0000 [57.9168]
train_epoch: 1027, loss: 0.4102, recall20: 0.0000 recall10: 0.0000 [57.9739]
train_epoch: 1028, loss: 0.4102, recall20: 0.0000 recall10: 0.0000 [58.0317]
train_epoch: 1029, loss: 0.4101, recall20: 0.0000 recall10: 0.0000 [58.0888]
train_epoch: 1030, loss: 0.4101, recall20: 0.0000 recall10: 0.0000 [58.1443]
train_epoch: 1031, loss: 0.4100, recall20: 0.0000 recall10: 0.0000 [58.2014]
train_epoch: 1032, loss: 0.4100, recall20: 0.0000 recall10: 0.0000 [58.2574]
train_epoch: 1033, loss: 0.4099, recall20: 0.0000 recall10: 0.0000 [58.3128]
train_epoch: 1034, loss: 0.4099, recall20: 0.0000 recall10: 0.0000 [58.3705]
train_epoch: 1035, loss: 0.4098, recall20: 0.0000 recall10: 0.0000 [58.4276]
train_epoch: 1036, loss: 0.4098, recall20: 0.0000 recall10: 0.0000 [58.4847]
train_epoch: 1037, loss: 0.4097, recall20: 0.0000 recall10: 0.0000 [58.5426]
train_epoch: 1038, loss: 0.4097, recall20: 0.0000 recall10: 0.0000 [58.5984]
train_epoch: 1039, loss: 0.4096, recall20: 0.0000 recall10: 0.0000 [58.6551]
train_epoch: 1040, loss: 0.4096, recall20: 0.0000 recall10: 0.0000 [58.7135]
train_epoch: 1041, loss: 0.4096, recall20: 0.0000 recall10: 0.0000 [58.7701]
train_epoch: 1042, loss: 0.4095, recall20: 0.0000 recall10: 0.0000 [58.8266]
train_epoch: 1043, loss: 0.4095, recall20: 0.0000 recall10: 0.0000 [58.8801]
train_epoch: 1044, loss: 0.4094, recall20: 0.0000 recall10: 0.0000 [58.9374]
train_epoch: 1045, loss: 0.4094, recall20: 0.0000 recall10: 0.0000 [58.9943]
train_epoch: 1046, loss: 0.4093, recall20: 0.0000 recall10: 0.0000 [59.0505]
train_epoch: 1047, loss: 0.4093, recall20: 0.0000 recall10: 0.0000 [59.1072]
train_epoch: 1048, loss: 0.4092, recall20: 0.0000 recall10: 0.0000 [59.1625]
train_epoch: 1049, loss: 0.4092, recall20: 0.0000 recall10: 0.0000 [59.2217]
train_epoch: 1050, loss: 0.4091, recall20: 0.0000 recall10: 0.0000 [59.2797]
train_epoch: 1051, loss: 0.4091, recall20: 0.0000 recall10: 0.0000 [59.3401]
train_epoch: 1052, loss: 0.4090, recall20: 0.0000 recall10: 0.0000 [59.4016]
train_epoch: 1053, loss: 0.4090, recall20: 0.0000 recall10: 0.0000 [59.4551]
train_epoch: 1054, loss: 0.4089, recall20: 0.0000 recall10: 0.0000 [59.5108]
train_epoch: 1055, loss: 0.4089, recall20: 0.0000 recall10: 0.0000 [59.5671]
train_epoch: 1056, loss: 0.4089, recall20: 0.0000 recall10: 0.0000 [59.6165]
train_epoch: 1057, loss: 0.4088, recall20: 0.0000 recall10: 0.0000 [59.6575]
train_epoch: 1058, loss: 0.4088, recall20: 0.0000 recall10: 0.0000 [59.7082]
train_epoch: 1059, loss: 0.4087, recall20: 0.0000 recall10: 0.0000 [59.7649]
train_epoch: 1060, loss: 0.4087, recall20: 0.0000 recall10: 0.0000 [59.8200]
train_epoch: 1061, loss: 0.4086, recall20: 0.0000 recall10: 0.0000 [59.8778]
train_epoch: 1062, loss: 0.4086, recall20: 0.0000 recall10: 0.0000 [59.9318]
train_epoch: 1063, loss: 0.4085, recall20: 0.0000 recall10: 0.0000 [59.9883]
train_epoch: 1064, loss: 0.4085, recall20: 0.0000 recall10: 0.0000 [60.0436]
train_epoch: 1065, loss: 0.4084, recall20: 0.0000 recall10: 0.0000 [60.1009]
train_epoch: 1066, loss: 0.4084, recall20: 0.0000 recall10: 0.0000 [60.1582]
train_epoch: 1067, loss: 0.4084, recall20: 0.0000 recall10: 0.0000 [60.2123]
train_epoch: 1068, loss: 0.4083, recall20: 0.0000 recall10: 0.0000 [60.2692]
train_epoch: 1069, loss: 0.4083, recall20: 0.0000 recall10: 0.0000 [60.3240]
train_epoch: 1070, loss: 0.4082, recall20: 0.0000 recall10: 0.0000 [60.3806]
train_epoch: 1071, loss: 0.4082, recall20: 0.0000 recall10: 0.0000 [60.4332]
train_epoch: 1072, loss: 0.4081, recall20: 0.0000 recall10: 0.0000 [60.4908]
train_epoch: 1073, loss: 0.4081, recall20: 0.0000 recall10: 0.0000 [60.5465]
train_epoch: 1074, loss: 0.4080, recall20: 0.0000 recall10: 0.0000 [60.6036]
train_epoch: 1075, loss: 0.4080, recall20: 0.0000 recall10: 0.0000 [60.6625]
train_epoch: 1076, loss: 0.4079, recall20: 0.0000 recall10: 0.0000 [60.7192]
train_epoch: 1077, loss: 0.4079, recall20: 0.0000 recall10: 0.0000 [60.7742]
train_epoch: 1078, loss: 0.4079, recall20: 0.0000 recall10: 0.0000 [60.8255]
train_epoch: 1079, loss: 0.4078, recall20: 0.0000 recall10: 0.0000 [60.8832]
train_epoch: 1080, loss: 0.4078, recall20: 0.0000 recall10: 0.0000 [60.9415]
train_epoch: 1081, loss: 0.4077, recall20: 0.0000 recall10: 0.0000 [60.9972]
train_epoch: 1082, loss: 0.4077, recall20: 0.0000 recall10: 0.0000 [61.0540]
train_epoch: 1083, loss: 0.4076, recall20: 0.0000 recall10: 0.0000 [61.1061]
train_epoch: 1084, loss: 0.4076, recall20: 0.0000 recall10: 0.0000 [61.1645]
train_epoch: 1085, loss: 0.4075, recall20: 0.0000 recall10: 0.0000 [61.2213]
train_epoch: 1086, loss: 0.4075, recall20: 0.0000 recall10: 0.0000 [61.2762]
train_epoch: 1087, loss: 0.4074, recall20: 0.0000 recall10: 0.0000 [61.3308]
train_epoch: 1088, loss: 0.4074, recall20: 0.0000 recall10: 0.0000 [61.3859]
train_epoch: 1089, loss: 0.4074, recall20: 0.0000 recall10: 0.0000 [61.4415]
train_epoch: 1090, loss: 0.4073, recall20: 0.0000 recall10: 0.0000 [61.4965]
train_epoch: 1091, loss: 0.4073, recall20: 0.0000 recall10: 0.0000 [61.5538]
train_epoch: 1092, loss: 0.4072, recall20: 0.0000 recall10: 0.0000 [61.6106]
train_epoch: 1093, loss: 0.4072, recall20: 0.0000 recall10: 0.0000 [61.6674]
train_epoch: 1094, loss: 0.4071, recall20: 0.0000 recall10: 0.0000 [61.7237]
train_epoch: 1095, loss: 0.4071, recall20: 0.0000 recall10: 0.0000 [61.7832]
train_epoch: 1096, loss: 0.4070, recall20: 0.0000 recall10: 0.0000 [61.8417]
train_epoch: 1097, loss: 0.4070, recall20: 0.0000 recall10: 0.0000 [61.9009]
train_epoch: 1098, loss: 0.4070, recall20: 0.0000 recall10: 0.0000 [61.9608]
train_epoch: 1099, loss: 0.4069, recall20: 0.0000 recall10: 0.0000 [62.0184]
train_epoch: 1100, loss: 0.4069, recall20: 0.0000 recall10: 0.0000 [62.0756]
train_epoch: 1101, loss: 0.4068, recall20: 0.0000 recall10: 0.0000 [62.1316]
train_epoch: 1102, loss: 0.4068, recall20: 0.0000 recall10: 0.0000 [62.1871]
train_epoch: 1103, loss: 0.4067, recall20: 0.0000 recall10: 0.0000 [62.2402]
train_epoch: 1104, loss: 0.4067, recall20: 0.0000 recall10: 0.0000 [62.2977]
train_epoch: 1105, loss: 0.4066, recall20: 0.0000 recall10: 0.0000 [62.3553]
train_epoch: 1106, loss: 0.4066, recall20: 0.0000 recall10: 0.0000 [62.4078]
train_epoch: 1107, loss: 0.4065, recall20: 0.0000 recall10: 0.0000 [62.4617]
train_epoch: 1108, loss: 0.4065, recall20: 0.0000 recall10: 0.0000 [62.5121]
train_epoch: 1109, loss: 0.4065, recall20: 0.0000 recall10: 0.0000 [62.5699]
train_epoch: 1110, loss: 0.4064, recall20: 0.0000 recall10: 0.0000 [62.6238]
train_epoch: 1111, loss: 0.4064, recall20: 0.0000 recall10: 0.0000 [62.6588]
train_epoch: 1112, loss: 0.4063, recall20: 0.0000 recall10: 0.0000 [62.7045]
train_epoch: 1113, loss: 0.4063, recall20: 0.0000 recall10: 0.0000 [62.7630]
train_epoch: 1114, loss: 0.4062, recall20: 0.0000 recall10: 0.0000 [62.8214]
train_epoch: 1115, loss: 0.4062, recall20: 0.0000 recall10: 0.0000 [62.8780]
train_epoch: 1116, loss: 0.4061, recall20: 0.0000 recall10: 0.0000 [62.9345]
train_epoch: 1117, loss: 0.4061, recall20: 0.0000 recall10: 0.0000 [62.9901]
train_epoch: 1118, loss: 0.4061, recall20: 0.0000 recall10: 0.0000 [63.0460]
train_epoch: 1119, loss: 0.4060, recall20: 0.0000 recall10: 0.0000 [63.1027]
train_epoch: 1120, loss: 0.4060, recall20: 0.0000 recall10: 0.0000 [63.1583]
train_epoch: 1121, loss: 0.4059, recall20: 0.0000 recall10: 0.0000 [63.2136]
train_epoch: 1122, loss: 0.4059, recall20: 0.0000 recall10: 0.0000 [63.2676]
train_epoch: 1123, loss: 0.4058, recall20: 0.0000 recall10: 0.0000 [63.3229]
train_epoch: 1124, loss: 0.4058, recall20: 0.0000 recall10: 0.0000 [63.3819]
train_epoch: 1125, loss: 0.4058, recall20: 0.0000 recall10: 0.0000 [63.4389]
train_epoch: 1126, loss: 0.4057, recall20: 0.0000 recall10: 0.0000 [63.4948]
train_epoch: 1127, loss: 0.4057, recall20: 0.0000 recall10: 0.0000 [63.5530]
train_epoch: 1128, loss: 0.4056, recall20: 0.0000 recall10: 0.0000 [63.6121]
train_epoch: 1129, loss: 0.4056, recall20: 0.0000 recall10: 0.0000 [63.6711]
train_epoch: 1130, loss: 0.4055, recall20: 0.0000 recall10: 0.0000 [63.7280]
train_epoch: 1131, loss: 0.4055, recall20: 0.0000 recall10: 0.0000 [63.7848]
train_epoch: 1132, loss: 0.4054, recall20: 0.0000 recall10: 0.0000 [63.8422]
train_epoch: 1133, loss: 0.4054, recall20: 0.0000 recall10: 0.0000 [63.8986]
train_epoch: 1134, loss: 0.4054, recall20: 0.0000 recall10: 0.0000 [63.9547]
train_epoch: 1135, loss: 0.4053, recall20: 0.0000 recall10: 0.0000 [64.0101]
train_epoch: 1136, loss: 0.4053, recall20: 0.0000 recall10: 0.0000 [64.0654]
train_epoch: 1137, loss: 0.4052, recall20: 0.0000 recall10: 0.0000 [64.1248]
train_epoch: 1138, loss: 0.4052, recall20: 0.0000 recall10: 0.0000 [64.1841]
train_epoch: 1139, loss: 0.4051, recall20: 0.0000 recall10: 0.0000 [64.2433]
train_epoch: 1140, loss: 0.4051, recall20: 0.0000 recall10: 0.0000 [64.3001]
train_epoch: 1141, loss: 0.4051, recall20: 0.0000 recall10: 0.0000 [64.3551]
train_epoch: 1142, loss: 0.4050, recall20: 0.0000 recall10: 0.0000 [64.4139]
train_epoch: 1143, loss: 0.4050, recall20: 0.0000 recall10: 0.0000 [64.4733]
train_epoch: 1144, loss: 0.4049, recall20: 0.0000 recall10: 0.0000 [64.5326]
train_epoch: 1145, loss: 0.4049, recall20: 0.0000 recall10: 0.0000 [64.5908]
train_epoch: 1146, loss: 0.4048, recall20: 0.0000 recall10: 0.0000 [64.6501]
train_epoch: 1147, loss: 0.4048, recall20: 0.0000 recall10: 0.0000 [64.7091]
train_epoch: 1148, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [64.7653]
train_epoch: 1149, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [64.8186]
train_epoch: 1150, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [64.8751]
train_epoch: 1151, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [64.9316]
train_epoch: 1152, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [64.9903]
train_epoch: 1153, loss: 0.4045, recall20: 0.0000 recall10: 0.0000 [65.0487]
train_epoch: 1154, loss: 0.4045, recall20: 0.0000 recall10: 0.0000 [65.1042]
train_epoch: 1155, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [65.1614]
train_epoch: 1156, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [65.2173]
train_epoch: 1157, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [65.2743]
train_epoch: 1158, loss: 0.4043, recall20: 0.0000 recall10: 0.0000 [65.3341]
train_epoch: 1159, loss: 0.4043, recall20: 0.0000 recall10: 0.0000 [65.3937]
train_epoch: 1160, loss: 0.4042, recall20: 0.0000 recall10: 0.0000 [65.4529]
train_epoch: 1161, loss: 0.4042, recall20: 0.0000 recall10: 0.0000 [65.5102]
train_epoch: 1162, loss: 0.4041, recall20: 0.0000 recall10: 0.0000 [65.5694]
train_epoch: 1163, loss: 0.4041, recall20: 0.0000 recall10: 0.0000 [65.6287]
train_epoch: 1164, loss: 0.4041, recall20: 0.0000 recall10: 0.0000 [65.6874]
train_epoch: 1165, loss: 0.4040, recall20: 0.0000 recall10: 0.0000 [65.7445]
train_epoch: 1166, loss: 0.4040, recall20: 0.0000 recall10: 0.0000 [65.7989]
train_epoch: 1167, loss: 0.4039, recall20: 0.0000 recall10: 0.0000 [65.8557]
train_epoch: 1168, loss: 0.4039, recall20: 0.0000 recall10: 0.0000 [65.9148]
train_epoch: 1169, loss: 0.4038, recall20: 0.0000 recall10: 0.0000 [65.9717]
train_epoch: 1170, loss: 0.4038, recall20: 0.0000 recall10: 0.0000 [66.0273]
train_epoch: 1171, loss: 0.4038, recall20: 0.0000 recall10: 0.0000 [66.0841]
train_epoch: 1172, loss: 0.4037, recall20: 0.0000 recall10: 0.0000 [66.1429]
train_epoch: 1173, loss: 0.4037, recall20: 0.0000 recall10: 0.0000 [66.2019]
train_epoch: 1174, loss: 0.4036, recall20: 0.0000 recall10: 0.0000 [66.2587]
train_epoch: 1175, loss: 0.4036, recall20: 0.0000 recall10: 0.0000 [66.3152]
train_epoch: 1176, loss: 0.4035, recall20: 0.0000 recall10: 0.0000 [66.3716]
