{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3480, recall20: 0.0000 recall10: 0.0000 [79.5937]
train_epoch: 1002, loss: 0.3480, recall20: 0.0000 recall10: 0.0000 [79.6363]
train_epoch: 1003, loss: 0.3480, recall20: 0.0000 recall10: 0.0000 [79.6852]
train_epoch: 1004, loss: 0.3479, recall20: 0.0000 recall10: 0.0000 [79.7042]
train_epoch: 1005, loss: 0.3479, recall20: 0.0000 recall10: 0.0000 [79.7246]
train_epoch: 1006, loss: 0.3479, recall20: 0.0000 recall10: 0.0000 [79.7450]
train_epoch: 1007, loss: 0.3479, recall20: 0.0000 recall10: 0.0000 [79.7653]
train_epoch: 1008, loss: 0.3479, recall20: 0.0000 recall10: 0.0000 [79.7852]
train_epoch: 1009, loss: 0.3479, recall20: 0.0000 recall10: 0.0000 [79.8066]
train_epoch: 1010, loss: 0.3478, recall20: 0.0000 recall10: 0.0000 [79.8275]
train_epoch: 1011, loss: 0.3478, recall20: 0.0000 recall10: 0.0000 [79.8482]
train_epoch: 1012, loss: 0.3478, recall20: 0.0000 recall10: 0.0000 [79.8696]
train_epoch: 1013, loss: 0.3478, recall20: 0.0000 recall10: 0.0000 [79.8899]
train_epoch: 1014, loss: 0.3478, recall20: 0.0000 recall10: 0.0000 [79.9097]
train_epoch: 1015, loss: 0.3477, recall20: 0.0000 recall10: 0.0000 [79.9314]
train_epoch: 1016, loss: 0.3477, recall20: 0.0000 recall10: 0.0000 [79.9531]
train_epoch: 1017, loss: 0.3477, recall20: 0.0000 recall10: 0.0000 [79.9752]
train_epoch: 1018, loss: 0.3477, recall20: 0.0000 recall10: 0.0000 [79.9963]
train_epoch: 1019, loss: 0.3477, recall20: 0.0000 recall10: 0.0000 [80.0196]
train_epoch: 1020, loss: 0.3477, recall20: 0.0000 recall10: 0.0000 [80.0425]
train_epoch: 1021, loss: 0.3476, recall20: 0.0000 recall10: 0.0000 [80.0624]
train_epoch: 1022, loss: 0.3476, recall20: 0.0000 recall10: 0.0000 [80.0831]
train_epoch: 1023, loss: 0.3476, recall20: 0.0000 recall10: 0.0000 [80.1040]
train_epoch: 1024, loss: 0.3476, recall20: 0.0000 recall10: 0.0000 [80.1245]
train_epoch: 1025, loss: 0.3476, recall20: 0.0000 recall10: 0.0000 [80.1457]
train_epoch: 1026, loss: 0.3476, recall20: 0.0000 recall10: 0.0000 [80.1649]
train_epoch: 1027, loss: 0.3475, recall20: 0.0000 recall10: 0.0000 [80.1837]
train_epoch: 1028, loss: 0.3475, recall20: 0.0000 recall10: 0.0000 [80.2029]
train_epoch: 1029, loss: 0.3475, recall20: 0.0000 recall10: 0.0000 [80.2218]
train_epoch: 1030, loss: 0.3475, recall20: 0.0000 recall10: 0.0000 [80.2404]
train_epoch: 1031, loss: 0.3475, recall20: 0.0000 recall10: 0.0000 [80.2597]
train_epoch: 1032, loss: 0.3475, recall20: 0.0000 recall10: 0.0000 [80.2811]
train_epoch: 1033, loss: 0.3474, recall20: 0.0000 recall10: 0.0000 [80.3026]
train_epoch: 1034, loss: 0.3474, recall20: 0.0000 recall10: 0.0000 [80.3252]
train_epoch: 1035, loss: 0.3474, recall20: 0.0000 recall10: 0.0000 [80.3531]
train_epoch: 1036, loss: 0.3474, recall20: 0.0000 recall10: 0.0000 [80.3755]
train_epoch: 1037, loss: 0.3474, recall20: 0.0000 recall10: 0.0000 [80.3965]
train_epoch: 1038, loss: 0.3474, recall20: 0.0000 recall10: 0.0000 [80.4192]
train_epoch: 1039, loss: 0.3473, recall20: 0.0000 recall10: 0.0000 [80.4438]
train_epoch: 1040, loss: 0.3473, recall20: 0.0000 recall10: 0.0000 [80.4673]
train_epoch: 1041, loss: 0.3473, recall20: 0.0000 recall10: 0.0000 [80.4918]
train_epoch: 1042, loss: 0.3473, recall20: 0.0000 recall10: 0.0000 [80.5208]
train_epoch: 1043, loss: 0.3473, recall20: 0.0000 recall10: 0.0000 [80.5457]
train_epoch: 1044, loss: 0.3473, recall20: 0.0000 recall10: 0.0000 [80.5683]
train_epoch: 1045, loss: 0.3472, recall20: 0.0000 recall10: 0.0000 [80.5946]
train_epoch: 1046, loss: 0.3472, recall20: 0.0000 recall10: 0.0000 [80.6193]
train_epoch: 1047, loss: 0.3472, recall20: 0.0000 recall10: 0.0000 [80.6440]
train_epoch: 1048, loss: 0.3472, recall20: 0.0000 recall10: 0.0000 [80.6703]
train_epoch: 1049, loss: 0.3472, recall20: 0.0000 recall10: 0.0000 [80.6966]
train_epoch: 1050, loss: 0.3472, recall20: 0.0000 recall10: 0.0000 [80.7238]
train_epoch: 1051, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.7511]
train_epoch: 1052, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.7751]
train_epoch: 1053, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.8002]
train_epoch: 1054, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.8262]
train_epoch: 1055, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.8499]
train_epoch: 1056, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.8760]
train_epoch: 1057, loss: 0.3471, recall20: 0.0000 recall10: 0.0000 [80.9031]
train_epoch: 1058, loss: 0.3470, recall20: 0.0000 recall10: 0.0000 [80.9279]
train_epoch: 1059, loss: 0.3470, recall20: 0.0000 recall10: 0.0000 [80.9540]
train_epoch: 1060, loss: 0.3470, recall20: 0.0000 recall10: 0.0000 [80.9777]
train_epoch: 1061, loss: 0.3470, recall20: 0.0000 recall10: 0.0000 [81.0015]
train_epoch: 1062, loss: 0.3470, recall20: 0.0000 recall10: 0.0000 [81.0268]
train_epoch: 1063, loss: 0.3470, recall20: 0.0000 recall10: 0.0000 [81.0501]
train_epoch: 1064, loss: 0.3469, recall20: 0.0000 recall10: 0.0000 [81.0757]
train_epoch: 1065, loss: 0.3469, recall20: 0.0000 recall10: 0.0000 [81.0989]
train_epoch: 1066, loss: 0.3469, recall20: 0.0000 recall10: 0.0000 [81.1237]
train_epoch: 1067, loss: 0.3469, recall20: 0.0000 recall10: 0.0000 [81.1464]
train_epoch: 1068, loss: 0.3469, recall20: 0.0000 recall10: 0.0000 [81.1697]
train_epoch: 1069, loss: 0.3469, recall20: 0.0000 recall10: 0.0000 [81.1902]
train_epoch: 1070, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.2138]
train_epoch: 1071, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.2369]
train_epoch: 1072, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.2593]
train_epoch: 1073, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.2793]
train_epoch: 1074, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.3018]
train_epoch: 1075, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.3220]
train_epoch: 1076, loss: 0.3468, recall20: 0.0000 recall10: 0.0000 [81.3422]
train_epoch: 1077, loss: 0.3467, recall20: 0.0000 recall10: 0.0000 [81.3625]
train_epoch: 1078, loss: 0.3467, recall20: 0.0000 recall10: 0.0000 [81.3823]
train_epoch: 1079, loss: 0.3467, recall20: 0.0000 recall10: 0.0000 [81.4023]
train_epoch: 1080, loss: 0.3467, recall20: 0.0000 recall10: 0.0000 [81.4231]
train_epoch: 1081, loss: 0.3467, recall20: 0.0000 recall10: 0.0000 [81.4441]
train_epoch: 1082, loss: 0.3467, recall20: 0.0000 recall10: 0.0000 [81.4648]
train_epoch: 1083, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.4872]
train_epoch: 1084, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.5097]
train_epoch: 1085, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.5340]
train_epoch: 1086, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.5580]
train_epoch: 1087, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.5850]
train_epoch: 1088, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.6121]
train_epoch: 1089, loss: 0.3466, recall20: 0.0000 recall10: 0.0000 [81.6371]
train_epoch: 1090, loss: 0.3465, recall20: 0.0000 recall10: 0.0000 [81.6594]
train_epoch: 1091, loss: 0.3465, recall20: 0.0000 recall10: 0.0000 [81.6846]
train_epoch: 1092, loss: 0.3465, recall20: 0.0000 recall10: 0.0000 [81.7125]
train_epoch: 1093, loss: 0.3465, recall20: 0.0000 recall10: 0.0000 [81.7360]
train_epoch: 1094, loss: 0.3465, recall20: 0.0000 recall10: 0.0000 [81.7622]
train_epoch: 1095, loss: 0.3465, recall20: 0.0000 recall10: 0.0000 [81.7879]
train_epoch: 1096, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.8114]
train_epoch: 1097, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.8358]
train_epoch: 1098, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.8584]
train_epoch: 1099, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.8816]
train_epoch: 1100, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.9059]
train_epoch: 1101, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.9266]
train_epoch: 1102, loss: 0.3464, recall20: 0.0000 recall10: 0.0000 [81.9498]
train_epoch: 1103, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [81.9711]
train_epoch: 1104, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [81.9915]
train_epoch: 1105, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [82.0110]
train_epoch: 1106, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [82.0304]
train_epoch: 1107, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [82.0504]
train_epoch: 1108, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [82.0705]
train_epoch: 1109, loss: 0.3463, recall20: 0.0000 recall10: 0.0000 [82.0915]
train_epoch: 1110, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [82.1152]
train_epoch: 1111, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [82.1378]
train_epoch: 1112, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [82.1618]
train_epoch: 1113, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [82.1884]
train_epoch: 1114, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [82.2150]
train_epoch: 1115, loss: 0.3462, recall20: 0.0000 recall10: 0.0000 [82.2376]
train_epoch: 1116, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.2633]
train_epoch: 1117, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.2872]
train_epoch: 1118, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.3096]
train_epoch: 1119, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.3334]
train_epoch: 1120, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.3590]
train_epoch: 1121, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.3835]
train_epoch: 1122, loss: 0.3461, recall20: 0.0000 recall10: 0.0000 [82.4070]
train_epoch: 1123, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [82.4312]
train_epoch: 1124, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [82.4538]
train_epoch: 1125, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [82.4753]
train_epoch: 1126, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [82.4968]
train_epoch: 1127, loss: 0.3460, recall20: 0.0000 recall10: 0.0000 [82.5191]
