{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [37.1676]
train_epoch: 1002, loss: 0.4159, recall20: 0.0000 recall10: 0.0000 [37.1847]
train_epoch: 1003, loss: 0.4159, recall20: 0.0000 recall10: 0.0000 [37.1983]
train_epoch: 1004, loss: 0.4158, recall20: 0.0000 recall10: 0.0000 [37.2105]
train_epoch: 1005, loss: 0.4158, recall20: 0.0000 recall10: 0.0000 [37.2226]
train_epoch: 1006, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [37.2348]
train_epoch: 1007, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [37.2459]
train_epoch: 1008, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [37.2572]
train_epoch: 1009, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [37.2684]
train_epoch: 1010, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [37.2793]
train_epoch: 1011, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [37.2907]
train_epoch: 1012, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [37.3019]
train_epoch: 1013, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [37.3127]
train_epoch: 1014, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [37.3274]
train_epoch: 1015, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [37.3391]
train_epoch: 1016, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [37.3502]
train_epoch: 1017, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [37.3613]
train_epoch: 1018, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [37.3731]
train_epoch: 1019, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [37.3841]
train_epoch: 1020, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [37.3949]
train_epoch: 1021, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [37.4081]
train_epoch: 1022, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [37.4203]
train_epoch: 1023, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [37.4323]
train_epoch: 1024, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [37.4454]
train_epoch: 1025, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [37.4581]
train_epoch: 1026, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [37.4733]
train_epoch: 1027, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [37.4861]
train_epoch: 1028, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [37.4968]
train_epoch: 1029, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [37.5071]
train_epoch: 1030, loss: 0.4146, recall20: 0.0000 recall10: 0.0000 [37.5174]
train_epoch: 1031, loss: 0.4146, recall20: 0.0000 recall10: 0.0000 [37.5288]
train_epoch: 1032, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [37.5407]
train_epoch: 1033, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [37.5521]
train_epoch: 1034, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [37.5634]
train_epoch: 1035, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [37.5748]
train_epoch: 1036, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [37.5886]
train_epoch: 1037, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [37.6019]
train_epoch: 1038, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [37.6140]
train_epoch: 1039, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [37.6263]
train_epoch: 1040, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [37.6399]
train_epoch: 1041, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [37.6518]
train_epoch: 1042, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [37.6647]
train_epoch: 1043, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [37.6774]
train_epoch: 1044, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [37.6890]
train_epoch: 1045, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [37.7283]
train_epoch: 1046, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [37.7855]
train_epoch: 1047, loss: 0.4138, recall20: 0.0000 recall10: 0.0000 [37.8168]
train_epoch: 1048, loss: 0.4138, recall20: 0.0000 recall10: 0.0000 [37.8307]
train_epoch: 1049, loss: 0.4137, recall20: 0.0000 recall10: 0.0000 [37.8413]
train_epoch: 1050, loss: 0.4137, recall20: 0.0000 recall10: 0.0000 [37.8535]
train_epoch: 1051, loss: 0.4137, recall20: 0.0000 recall10: 0.0000 [37.8673]
train_epoch: 1052, loss: 0.4136, recall20: 0.0000 recall10: 0.0000 [37.8797]
train_epoch: 1053, loss: 0.4136, recall20: 0.0000 recall10: 0.0000 [37.8911]
train_epoch: 1054, loss: 0.4135, recall20: 0.0000 recall10: 0.0000 [37.9017]
train_epoch: 1055, loss: 0.4135, recall20: 0.0000 recall10: 0.0000 [37.9137]
train_epoch: 1056, loss: 0.4134, recall20: 0.0000 recall10: 0.0000 [37.9266]
train_epoch: 1057, loss: 0.4134, recall20: 0.0000 recall10: 0.0000 [37.9382]
train_epoch: 1058, loss: 0.4133, recall20: 0.0000 recall10: 0.0000 [37.9494]
train_epoch: 1059, loss: 0.4133, recall20: 0.0000 recall10: 0.0000 [37.9606]
train_epoch: 1060, loss: 0.4133, recall20: 0.0000 recall10: 0.0000 [37.9716]
train_epoch: 1061, loss: 0.4132, recall20: 0.0000 recall10: 0.0000 [37.9837]
train_epoch: 1062, loss: 0.4132, recall20: 0.0000 recall10: 0.0000 [37.9959]
train_epoch: 1063, loss: 0.4131, recall20: 0.0000 recall10: 0.0000 [38.0075]
train_epoch: 1064, loss: 0.4131, recall20: 0.0000 recall10: 0.0000 [38.0186]
train_epoch: 1065, loss: 0.4130, recall20: 0.0000 recall10: 0.0000 [38.0294]
train_epoch: 1066, loss: 0.4130, recall20: 0.0000 recall10: 0.0000 [38.0429]
train_epoch: 1067, loss: 0.4130, recall20: 0.0000 recall10: 0.0000 [38.0551]
train_epoch: 1068, loss: 0.4129, recall20: 0.0000 recall10: 0.0000 [38.0666]
train_epoch: 1069, loss: 0.4129, recall20: 0.0000 recall10: 0.0000 [38.0789]
